ACC,time,x,y,z
E4_Acc,"1641384895,84641",-30,-1,56.0
E4_Acc,"1641384895,87766",-30,-1,56.0
E4_Acc,"1641384895,90892",-29,-1,57.0
E4_Acc,"1641384895,94017",-30,-1,56.0
E4_Acc,"1641384895,97142",-30,-1,56.0
E4_Acc,"1641384896,00267",-29,-1,56.0
E4_Acc,"1641384896,03392",-31,0,56.0
E4_Acc,"1641384896,06517",-31,-1,56.0
E4_Acc,"1641384896,09643",-29,-1,56.0
E4_Acc,"1641384896,12768",-29,-1,56.0
E4_Acc,"1641384896,15893",-30,-1,56.0
E4_Acc,"1641384896,19018",-30,-1,56.0
E4_Acc,"1641384896,22143",-30,-1,56.0
E4_Acc,"1641384896,25268",-29,-1,56.0
E4_Acc,"1641384896,28393",-29,-1,56.0
E4_Acc,"1641384896,31519",-29,-2,56.0
E4_Acc,"1641384896,34644",-31,-1,56.0
E4_Acc,"1641384896,37769",-31,-1,56.0
E4_Acc,"1641384896,40894",-29,0,57.0
E4_Acc,"1641384896,44019",-29,-1,57.0
E4_Acc,"1641384896,47144",-29,-2,56.0
E4_Acc,"1641384896,50269",-28,-1,57.0
E4_Acc,"1641384896,53395",-29,-1,56.0
E4_Acc,"1641384896,5652",-30,-1,56.0
E4_Acc,"1641384896,59645",-29,-1,56.0
E4_Acc,"1641384896,6277",-29,-1,56.0
E4_Acc,"1641384896,65895",-29,-1,56.0
E4_Acc,"1641384896,6902",-29,-1,56.0
E4_Acc,"1641384896,72145",-30,-1,56.0
E4_Acc,"1641384896,75271",-30,-1,56.0
E4_Acc,"1641384896,78396",-29,-1,57.0
E4_Acc,"1641384896,81521",-29,-1,56.0
E4_Acc,"1641384896,84646",-29,-1,57.0
E4_Acc,"1641384896,87771",-30,-1,57.0
E4_Acc,"1641384896,90896",-31,-1,56.0
E4_Acc,"1641384896,94021",-30,0,56.0
E4_Acc,"1641384896,97147",-29,-1,56.0
E4_Acc,"1641384897,00272",-29,-1,56.0
E4_Acc,"1641384897,03397",-29,-1,56.0
E4_Acc,"1641384897,06522",-29,-1,56.0
E4_Acc,"1641384897,09647",-30,0,56.0
E4_Acc,"1641384897,12772",-30,-1,56.0
E4_Acc,"1641384897,15897",-29,-1,57.0
E4_Acc,"1641384897,19023",-29,-1,56.0
E4_Acc,"1641384897,22148",-29,-1,56.0
E4_Acc,"1641384897,25273",-29,-1,56.0
E4_Acc,"1641384897,28398",-30,0,56.0
E4_Acc,"1641384897,31523",-30,-1,56.0
E4_Acc,"1641384897,34648",-29,-1,56.0
E4_Acc,"1641384897,37773",-29,-1,57.0
E4_Acc,"1641384897,40899",-29,-1,56.0
E4_Acc,"1641384897,44024",-29,-1,57.0
E4_Acc,"1641384897,47149",-29,-1,56.0
E4_Acc,"1641384897,50274",-29,-1,56.0
E4_Acc,"1641384897,53399",-31,-1,56.0
E4_Acc,"1641384897,56524",-30,-1,57.0
E4_Acc,"1641384897,59649",-29,-1,56.0
E4_Acc,"1641384897,62775",-29,-2,56.0
E4_Acc,"1641384897,659",-30,-1,56.0
E4_Acc,"1641384897,69025",-31,0,56.0
E4_Acc,"1641384897,7215",-31,0,56.0
E4_Acc,"1641384897,75275",-29,-1,56.0
E4_Acc,"1641384897,784",-30,-1,56.0
E4_Acc,"1641384897,81525",-30,-1,56.0
E4_Acc,"1641384897,84651",-30,-1,56.0
E4_Acc,"1641384897,87776",-30,0,56.0
E4_Acc,"1641384897,90901",-30,0,56.0
E4_Acc,"1641384897,94026",-29,-1,56.0
E4_Acc,"1641384897,97151",-29,-1,56.0
E4_Acc,"1641384898,00276",-29,-1,56.0
E4_Acc,"1641384898,03401",-30,-1,56.0
E4_Acc,"1641384898,06527",-31,0,56.0
E4_Acc,"1641384898,09652",-30,0,56.0
E4_Acc,"1641384898,12777",-29,-1,56.0
E4_Acc,"1641384898,15902",-30,-2,56.0
E4_Acc,"1641384898,19027",-29,-1,56.0
E4_Acc,"1641384898,22152",-29,-1,57.0
E4_Acc,"1641384898,25277",-30,0,56.0
E4_Acc,"1641384898,28403",-30,0,56.0
E4_Acc,"1641384898,31528",-30,-1,56.0
E4_Acc,"1641384898,34653",-29,-2,56.0
E4_Acc,"1641384898,37778",-29,-1,56.0
E4_Acc,"1641384898,40903",-30,-1,56.0
E4_Acc,"1641384898,44028",-31,0,56.0
E4_Acc,"1641384898,47153",-30,0,56.0
E4_Acc,"1641384898,50279",-29,-1,56.0
E4_Acc,"1641384898,53404",-29,-1,56.0
E4_Acc,"1641384898,56529",-29,-1,57.0
E4_Acc,"1641384898,59654",-30,0,56.0
E4_Acc,"1641384898,62779",-30,0,56.0
E4_Acc,"1641384898,65904",-30,0,56.0
E4_Acc,"1641384898,6903",-29,-1,56.0
E4_Acc,"1641384898,72155",-29,-1,56.0
E4_Acc,"1641384898,7528",-29,-1,56.0
E4_Acc,"1641384898,78405",-30,-1,56.0
E4_Acc,"1641384898,8153",-31,0,56.0
E4_Acc,"1641384898,84655",-29,-1,56.0
E4_Acc,"1641384898,8778",-29,-1,57.0
E4_Acc,"1641384898,90906",-29,-1,56.0
E4_Acc,"1641384898,94031",-29,-1,56.0
E4_Acc,"1641384898,97156",-30,0,56.0
E4_Acc,"1641384899,00281",-30,0,56.0
E4_Acc,"1641384899,03406",-30,0,56.0
E4_Acc,"1641384899,06531",-29,-1,56.0
E4_Acc,"1641384899,09656",-29,-1,56.0
E4_Acc,"1641384899,12782",-29,-1,57.0
E4_Acc,"1641384899,15907",-31,0,56.0
E4_Acc,"1641384899,19032",-31,0,56.0
E4_Acc,"1641384899,22157",-30,0,56.0
E4_Acc,"1641384899,25282",-30,-1,56.0
E4_Acc,"1641384899,28407",-29,-1,56.0
E4_Acc,"1641384899,31532",-29,-1,56.0
E4_Acc,"1641384899,34658",-30,0,57.0
E4_Acc,"1641384899,37783",-30,0,56.0
E4_Acc,"1641384899,40908",-29,-1,56.0
E4_Acc,"1641384899,44033",-29,-1,56.0
E4_Acc,"1641384899,47158",-29,-1,56.0
E4_Acc,"1641384899,50283",-30,-1,56.0
E4_Acc,"1641384899,53408",-31,0,56.0
E4_Acc,"1641384899,56534",-29,0,57.0
E4_Acc,"1641384899,59659",-29,-1,56.0
E4_Acc,"1641384899,62784",-29,-1,56.0
E4_Acc,"1641384899,65909",-30,0,56.0
E4_Acc,"1641384899,69034",-30,0,56.0
E4_Acc,"1641384899,72159",-30,0,56.0
E4_Acc,"1641384899,75284",-29,-1,56.0
E4_Acc,"1641384899,7841",-29,-1,56.0
E4_Acc,"1641384899,81535",-29,-1,57.0
E4_Acc,"1641384899,8466",-29,0,56.0
E4_Acc,"1641384899,87785",-31,0,56.0
E4_Acc,"1641384899,9091",-30,0,56.0
E4_Acc,"1641384899,94035",-29,0,57.0
E4_Acc,"1641384899,9716",-29,-1,57.0
E4_Acc,"1641384900,00286",-29,-1,57.0
E4_Acc,"1641384900,03411",-29,0,56.0
E4_Acc,"1641384900,06536",-29,0,56.0
E4_Acc,"1641384900,09661",-29,0,57.0
E4_Acc,"1641384900,12786",-29,0,57.0
E4_Acc,"1641384900,15911",-29,-1,57.0
E4_Acc,"1641384900,19036",-29,0,57.0
E4_Acc,"1641384900,22162",-29,0,56.0
E4_Acc,"1641384900,25287",-29,0,57.0
E4_Acc,"1641384900,28412",-29,0,56.0
