BVP,time,values
E4_Bvp,"1641384896,2517","3,207455"
E4_Bvp,"1641384896,26732","3,051609"
E4_Bvp,"1641384896,28295","2,229465"
E4_Bvp,"1641384896,29857","1,131554"
E4_Bvp,"1641384896,3142","0,1712952"
E4_Bvp,"1641384896,32982","-0,5179367"
E4_Bvp,"1641384896,34545","-1,252792"
E4_Bvp,"1641384896,36108","-2,580944"
E4_Bvp,"1641384896,3767","-5,032211"
E4_Bvp,"1641384896,39233","-8,81757"
E4_Bvp,"1641384896,40795","-13,82392"
E4_Bvp,"1641384896,42358","-19,61186"
E4_Bvp,"1641384896,4392","-25,50563"
E4_Bvp,"1641384896,45483","-30,64122"
E4_Bvp,"1641384896,47046","-33,98873"
E4_Bvp,"1641384896,48608","-34,72894"
E4_Bvp,"1641384896,50171","-32,35884"
E4_Bvp,"1641384896,51733","-27,00526"
E4_Bvp,"1641384896,53296","-19,42503"
E4_Bvp,"1641384896,54858","-10,76057"
E4_Bvp,"1641384896,56421","-2,26812"
E4_Bvp,"1641384896,57984","5,07798"
E4_Bvp,"1641384896,59546","10,73013"
E4_Bvp,"1641384896,61109","14,5695"
E4_Bvp,"1641384896,62671","16,74637"
E4_Bvp,"1641384896,64234","17,53066"
E4_Bvp,"1641384896,65796","17,23748"
E4_Bvp,"1641384896,67359","16,1888"
E4_Bvp,"1641384896,68922","14,75261"
E4_Bvp,"1641384896,70484","13,27493"
E4_Bvp,"1641384896,72047","12,07059"
E4_Bvp,"1641384896,73609","11,31783"
E4_Bvp,"1641384896,75172","10,97973"
E4_Bvp,"1641384896,76734","10,83804"
E4_Bvp,"1641384896,78297","10,54352"
E4_Bvp,"1641384896,7986","9,799988"
E4_Bvp,"1641384896,81422","8,459259"
E4_Bvp,"1641384896,82985","6,584816"
E4_Bvp,"1641384896,84547","4,376724"
E4_Bvp,"1641384896,8611","2,028435"
E4_Bvp,"1641384896,87672","-0,3541107"
E4_Bvp,"1641384896,89235","-2,838829"
E4_Bvp,"1641384896,90798","-5,679604"
E4_Bvp,"1641384896,9236","-9,236115"
E4_Bvp,"1641384896,93923","-13,84798"
E4_Bvp,"1641384896,95485","-19,6012"
E4_Bvp,"1641384896,97048","-26,16361"
E4_Bvp,"1641384896,9861","-32,74472"
E4_Bvp,"1641384897,00173","-38,23407"
E4_Bvp,"1641384897,01736","-41,5281"
E4_Bvp,"1641384897,03298","-41,82709"
E4_Bvp,"1641384897,04861","-38,90817"
E4_Bvp,"1641384897,06423","-33,18044"
E4_Bvp,"1641384897,07986","-25,5264"
E4_Bvp,"1641384897,09548","-17,03269"
E4_Bvp,"1641384897,11111","-8,642319"
E4_Bvp,"1641384897,12674","-0,99263"
E4_Bvp,"1641384897,14236","5,602074"
E4_Bvp,"1641384897,15799","10,97909"
E4_Bvp,"1641384897,17361","14,99892"
E4_Bvp,"1641384897,18924","17,55674"
E4_Bvp,"1641384897,20486","18,62278"
E4_Bvp,"1641384897,22049","18,37523"
E4_Bvp,"1641384897,23612","17,25958"
E4_Bvp,"1641384897,25174","15,81694"
E4_Bvp,"1641384897,26737","14,59498"
E4_Bvp,"1641384897,28299","13,96655"
E4_Bvp,"1641384897,29862","13,98692"
E4_Bvp,"1641384897,31424","14,40794"
E4_Bvp,"1641384897,32987","14,74164"
E4_Bvp,"1641384897,3455","14,50909"
E4_Bvp,"1641384897,36112","13,40812"
E4_Bvp,"1641384897,37675","11,45084"
E4_Bvp,"1641384897,39237","8,920021"
E4_Bvp,"1641384897,408","6,214973"
E4_Bvp,"1641384897,42362","3,686104"
E4_Bvp,"1641384897,43925","1,459419"
E4_Bvp,"1641384897,45488","-0,5999222"
E4_Bvp,"1641384897,4705","-2,838493"
E4_Bvp,"1641384897,48613","-5,711815"
E4_Bvp,"1641384897,50175","-9,597549"
E4_Bvp,"1641384897,51738","-14,62055"
E4_Bvp,"1641384897,533","-20,53228"
E4_Bvp,"1641384897,54863","-26,6624"
E4_Bvp,"1641384897,56426","-32,01783"
E4_Bvp,"1641384897,57988","-35,47421"
E4_Bvp,"1641384897,59551","-36,09218"
E4_Bvp,"1641384897,61113","-33,38982"
E4_Bvp,"1641384897,62676","-27,56319"
E4_Bvp,"1641384897,64238","-19,43634"
E4_Bvp,"1641384897,65801","-10,18253"
E4_Bvp,"1641384897,67364","-0,9977684"
E4_Bvp,"1641384897,68926","7,247292"
E4_Bvp,"1641384897,70489","14,10117"
E4_Bvp,"1641384897,72051","19,4453"
E4_Bvp,"1641384897,73614","23,35925"
E4_Bvp,"1641384897,75177","25,96664"
