EDA,time,values
E4_Gsr,"1641384894,741","1,354313"
E4_Gsr,"1641384894,991","1,351751"
E4_Gsr,"1641384895,241","1,344066"
E4_Gsr,"1641384895,491","1,346627"
E4_Gsr,"1641384895,741","1,342785"
E4_Gsr,"1641384895,991","1,35047"
E4_Gsr,"1641384896,241","1,341504"
E4_Gsr,"1641384896,491","1,337661"
E4_Gsr,"1641384896,741","1,337661"
E4_Gsr,"1641384896,991","1,344066"
E4_Gsr,"1641384897,241","1,336381"
E4_Gsr,"1641384897,491","1,337661"
E4_Gsr,"1641384897,741","1,333819"
E4_Gsr,"1641384897,991","1,338942"
E4_Gsr,"1641384898,241","1,332538"
E4_Gsr,"1641384898,491","1,332538"
E4_Gsr,"1641384898,741","1,331257"
E4_Gsr,"1641384898,991","1,337661"
E4_Gsr,"1641384899,241","1,326134"
E4_Gsr,"1641384899,491","1,329976"
E4_Gsr,"1641384899,741","1,323572"
E4_Gsr,"1641384899,991","1,331257"
E4_Gsr,"1641384900,241","1,322291"
E4_Gsr,"1641384900,491","1,328695"
E4_Gsr,"1641384900,741","1,318448"
E4_Gsr,"1641384900,991","1,324853"
E4_Gsr,"1641384901,241","1,315887"
E4_Gsr,"1641384901,491","1,324853"
E4_Gsr,"1641384901,741","1,314606"
E4_Gsr,"1641384901,991","1,319729"
E4_Gsr,"1641384902,241","1,315887"
E4_Gsr,"1641384902,491","1,32101"
E4_Gsr,"1641384902,741","1,315887"
E4_Gsr,"1641384902,991","1,318448"
E4_Gsr,"1641384903,241","1,309482"
E4_Gsr,"1641384903,491","1,317168"
E4_Gsr,"1641384903,741","1,315887"
E4_Gsr,"1641384903,991","1,309482"
E4_Gsr,"1641384904,241","1,308201"
E4_Gsr,"1641384904,491","1,301797"
E4_Gsr,"1641384904,741","1,312044"
E4_Gsr,"1641384904,991","1,301797"
E4_Gsr,"1641384905,241","1,304359"
E4_Gsr,"1641384905,491","1,299235"
E4_Gsr,"1641384905,741","1,304359"
E4_Gsr,"1641384905,991","1,300516"
E4_Gsr,"1641384906,241","1,304359"
E4_Gsr,"1641384906,491","1,301797"
E4_Gsr,"1641384906,741","1,295393"
E4_Gsr,"1641384906,991","1,297955"
E4_Gsr,"1641384907,241","1,299235"
E4_Gsr,"1641384907,491","1,29155"
E4_Gsr,"1641384907,741","1,295393"
E4_Gsr,"1641384907,991","1,292831"
E4_Gsr,"1641384908,241","1,296674"
E4_Gsr,"1641384908,491","1,287708"
E4_Gsr,"1641384908,741","1,290269"
E4_Gsr,"1641384908,991","1,292831"
E4_Gsr,"1641384909,241","1,29155"
E4_Gsr,"1641384909,491","1,283865"
E4_Gsr,"1641384909,741","1,282584"
E4_Gsr,"1641384909,991","1,283865"
E4_Gsr,"1641384910,241","1,281303"
E4_Gsr,"1641384910,491","1,282584"
E4_Gsr,"1641384910,741","1,278741"
E4_Gsr,"1641384910,991","1,278741"
E4_Gsr,"1641384911,241","1,278741"
E4_Gsr,"1641384911,491","1,283865"
E4_Gsr,"1641384911,741","1,277461"
E4_Gsr,"1641384911,991","1,281303"
E4_Gsr,"1641384912,241","1,273618"
E4_Gsr,"1641384912,491","1,278741"
E4_Gsr,"1641384912,741","1,272337"
E4_Gsr,"1641384912,991","1,281303"
E4_Gsr,"1641384913,241","1,272337"
E4_Gsr,"1641384913,491","1,27618"
E4_Gsr,"1641384913,741","1,273618"
E4_Gsr,"1641384913,991","1,278741"
E4_Gsr,"1641384914,241","1,271056"
E4_Gsr,"1641384914,491","1,273618"
E4_Gsr,"1641384914,741","1,264652"
