ACC,time,x,y,z
E4_Acc,"1641390099,88354",-45,-11,52.0
E4_Acc,"1641390099,91479",-18,1,59.0
E4_Acc,"1641390099,94605",3,-4,61.0
E4_Acc,"1641390099,9773",-37,1,52.0
E4_Acc,"1641390100,00855",-28,0,52.0
E4_Acc,"1641390100,0398",-13,-2,63.0
E4_Acc,"1641390100,07105",-31,4,68.0
E4_Acc,"1641390100,1023",-20,-9,63.0
E4_Acc,"1641390100,13355",-23,-9,55.0
E4_Acc,"1641390100,16481",-22,-6,59.0
E4_Acc,"1641390100,19606",-18,1,50.0
E4_Acc,"1641390100,22731",4,-18,77.0
E4_Acc,"1641390100,25856",-24,5,53.0
E4_Acc,"1641390100,28981",3,-11,81.0
E4_Acc,"1641390100,32106",-11,-8,63.0
E4_Acc,"1641390100,35231",-11,0,56.0
E4_Acc,"1641390100,38357",-16,0,62.0
E4_Acc,"1641390100,41482",-17,-10,74.0
E4_Acc,"1641390100,44607",-20,-3,63.0
E4_Acc,"1641390100,47732",-18,-5,64.0
E4_Acc,"1641390100,50857",-14,-16,66.0
E4_Acc,"1641390100,53982",-18,-15,65.0
E4_Acc,"1641390100,57107",-19,-20,54.0
E4_Acc,"1641390100,60233",-2,-27,45.0
E4_Acc,"1641390100,63358",-7,-17,53.0
E4_Acc,"1641390100,66483",-24,-15,57.0
E4_Acc,"1641390100,69608",-8,-25,46.0
E4_Acc,"1641390100,72733",-9,-13,49.0
E4_Acc,"1641390100,75858",-26,-12,52.0
E4_Acc,"1641390100,78983",-12,-13,67.0
E4_Acc,"1641390100,82109",-34,1,64.0
E4_Acc,"1641390100,85234",-36,2,63.0
E4_Acc,"1641390100,88359",-24,-5,53.0
E4_Acc,"1641390100,91484",-18,-4,52.0
E4_Acc,"1641390100,94609",-19,-7,60.0
E4_Acc,"1641390100,97734",-20,-5,63.0
E4_Acc,"1641390101,0086",-20,-6,58.0
E4_Acc,"1641390101,03985",-15,-8,54.0
E4_Acc,"1641390101,0711",-10,-6,64.0
E4_Acc,"1641390101,10235",-8,-2,70.0
E4_Acc,"1641390101,1336",-11,-2,63.0
E4_Acc,"1641390101,16485",-14,-4,61.0
E4_Acc,"1641390101,1961",-8,-4,66.0
E4_Acc,"1641390101,22736",-1,-8,63.0
E4_Acc,"1641390101,25861",-13,-1,65.0
