EDA,time,values
E4_Gsr,"1641390098,387","2,842312"
E4_Gsr,"1641390098,637","2,856405"
E4_Gsr,"1641390098,887","2,882026"
E4_Gsr,"1641390099,137","2,884589"
E4_Gsr,"1641390099,387","2,889713"
E4_Gsr,"1641390099,637","2,744949"
E4_Gsr,"1641390099,887","2,737262"
E4_Gsr,"1641390100,137","2,673207"
E4_Gsr,"1641390100,387","2,738543"
E4_Gsr,"1641390100,637","2,778257"
E4_Gsr,"1641390100,887","2,533567"
E4_Gsr,"1641390101,137","2,40802"
E4_Gsr,"1641390101,387","2,890103"
E4_Gsr,"1641390101,637","2,856794"
E4_Gsr,"1641390101,887","2,820923"
E4_Gsr,"1641390102,137","2,802988"
E4_Gsr,"1641390102,387","2,790177"
E4_Gsr,"1641390102,637","2,788896"
E4_Gsr,"1641390102,887","2,783772"
E4_Gsr,"1641390103,137","2,776085"
E4_Gsr,"1641390103,387","2,777366"
E4_Gsr,"1641390103,637","2,773523"
E4_Gsr,"1641390103,887","2,773523"
E4_Gsr,"1641390104,137","2,768398"
E4_Gsr,"1641390104,387","2,767117"
E4_Gsr,"1641390104,637","2,756868"
E4_Gsr,"1641390104,887","2,758149"
E4_Gsr,"1641390105,137","2,746619"
E4_Gsr,"1641390105,387","2,737652"
E4_Gsr,"1641390105,637","2,733809"
E4_Gsr,"1641390105,887","2,724841"
E4_Gsr,"1641390106,137","2,72356"
E4_Gsr,"1641390106,387","2,72356"
E4_Gsr,"1641390106,637","2,728684"
E4_Gsr,"1641390106,887","2,722279"
E4_Gsr,"1641390107,137","2,724841"
E4_Gsr,"1641390107,387","2,717154"
E4_Gsr,"1641390107,637","2,713311"
E4_Gsr,"1641390107,887","2,704343"
E4_Gsr,"1641390108,137","2,697938"
E4_Gsr,"1641390108,387","2,695376"
E4_Gsr,"1641390108,637","2,686408"
E4_Gsr,"1641390108,887","2,697938"
E4_Gsr,"1641390109,137","2,718435"
E4_Gsr,"1641390109,387","2,759431"
E4_Gsr,"1641390109,637","2,799145"
E4_Gsr,"1641390109,887","2,845264"
E4_Gsr,"1641390110,137","2,888822"
E4_Gsr,"1641390110,387","2,918287"
E4_Gsr,"1641390110,637","2,934552"
E4_Gsr,"1641390110,887","2,948644"
E4_Gsr,"1641390111,137","2,949925"
E4_Gsr,"1641390111,387","2,955049"
E4_Gsr,"1641390111,637","2,951206"
E4_Gsr,"1641390111,887","2,940957"
E4_Gsr,"1641390112,137","2,929427"
E4_Gsr,"1641390112,387","2,911492"
E4_Gsr,"1641390112,637","2,902524"
E4_Gsr,"1641390112,887","2,879464"
E4_Gsr,"1641390113,137","2,869215"
E4_Gsr,"1641390113,387","2,848718"
E4_Gsr,"1641390113,637","2,841031"
E4_Gsr,"1641390113,887","2,829501"
E4_Gsr,"1641390114,137","2,83975"
E4_Gsr,"1641390114,387","2,88587"
E4_Gsr,"1641390114,637","2,972985"
E4_Gsr,"1641390114,887","3,052413"
E4_Gsr,"1641390115,137","3,134403"
E4_Gsr,"1641390115,387","3,195896"
E4_Gsr,"1641390115,637","3,221518"
E4_Gsr,"1641390115,887","3,24714"
E4_Gsr,"1641390116,137","3,252264"
E4_Gsr,"1641390116,387","3,248421"
E4_Gsr,"1641390116,637","3,231767"
E4_Gsr,"1641390116,887","3,209988"
E4_Gsr,"1641390117,137","3,179242"
E4_Gsr,"1641390117,387","3,147214"
E4_Gsr,"1641390117,637","3,112624"
E4_Gsr,"1641390117,887","3,083159"
E4_Gsr,"1641390118,137","3,057537"
E4_Gsr,"1641390118,387","3,029353"
E4_Gsr,"1641390118,637","3,010137"
E4_Gsr,"1641390118,887","2,992201"
E4_Gsr,"1641390119,137","2,975547"
E4_Gsr,"1641390119,387","2,958893"
E4_Gsr,"1641390119,637","2,9448"
E4_Gsr,"1641390119,887","2,937114"
E4_Gsr,"1641390120,137","2,934552"
E4_Gsr,"1641390120,387","2,938395"
E4_Gsr,"1641390120,637","2,953768"
E4_Gsr,"1641390120,887","2,960174"
E4_Gsr,"1641390121,137","2,955049"
E4_Gsr,"1641390121,387","2,957611"
E4_Gsr,"1641390121,637","2,948644"
E4_Gsr,"1641390121,887","2,9448"
E4_Gsr,"1641390122,137","2,930708"
E4_Gsr,"1641390122,387","2,914054"
E4_Gsr,"1641390122,637","2,910211"
E4_Gsr,"1641390122,887","2,8974"
E4_Gsr,"1641390123,137","2,879464"
E4_Gsr,"1641390123,387","2,875621"
E4_Gsr,"1641390123,637","2,861529"
E4_Gsr,"1641390123,887","2,85128"
E4_Gsr,"1641390124,137","2,844875"
E4_Gsr,"1641390124,387","2,82822"
E4_Gsr,"1641390124,637","2,82822"
E4_Gsr,"1641390124,887","2,81669"
E4_Gsr,"1641390125,137","2,805161"
E4_Gsr,"1641390125,387","2,797474"
E4_Gsr,"1641390125,637","2,793631"
E4_Gsr,"1641390125,887","2,783382"
E4_Gsr,"1641390126,137","2,776976"
E4_Gsr,"1641390126,387","2,76929"
E4_Gsr,"1641390126,637","2,765446"
E4_Gsr,"1641390126,887","2,762884"
E4_Gsr,"1641390127,137","2,753917"
E4_Gsr,"1641390127,387","2,755198"
E4_Gsr,"1641390127,637","2,742387"
E4_Gsr,"1641390127,887","2,743668"
E4_Gsr,"1641390128,137","2,739825"
