BVP,time,values
E4_Bvp,"1646468248,65246","5,370819"
E4_Bvp,"1646468248,66808","5,979202"
E4_Bvp,"1646468248,68371","6,525116"
E4_Bvp,"1646468248,69933","6,880219"
E4_Bvp,"1646468248,71496","6,973251"
E4_Bvp,"1646468248,73058","6,825272"
E4_Bvp,"1646468248,74621","6,499359"
E4_Bvp,"1646468248,76184","6,073593"
E4_Bvp,"1646468248,77746","5,585587"
E4_Bvp,"1646468248,79309","5,038635"
E4_Bvp,"1646468248,80871","4,41095"
E4_Bvp,"1646468248,82434","3,683838"
E4_Bvp,"1646468248,83996","2,881714"
E4_Bvp,"1646468248,85559","2,111404"
E4_Bvp,"1646468248,87122","1,510712"
E4_Bvp,"1646468248,88684","1,1604"
E4_Bvp,"1646468248,90247","1,04245"
E4_Bvp,"1646468248,91809","1,01268"
E4_Bvp,"1646468248,93372","0,9120483"
E4_Bvp,"1646468248,94934","0,626297"
E4_Bvp,"1646468248,96497","0,1955566"
E4_Bvp,"1646468248,9806","-0,2216949"
E4_Bvp,"1646468248,99622","-0,4388733"
E4_Bvp,"1646468249,01185","-0,361618"
E4_Bvp,"1646468249,02747","-0,1224213"
E4_Bvp,"1646468249,0431","0,02766418"
E4_Bvp,"1646468249,05873","-0,1633911"
E4_Bvp,"1646468249,07435","-0,7902832"
E4_Bvp,"1646468249,08998","-1,727356"
E4_Bvp,"1646468249,1056","-2,684418"
E4_Bvp,"1646468249,12123","-3,375992"
E4_Bvp,"1646468249,13685","-3,684006"
E4_Bvp,"1646468249,15248","-3,678741"
E4_Bvp,"1646468249,16811","-3,521469"
E4_Bvp,"1646468249,18373","-3,338776"
E4_Bvp,"1646468249,19936","-3,137253"
E4_Bvp,"1646468249,21498","-2,789261"
E4_Bvp,"1646468249,23061","-2,241318"
E4_Bvp,"1646468249,24623","-1,480759"
E4_Bvp,"1646468249,26186","-0,62883"
E4_Bvp,"1646468249,27749","0,1569672"
E4_Bvp,"1646468249,29311","0,8141937"
E4_Bvp,"1646468249,30874","1,346909"
E4_Bvp,"1646468249,32436","1,847"
E4_Bvp,"1646468249,33999","2,325958"
E4_Bvp,"1646468249,35561","2,684158"
E4_Bvp,"1646468249,37124","2,744064"
E4_Bvp,"1646468249,38687","2,394913"
E4_Bvp,"1646468249,40249","1,713608"
E4_Bvp,"1646468249,41812","0,9240265"
E4_Bvp,"1646468249,43374","0,3192902"
E4_Bvp,"1646468249,44937","0,06889343"
E4_Bvp,"1646468249,46499","0,1733398"
E4_Bvp,"1646468249,48062","0,4757385"
E4_Bvp,"1646468249,49625","0,8019867"
E4_Bvp,"1646468249,51187","1,039093"
E4_Bvp,"1646468249,5275","1,186249"
E4_Bvp,"1646468249,54312","1,321869"
E4_Bvp,"1646468249,55875","1,507996"
E4_Bvp,"1646468249,57437","1,754608"
E4_Bvp,"1646468249,59","1,960434"
E4_Bvp,"1646468249,60563","1,99765"
E4_Bvp,"1646468249,62125","1,781952"
E4_Bvp,"1646468249,63688","1,32106"
E4_Bvp,"1646468249,6525","0,743454"
E4_Bvp,"1646468249,66813","0,2321777"
E4_Bvp,"1646468249,68375","-0,07408142"
E4_Bvp,"1646468249,69938","-0,1554871"
E4_Bvp,"1646468249,71501","-0,06459045"
E4_Bvp,"1646468249,73063","0,02217102"
E4_Bvp,"1646468249,74626","-0,04048157"
E4_Bvp,"1646468249,76188","-0,3612061"
E4_Bvp,"1646468249,77751","-0,9793701"
E4_Bvp,"1646468249,79313","-1,842285"
E4_Bvp,"1646468249,80876","-2,878601"
E4_Bvp,"1646468249,82439","-3,957855"
E4_Bvp,"1646468249,84001","-4,928833"
E4_Bvp,"1646468249,85564","-5,586624"
E4_Bvp,"1646468249,87126","-5,793747"
E4_Bvp,"1646468249,88689","-5,556824"
E4_Bvp,"1646468249,90251","-4,985397"
E4_Bvp,"1646468249,91814","-4,340668"
E4_Bvp,"1646468249,93377","-3,824509"
E4_Bvp,"1646468249,94939","-3,490021"
E4_Bvp,"1646468249,96502","-3,211472"
E4_Bvp,"1646468249,98064","-2,771805"
E4_Bvp,"1646468249,99627","-2,029808"
E4_Bvp,"1646468250,01189","-1,015953"
E4_Bvp,"1646468250,02752","0,03682709"
E4_Bvp,"1646468250,04315","0,8777084"
E4_Bvp,"1646468250,05877","1,346046"
E4_Bvp,"1646468250,0744","1,495506"
E4_Bvp,"1646468250,09002","1,510201"
E4_Bvp,"1646468250,10565","1,616737"
E4_Bvp,"1646468250,12127","1,938614"
E4_Bvp,"1646468250,1369","2,446045"
E4_Bvp,"1646468250,15253","2,963753"
E4_Bvp,"1646468250,16815","3,285522"
E4_Bvp,"1646468250,18378","3,272064"
E4_Bvp,"1646468250,1994","2,930046"
E4_Bvp,"1646468250,21503","2,434044"
E4_Bvp,"1646468250,23065","2,018158"
E4_Bvp,"1646468250,24628","1,887802"
E4_Bvp,"1646468250,26191","2,112511"
E4_Bvp,"1646468250,27753","2,602142"
E4_Bvp,"1646468250,29316","3,132042"
E4_Bvp,"1646468250,30878","3,425827"
E4_Bvp,"1646468250,32441","3,285698"
E4_Bvp,"1646468250,34003","2,627045"
E4_Bvp,"1646468250,35566","1,579628"
E4_Bvp,"1646468250,37129","0,3948898"
E4_Bvp,"1646468250,38691","-0,652916"
E4_Bvp,"1646468250,40254","-1,372223"
E4_Bvp,"1646468250,41816","-1,756271"
E4_Bvp,"1646468250,43379","-1,941643"
E4_Bvp,"1646468250,44941","-2,150826"
E4_Bvp,"1646468250,46504","-2,586143"
E4_Bvp,"1646468250,48067","-3,323814"
E4_Bvp,"1646468250,49629","-4,355164"
E4_Bvp,"1646468250,51192","-5,510788"
E4_Bvp,"1646468250,52754","-6,609909"
E4_Bvp,"1646468250,54317","-7,467804"
E4_Bvp,"1646468250,55879","-7,938553"
E4_Bvp,"1646468250,57442","-7,930634"
E4_Bvp,"1646468250,59005","-7,410461"
E4_Bvp,"1646468250,60567","-6,384514"
E4_Bvp,"1646468250,6213","-4,940529"
E4_Bvp,"1646468250,63692","-3,253906"
E4_Bvp,"1646468250,65255","-1,595589"
E4_Bvp,"1646468250,66817","-0,2281113"
E4_Bvp,"1646468250,6838","0,6272278"
E4_Bvp,"1646468250,69943","0,9178925"
E4_Bvp,"1646468250,71505","0,7928314"
E4_Bvp,"1646468250,73068","0,5146027"
E4_Bvp,"1646468250,7463","0,3704681"
E4_Bvp,"1646468250,76193","0,5170975"
E4_Bvp,"1646468250,77755","0,921814"
E4_Bvp,"1646468250,79318","1,418327"
E4_Bvp,"1646468250,80881","1,81324"
E4_Bvp,"1646468250,82443","2,030159"
E4_Bvp,"1646468250,84006","2,12265"
E4_Bvp,"1646468250,85568","2,256844"
E4_Bvp,"1646468250,87131","2,54467"
E4_Bvp,"1646468250,88693","2,969574"
E4_Bvp,"1646468250,90256","3,397087"
E4_Bvp,"1646468250,91819","3,653946"
E4_Bvp,"1646468250,93381","3,658875"
E4_Bvp,"1646468250,94944","3,481392"
E4_Bvp,"1646468250,96506","3,234085"
E4_Bvp,"1646468250,98069","3,050613"
E4_Bvp,"1646468250,99631","2,937119"
E4_Bvp,"1646468251,01194","2,783852"
E4_Bvp,"1646468251,02757","2,457764"
E4_Bvp,"1646468251,04319","1,873672"
E4_Bvp,"1646468251,05882","1,060387"
E4_Bvp,"1646468251,07444","0,1743469"
E4_Bvp,"1646468251,09007","-0,6023254"
E4_Bvp,"1646468251,10569","-1,113632"
E4_Bvp,"1646468251,12132","-1,392677"
E4_Bvp,"1646468251,13695","-1,581436"
E4_Bvp,"1646468251,15257","-1,892944"
E4_Bvp,"1646468251,1682","-2,469078"
E4_Bvp,"1646468251,18382","-3,248955"
E4_Bvp,"1646468251,19945","-4,019447"
E4_Bvp,"1646468251,21508","-4,469658"
E4_Bvp,"1646468251,2307","-4,422661"
E4_Bvp,"1646468251,24633","-3,946815"
E4_Bvp,"1646468251,26195","-3,305984"
E4_Bvp,"1646468251,27758","-2,811241"
E4_Bvp,"1646468251,2932","-2,595879"
E4_Bvp,"1646468251,30883","-2,55735"
E4_Bvp,"1646468251,32446","-2,493599"
E4_Bvp,"1646468251,34008","-2,2631"
E4_Bvp,"1646468251,35571","-1,865303"
E4_Bvp,"1646468251,37133","-1,40551"
E4_Bvp,"1646468251,38696","-0,9788437"
E4_Bvp,"1646468251,40258","-0,5738373"
E4_Bvp,"1646468251,41821","-0,05863953"
E4_Bvp,"1646468251,43384","0,645401"
E4_Bvp,"1646468251,44946","1,496735"
E4_Bvp,"1646468251,46509","2,254669"
E4_Bvp,"1646468251,48071","2,632362"
E4_Bvp,"1646468251,49634","2,47567"
E4_Bvp,"1646468251,51196","1,861694"
E4_Bvp,"1646468251,52759","1,085999"
E4_Bvp,"1646468251,54322","0,4940872"
E4_Bvp,"1646468251,55884","0,2964478"
E4_Bvp,"1646468251,57447","0,4864655"
E4_Bvp,"1646468251,59009","0,8927689"
E4_Bvp,"1646468251,60572","1,358177"
E4_Bvp,"1646468251,62134","1,73999"
E4_Bvp,"1646468251,63697","2,003883"
E4_Bvp,"1646468251,6526","2,114021"
E4_Bvp,"1646468251,66822","1,993652"
E4_Bvp,"1646468251,68385","1,543091"
E4_Bvp,"1646468251,69947","0,6813431"
E4_Bvp,"1646468251,7151","-0,5408554"
E4_Bvp,"1646468251,73072","-1,929451"
E4_Bvp,"1646468251,74635","-3,18364"
E4_Bvp,"1646468251,76198","-4,045219"
E4_Bvp,"1646468251,7776","-4,450912"
E4_Bvp,"1646468251,79323","-4,542725"
E4_Bvp,"1646468251,80885","-4,589279"
E4_Bvp,"1646468251,82448","-4,849251"
E4_Bvp,"1646468251,8401","-5,380341"
E4_Bvp,"1646468251,85573","-6,03904"
E4_Bvp,"1646468251,87136","-6,554817"
E4_Bvp,"1646468251,88698","-6,646591"
E4_Bvp,"1646468251,90261","-6,195045"
E4_Bvp,"1646468251,91823","-5,273666"
E4_Bvp,"1646468251,93386","-4,079391"
E4_Bvp,"1646468251,94948","-2,831299"
E4_Bvp,"1646468251,96511","-1,691696"
E4_Bvp,"1646468251,98074","-0,7131653"
E4_Bvp,"1646468251,99636","0,1001205"
E4_Bvp,"1646468252,01199","0,803894"
E4_Bvp,"1646468252,02761","1,444099"
E4_Bvp,"1646468252,04324","2,028694"
E4_Bvp,"1646468252,05886","2,532242"
E4_Bvp,"1646468252,07449","2,898193"
E4_Bvp,"1646468252,09012","3,119255"
E4_Bvp,"1646468252,10574","3,21711"
E4_Bvp,"1646468252,12137","3,215904"
E4_Bvp,"1646468252,13699","3,127258"
E4_Bvp,"1646468252,15262","2,928413"
E4_Bvp,"1646468252,16824","2,601242"
E4_Bvp,"1646468252,18387","2,150307"
E4_Bvp,"1646468252,1995","1,63961"
E4_Bvp,"1646468252,21512","1,206337"
E4_Bvp,"1646468252,23075","1,005653"
E4_Bvp,"1646468252,24637","1,17466"
E4_Bvp,"1646468252,262","1,756775"
E4_Bvp,"1646468252,27762","2,642929"
E4_Bvp,"1646468252,29325","3,60553"
E4_Bvp,"1646468252,30888","4,318115"
E4_Bvp,"1646468252,3245","4,531204"
E4_Bvp,"1646468252,34013","4,110428"
E4_Bvp,"1646468252,35575","3,128998"
E4_Bvp,"1646468252,37138","1,808899"
E4_Bvp,"1646468252,387","0,429245"
E4_Bvp,"1646468252,40263","-0,7197266"
E4_Bvp,"1646468252,41826","-1,484543"
E4_Bvp,"1646468252,43388","-1,830917"
E4_Bvp,"1646468252,44951","-1,857925"
E4_Bvp,"1646468252,46513","-1,739136"
E4_Bvp,"1646468252,48076","-1,650406"
E4_Bvp,"1646468252,49638","-1,79805"
E4_Bvp,"1646468252,51201","-2,327896"
E4_Bvp,"1646468252,52764","-3,305862"
E4_Bvp,"1646468252,54326","-4,644485"
E4_Bvp,"1646468252,55889","-6,097916"
E4_Bvp,"1646468252,57451","-7,323425"
E4_Bvp,"1646468252,59014","-8,01506"
E4_Bvp,"1646468252,60576","-7,982986"
E4_Bvp,"1646468252,62139","-7,256653"
E4_Bvp,"1646468252,63702","-6,027634"
E4_Bvp,"1646468252,65264","-4,582855"
E4_Bvp,"1646468252,66827","-3,231003"
E4_Bvp,"1646468252,68389","-2,178955"
E4_Bvp,"1646468252,69952","-1,531342"
E4_Bvp,"1646468252,71514","-1,20752"
E4_Bvp,"1646468252,73077","-0,9965057"
E4_Bvp,"1646468252,7464","-0,633606"
E4_Bvp,"1646468252,76202","0,09477234"
E4_Bvp,"1646468252,77765","1,178879"
E4_Bvp,"1646468252,79327","2,460159"
E4_Bvp,"1646468252,8089","3,600342"
E4_Bvp,"1646468252,82452","4,374924"
E4_Bvp,"1646468252,84015","4,708771"
E4_Bvp,"1646468252,85578","4,746994"
E4_Bvp,"1646468252,8714","4,728302"
E4_Bvp,"1646468252,88703","4,812073"
E4_Bvp,"1646468252,90265","5,000549"
E4_Bvp,"1646468252,91828","5,144379"
E4_Bvp,"1646468252,9339","5,096512"
E4_Bvp,"1646468252,94953","4,792572"
E4_Bvp,"1646468252,96516","4,367477"
E4_Bvp,"1646468252,98078","4,045486"
E4_Bvp,"1646468252,99641","4,018478"
E4_Bvp,"1646468253,01203","4,304321"
E4_Bvp,"1646468253,02766","4,726166"
E4_Bvp,"1646468253,04328","5,002151"
E4_Bvp,"1646468253,05891","4,873245"
E4_Bvp,"1646468253,07454","4,284241"
E4_Bvp,"1646468253,09016","3,320618"
E4_Bvp,"1646468253,10579","2,259781"
E4_Bvp,"1646468253,12141","1,346161"
E4_Bvp,"1646468253,13704","0,7053528"
E4_Bvp,"1646468253,15266","0,3386078"
E4_Bvp,"1646468253,16829","0,1029968"
E4_Bvp,"1646468253,18392","-0,1219025"
E4_Bvp,"1646468253,19954","-0,5013733"
E4_Bvp,"1646468253,21517","-1,166138"
E4_Bvp,"1646468253,23079","-2,208359"
E4_Bvp,"1646468253,24642","-3,659546"
E4_Bvp,"1646468253,26204","-5,39299"
E4_Bvp,"1646468253,27767","-7,200424"
E4_Bvp,"1646468253,2933","-8,830078"
E4_Bvp,"1646468253,30892","-10,08855"
E4_Bvp,"1646468253,32455","-10,8782"
E4_Bvp,"1646468253,34017","-11,15993"
E4_Bvp,"1646468253,3558","-10,92345"
E4_Bvp,"1646468253,37142","-10,18518"
E4_Bvp,"1646468253,38705","-8,981018"
E4_Bvp,"1646468253,40268","-7,448441"
E4_Bvp,"1646468253,4183","-5,811188"
E4_Bvp,"1646468253,43393","-4,326385"
E4_Bvp,"1646468253,44955","-3,190887"
E4_Bvp,"1646468253,46518","-2,437485"
E4_Bvp,"1646468253,4808","-1,940781"
E4_Bvp,"1646468253,49643","-1,491058"
E4_Bvp,"1646468253,51206","-0,9216614"
E4_Bvp,"1646468253,52768","-0,1710205"
E4_Bvp,"1646468253,54331","0,7104187"
E4_Bvp,"1646468253,55893","1,616623"
E4_Bvp,"1646468253,57456","2,493958"
E4_Bvp,"1646468253,59018","3,278732"
E4_Bvp,"1646468253,60581","3,942108"
E4_Bvp,"1646468253,62144","4,499786"
E4_Bvp,"1646468253,63706","4,970291"
E4_Bvp,"1646468253,65269","5,415161"
E4_Bvp,"1646468253,66831","5,838318"
E4_Bvp,"1646468253,68394","6,220932"
E4_Bvp,"1646468253,69956","6,47142"
E4_Bvp,"1646468253,71519","6,467789"
E4_Bvp,"1646468253,73082","6,157135"
E4_Bvp,"1646468253,74644","5,55423"
