ST,time,values
E4_Temperature,"1646468247,26955","31,71"
E4_Temperature,"1646468247,51956","31,71"
E4_Temperature,"1646468247,76957","31,71"
E4_Temperature,"1646468248,01959","31,71"
E4_Temperature,"1646468248,2696","31,71"
E4_Temperature,"1646468248,51961","31,71"
E4_Temperature,"1646468248,76962","31,71"
E4_Temperature,"1646468249,01963","31,71"
E4_Temperature,"1646468249,26964","31,69"
E4_Temperature,"1646468249,51966","31,69"
E4_Temperature,"1646468249,76967","31,69"
E4_Temperature,"1646468250,01968","31,69"
E4_Temperature,"1646468250,26969","31,71"
E4_Temperature,"1646468250,5197","31,71"
E4_Temperature,"1646468250,76971","31,71"
E4_Temperature,"1646468251,01973","31,71"
E4_Temperature,"1646468251,26974","31,69"
E4_Temperature,"1646468251,51975","31,69"
E4_Temperature,"1646468251,76976","31,69"
E4_Temperature,"1646468252,01977","31,69"
E4_Temperature,"1646468252,26978","31,69"
E4_Temperature,"1646468252,51979","31,69"
E4_Temperature,"1646468252,76981","31,69"
E4_Temperature,"1646468253,01982","31,69"
E4_Temperature,"1646468253,26983","31,73"
E4_Temperature,"1646468253,51984","31,73"
E4_Temperature,"1646468253,76985","31,73"
E4_Temperature,"1646468254,01986","31,73"
E4_Temperature,"1646468254,26988","31,71"
E4_Temperature,"1646468254,51989","31,71"
E4_Temperature,"1646468254,7699","31,71"
E4_Temperature,"1646468255,01991","31,71"
E4_Temperature,"1646468255,26992","31,73"
E4_Temperature,"1646468255,51993","31,73"
E4_Temperature,"1646468255,76995","31,73"
E4_Temperature,"1646468256,01996","31,73"
E4_Temperature,"1646468256,26997","31,69"
E4_Temperature,"1646468256,51998","31,69"
E4_Temperature,"1646468256,76999","31,69"
E4_Temperature,"1646468257,02","31,69"
E4_Temperature,"1646468257,27001","31,71"
E4_Temperature,"1646468257,52003","31,71"
E4_Temperature,"1646468257,77004","31,71"
E4_Temperature,"1646468258,02005","31,71"
E4_Temperature,"1646468258,27006","31,69"
E4_Temperature,"1646468258,52007","31,69"
E4_Temperature,"1646468258,77008","31,69"
E4_Temperature,"1646468259,0201","31,69"
E4_Temperature,"1646468259,27011","31,67"
E4_Temperature,"1646468259,52012","31,67"
E4_Temperature,"1646468259,77013","31,67"
E4_Temperature,"1646468260,02014","31,67"
E4_Temperature,"1646468260,27015","31,69"
E4_Temperature,"1646468260,52017","31,69"
E4_Temperature,"1646468260,77018","31,69"
E4_Temperature,"1646468261,02019","31,69"
E4_Temperature,"1646468261,2702","31,69"
E4_Temperature,"1646468261,52021","31,69"
E4_Temperature,"1646468261,77022","31,69"
E4_Temperature,"1646468262,02023","31,69"
E4_Temperature,"1646468262,27025","31,69"
E4_Temperature,"1646468262,52026","31,69"
E4_Temperature,"1646468262,77027","31,69"
E4_Temperature,"1646468263,02028","31,69"
E4_Temperature,"1646468263,27029","31,67"
E4_Temperature,"1646468263,5203","31,67"
E4_Temperature,"1646468263,77032","31,67"
E4_Temperature,"1646468264,02033","31,67"
E4_Temperature,"1646468264,27034","31,69"
E4_Temperature,"1646468264,52035","31,69"
E4_Temperature,"1646468264,77036","31,69"
E4_Temperature,"1646468265,02037","31,69"
E4_Temperature,"1646468265,27039","31,69"
E4_Temperature,"1646468265,5204","31,69"
E4_Temperature,"1646468265,77041","31,69"
E4_Temperature,"1646468266,02042","31,69"
E4_Temperature,"1646468266,27043","31,67"
E4_Temperature,"1646468266,52044","31,67"
E4_Temperature,"1646468266,77045","31,67"
E4_Temperature,"1646468267,02047","31,67"
E4_Temperature,"1646468267,27048","31,67"
E4_Temperature,"1646468267,52049","31,67"
E4_Temperature,"1646468267,7705","31,67"
E4_Temperature,"1646468268,02051","31,67"
E4_Temperature,"1646468268,27052","31,69"
E4_Temperature,"1646468268,52054","31,69"
E4_Temperature,"1646468268,77055","31,69"
E4_Temperature,"1646468269,02056","31,69"
E4_Temperature,"1646468269,27057","31,67"
E4_Temperature,"1646468269,52058","31,67"
E4_Temperature,"1646468269,77059","31,67"
E4_Temperature,"1646468270,0206","31,67"
E4_Temperature,"1646468270,27062","31,65"
E4_Temperature,"1646468270,52063","31,65"
E4_Temperature,"1646468270,77064","31,65"
E4_Temperature,"1646468271,02065","31,65"
E4_Temperature,"1646468271,27066","31,67"
E4_Temperature,"1646468271,52067","31,67"
E4_Temperature,"1646468271,77069","31,67"
E4_Temperature,"1646468272,0207","31,67"
E4_Temperature,"1646468272,27071","31,67"
E4_Temperature,"1646468272,52072","31,67"
E4_Temperature,"1646468272,77073","31,67"
E4_Temperature,"1646468273,02074","31,67"
E4_Temperature,"1646468273,27076","31,69"
E4_Temperature,"1646468273,52077","31,69"
E4_Temperature,"1646468273,77078","31,69"
E4_Temperature,"1646468274,02079","31,69"
E4_Temperature,"1646468274,2708","31,67"
E4_Temperature,"1646468274,52081","31,67"
E4_Temperature,"1646468274,77082","31,67"
E4_Temperature,"1646468275,02084","31,67"
E4_Temperature,"1646468275,27085","31,65"
E4_Temperature,"1646468275,52086","31,65"
E4_Temperature,"1646468275,77087","31,65"
E4_Temperature,"1646468276,02088","31,65"
E4_Temperature,"1646468276,27089","31,67"
E4_Temperature,"1646468276,52091","31,67"
E4_Temperature,"1646468276,77092","31,67"
E4_Temperature,"1646468277,02093","31,67"
E4_Temperature,"1646468277,27094","31,67"
E4_Temperature,"1646468277,52095","31,67"
E4_Temperature,"1646468277,77096","31,67"
E4_Temperature,"1646468278,02098","31,67"
E4_Temperature,"1646468278,27099","31,67"
E4_Temperature,"1646468278,521","31,67"
E4_Temperature,"1646468278,77101","31,67"
E4_Temperature,"1646468279,02102","31,67"
E4_Temperature,"1646468279,27103","31,63"
E4_Temperature,"1646468279,52104","31,63"
E4_Temperature,"1646468279,77106","31,63"
E4_Temperature,"1646468280,02107","31,63"
E4_Temperature,"1646468280,27108","31,67"
E4_Temperature,"1646468280,52109","31,67"
E4_Temperature,"1646468280,7711","31,67"
E4_Temperature,"1646468281,02111","31,67"
E4_Temperature,"1646468281,27113","31,63"
E4_Temperature,"1646468281,52114","31,63"
E4_Temperature,"1646468281,77115","31,63"
E4_Temperature,"1646468282,02116","31,63"
E4_Temperature,"1646468282,27117","31,67"
E4_Temperature,"1646468282,52118","31,67"
E4_Temperature,"1646468282,7712","31,67"
E4_Temperature,"1646468283,02121","31,67"
E4_Temperature,"1646468283,27122","31,67"
E4_Temperature,"1646468283,52123","31,67"
E4_Temperature,"1646468283,77124","31,67"
E4_Temperature,"1646468284,02125","31,67"
E4_Temperature,"1646468284,27126","31,69"
E4_Temperature,"1646468284,52128","31,69"
E4_Temperature,"1646468284,77129","31,69"
E4_Temperature,"1646468285,0213","31,69"
E4_Temperature,"1646468285,27131","31,63"
E4_Temperature,"1646468285,52132","31,63"
E4_Temperature,"1646468285,77133","31,63"
E4_Temperature,"1646468286,02135","31,63"
E4_Temperature,"1646468286,27136","31,65"
E4_Temperature,"1646468286,52137","31,65"
E4_Temperature,"1646468286,77138","31,65"
E4_Temperature,"1646468287,02139","31,65"
E4_Temperature,"1646468287,2714","31,65"
E4_Temperature,"1646468287,52142","31,65"
E4_Temperature,"1646468287,77143","31,65"
E4_Temperature,"1646468288,02144","31,65"
E4_Temperature,"1646468288,27145","31,65"
E4_Temperature,"1646468288,52146","31,65"
