ST,time,values
E4_Temperature,"1641388017,19742","33,49"
E4_Temperature,"1641388017,44743","33,49"
E4_Temperature,"1641388017,69744","33,49"
E4_Temperature,"1641388017,94746","33,49"
E4_Temperature,"1641388018,19747","33,51"
E4_Temperature,"1641388018,44748","33,51"
E4_Temperature,"1641388018,69749","33,51"
E4_Temperature,"1641388018,9475","33,51"
E4_Temperature,"1641388019,19751","33,53"
E4_Temperature,"1641388019,44753","33,53"
E4_Temperature,"1641388019,69754","33,53"
E4_Temperature,"1641388019,94755","33,53"
E4_Temperature,"1641388020,19756","33,49"
E4_Temperature,"1641388020,44757","33,49"
E4_Temperature,"1641388020,69758","33,49"
E4_Temperature,"1641388020,94759","33,49"
E4_Temperature,"1641388021,19761","33,49"
E4_Temperature,"1641388021,44762","33,49"
E4_Temperature,"1641388021,69763","33,49"
E4_Temperature,"1641388021,94764","33,49"
E4_Temperature,"1641388022,19765","33,49"
E4_Temperature,"1641388022,44766","33,49"
E4_Temperature,"1641388022,69768","33,49"
E4_Temperature,"1641388022,94769","33,49"
E4_Temperature,"1641388023,1977","33,49"
E4_Temperature,"1641388023,44771","33,49"
E4_Temperature,"1641388023,69772","33,49"
E4_Temperature,"1641388023,94773","33,49"
E4_Temperature,"1641388024,19775","33,47"
E4_Temperature,"1641388024,44776","33,47"
E4_Temperature,"1641388024,69777","33,47"
E4_Temperature,"1641388024,94778","33,47"
E4_Temperature,"1641388025,19779","33,49"
E4_Temperature,"1641388025,4478","33,49"
E4_Temperature,"1641388025,69781","33,49"
E4_Temperature,"1641388025,94783","33,49"
E4_Temperature,"1641388026,19784","33,47"
E4_Temperature,"1641388026,44785","33,47"
E4_Temperature,"1641388026,69786","33,47"
E4_Temperature,"1641388026,94787","33,47"
E4_Temperature,"1641388027,19788","33,49"
E4_Temperature,"1641388027,4479","33,49"
E4_Temperature,"1641388027,69791","33,49"
E4_Temperature,"1641388027,94792","33,49"
E4_Temperature,"1641388028,19793","33,49"
E4_Temperature,"1641388028,44794","33,49"
E4_Temperature,"1641388028,69795","33,49"
E4_Temperature,"1641388028,94797","33,49"
E4_Temperature,"1641388029,19798","33,51"
E4_Temperature,"1641388029,44799","33,51"
E4_Temperature,"1641388029,698","33,51"
E4_Temperature,"1641388029,94801","33,51"
E4_Temperature,"1641388030,19802","33,51"
E4_Temperature,"1641388030,44803","33,51"
E4_Temperature,"1641388030,69805","33,51"
E4_Temperature,"1641388030,94806","33,51"
E4_Temperature,"1641388031,19807","33,51"
E4_Temperature,"1641388031,44808","33,51"
E4_Temperature,"1641388031,69809","33,51"
E4_Temperature,"1641388031,9481","33,51"
E4_Temperature,"1641388032,19812","33,49"
E4_Temperature,"1641388032,44813","33,49"
E4_Temperature,"1641388032,69814","33,49"
E4_Temperature,"1641388032,94815","33,49"
E4_Temperature,"1641388033,19816","33,49"
E4_Temperature,"1641388033,44817","33,49"
E4_Temperature,"1641388033,69819","33,49"
E4_Temperature,"1641388033,9482","33,49"
E4_Temperature,"1641388034,19821","33,49"
E4_Temperature,"1641388034,44822","33,49"
E4_Temperature,"1641388034,69823","33,49"
E4_Temperature,"1641388034,94824","33,49"
E4_Temperature,"1641388035,19825","33,49"
E4_Temperature,"1641388035,44827","33,49"
E4_Temperature,"1641388035,69828","33,49"
E4_Temperature,"1641388035,94829","33,49"
E4_Temperature,"1641388036,1983","33,51"
E4_Temperature,"1641388036,44831","33,51"
E4_Temperature,"1641388036,69832","33,51"
E4_Temperature,"1641388036,94834","33,51"
E4_Temperature,"1641388037,19835","33,49"
E4_Temperature,"1641388037,44836","33,49"
E4_Temperature,"1641388037,69837","33,49"
E4_Temperature,"1641388037,94838","33,49"
E4_Temperature,"1641388038,19839","33,49"
E4_Temperature,"1641388038,44841","33,49"
E4_Temperature,"1641388038,69842","33,49"
E4_Temperature,"1641388038,94843","33,49"
E4_Temperature,"1641388039,19844","33,49"
E4_Temperature,"1641388039,44845","33,49"
E4_Temperature,"1641388039,69846","33,49"
E4_Temperature,"1641388039,94847","33,49"
E4_Temperature,"1641388040,19849","33,51"
E4_Temperature,"1641388040,4485","33,51"
E4_Temperature,"1641388040,69851","33,51"
E4_Temperature,"1641388040,94852","33,51"
E4_Temperature,"1641388041,19853","33,49"
E4_Temperature,"1641388041,44854","33,49"
E4_Temperature,"1641388041,69856","33,49"
E4_Temperature,"1641388041,94857","33,49"
