BVP,time,values
E4_Bvp,"1649403477,67281","12,33112"
E4_Bvp,"1649403477,68844","9,722229"
E4_Bvp,"1649403477,70407","6,694969"
E4_Bvp,"1649403477,71969","3,356049"
E4_Bvp,"1649403477,73532","-0,1704407"
E4_Bvp,"1649403477,75094","-3,634079"
E4_Bvp,"1649403477,76657","-6,875381"
E4_Bvp,"1649403477,78219","-9,869423"
E4_Bvp,"1649403477,79782","-12,6365"
E4_Bvp,"1649403477,81345","-15,3026"
E4_Bvp,"1649403477,82907","-17,9547"
E4_Bvp,"1649403477,8447","-20,78741"
E4_Bvp,"1649403477,86032","-24,17596"
E4_Bvp,"1649403477,87595","-28,51205"
E4_Bvp,"1649403477,89157","-33,97756"
E4_Bvp,"1649403477,9072","-40,17305"
E4_Bvp,"1649403477,92283","-46,03338"
E4_Bvp,"1649403477,93845","-50,03535"
E4_Bvp,"1649403477,95408","-50,74005"
E4_Bvp,"1649403477,9697","-47,32475"
E4_Bvp,"1649403477,98533","-39,93546"
E4_Bvp,"1649403478,00095","-29,59839"
E4_Bvp,"1649403478,01658","-17,80232"
E4_Bvp,"1649403478,03221","-6,036663"
E4_Bvp,"1649403478,04783","4,620525"
E4_Bvp,"1649403478,06346","13,57235"
E4_Bvp,"1649403478,07908","20,64946"
E4_Bvp,"1649403478,09471","25,91142"
E4_Bvp,"1649403478,11033","29,51481"
E4_Bvp,"1649403478,12596","31,65326"
E4_Bvp,"1649403478,14159","32,53043"
E4_Bvp,"1649403478,15721","32,38887"
E4_Bvp,"1649403478,17284","31,5107"
E4_Bvp,"1649403478,18846","30,21342"
E4_Bvp,"1649403478,20409","28,81887"
E4_Bvp,"1649403478,21971","27,68229"
E4_Bvp,"1649403478,23534","26,94471"
E4_Bvp,"1649403478,25097","26,63814"
E4_Bvp,"1649403478,26659","26,60319"
E4_Bvp,"1649403478,28222","26,61253"
E4_Bvp,"1649403478,29784","26,50481"
E4_Bvp,"1649403478,31347","26,17004"
E4_Bvp,"1649403478,32909","25,60429"
E4_Bvp,"1649403478,34472","24,80042"
E4_Bvp,"1649403478,36035","23,71331"
E4_Bvp,"1649403478,37597","22,26072"
E4_Bvp,"1649403478,3916","20,37614"
E4_Bvp,"1649403478,40722","18,08755"
E4_Bvp,"1649403478,42285","15,50635"
E4_Bvp,"1649403478,43847","12,78018"
E4_Bvp,"1649403478,4541","9,967768"
E4_Bvp,"1649403478,46973","7,064398"
E4_Bvp,"1649403478,48535","3,956921"
E4_Bvp,"1649403478,50098","0,5354919"
E4_Bvp,"1649403478,5166","-3,207722"
E4_Bvp,"1649403478,53223","-7,171429"
E4_Bvp,"1649403478,54785","-11,12033"
E4_Bvp,"1649403478,56348","-14,79238"
E4_Bvp,"1649403478,57911","-18,02998"
E4_Bvp,"1649403478,59473","-20,83554"
E4_Bvp,"1649403478,61036","-23,42019"
E4_Bvp,"1649403478,62598","-26,09734"
E4_Bvp,"1649403478,64161","-29,19651"
E4_Bvp,"1649403478,65723","-32,96195"
E4_Bvp,"1649403478,67286","-37,41289"
E4_Bvp,"1649403478,68849","-42,28284"
E4_Bvp,"1649403478,70411","-46,90976"
E4_Bvp,"1649403478,71974","-50,32833"
E4_Bvp,"1649403478,73536","-51,45452"
E4_Bvp,"1649403478,75099","-49,41999"
E4_Bvp,"1649403478,76661","-43,92886"
E4_Bvp,"1649403478,78224","-35,37521"
E4_Bvp,"1649403478,79787","-24,7656"
E4_Bvp,"1649403478,81349","-13,39332"
E4_Bvp,"1649403478,82912","-2,473648"
E4_Bvp,"1649403478,84474","7,147696"
E4_Bvp,"1649403478,86037","15,04046"
E4_Bvp,"1649403478,87599","21,13006"
E4_Bvp,"1649403478,89162","25,48545"
E4_Bvp,"1649403478,90725","28,21291"
E4_Bvp,"1649403478,92287","29,4323"
E4_Bvp,"1649403478,9385","29,36336"
E4_Bvp,"1649403478,95412","28,37499"
E4_Bvp,"1649403478,96975","26,96832"
E4_Bvp,"1649403478,98538","25,66632"
E4_Bvp,"1649403479,001","24,80934"
E4_Bvp,"1649403479,01663","24,53119"
E4_Bvp,"1649403479,03225","24,75521"
E4_Bvp,"1649403479,04788","25,24866"
E4_Bvp,"1649403479,0635","25,80381"
E4_Bvp,"1649403479,07913","26,2478"
E4_Bvp,"1649403479,09476","26,54677"
E4_Bvp,"1649403479,11038","26,75013"
E4_Bvp,"1649403479,12601","26,89256"
E4_Bvp,"1649403479,14163","26,90848"
E4_Bvp,"1649403479,15726","26,60401"
E4_Bvp,"1649403479,17288","25,74823"
E4_Bvp,"1649403479,18851","24,18617"
E4_Bvp,"1649403479,20414","21,95586"
E4_Bvp,"1649403479,21976","19,28965"
E4_Bvp,"1649403479,23539","16,49959"
E4_Bvp,"1649403479,25101","13,80608"
E4_Bvp,"1649403479,26664","11,22855"
E4_Bvp,"1649403479,28226","8,545534"
E4_Bvp,"1649403479,29789","5,460056"
E4_Bvp,"1649403479,31352","1,75136"
E4_Bvp,"1649403479,32914","-2,573978"
E4_Bvp,"1649403479,34477","-7,20228"
E4_Bvp,"1649403479,36039","-11,65135"
E4_Bvp,"1649403479,37602","-15,43944"
E4_Bvp,"1649403479,39164","-18,30128"
E4_Bvp,"1649403479,40727","-20,30652"
E4_Bvp,"1649403479,4229","-21,87495"
E4_Bvp,"1649403479,43852","-23,63919"
E4_Bvp,"1649403479,45415","-26,21573"
E4_Bvp,"1649403479,46977","-29,95864"
E4_Bvp,"1649403479,4854","-34,6782"
E4_Bvp,"1649403479,50102","-39,62134"
E4_Bvp,"1649403479,51665","-43,63004"
E4_Bvp,"1649403479,53228","-45,48735"
E4_Bvp,"1649403479,5479","-44,32225"
E4_Bvp,"1649403479,56353","-39,85249"
E4_Bvp,"1649403479,57915","-32,46228"
E4_Bvp,"1649403479,59478","-23,06494"
