ACC,time,x,y,z
E4_Acc,"1649405360,5891",-59,23,20.0
E4_Acc,"1649405360,62035",-61,25,17.0
E4_Acc,"1649405360,6516",-61,21,17.0
E4_Acc,"1649405360,68285",-62,18,18.0
E4_Acc,"1649405360,7141",-64,17,19.0
E4_Acc,"1649405360,74535",-62,16,19.0
E4_Acc,"1649405360,7766",-59,15,18.0
E4_Acc,"1649405360,80786",-62,16,16.0
E4_Acc,"1649405360,83911",-65,16,16.0
E4_Acc,"1649405360,87036",-56,15,18.0
E4_Acc,"1649405360,90161",-56,16,18.0
E4_Acc,"1649405360,93286",-57,20,20.0
E4_Acc,"1649405360,96411",-56,20,22.0
E4_Acc,"1649405360,99537",-56,21,23.0
E4_Acc,"1649405361,02662",-56,20,23.0
E4_Acc,"1649405361,05787",-58,19,22.0
E4_Acc,"1649405361,08912",-59,18,21.0
E4_Acc,"1649405361,12037",-60,19,19.0
E4_Acc,"1649405361,15162",-62,21,17.0
E4_Acc,"1649405361,18287",-60,19,17.0
E4_Acc,"1649405361,21413",-63,18,11.0
E4_Acc,"1649405361,24538",-65,18,12.0
E4_Acc,"1649405361,27663",-64,19,13.0
E4_Acc,"1649405361,30788",-61,21,16.0
E4_Acc,"1649405361,33913",-61,21,17.0
E4_Acc,"1649405361,37038",-59,22,18.0
E4_Acc,"1649405361,40163",-58,23,18.0
E4_Acc,"1649405361,43289",-60,22,17.0
E4_Acc,"1649405361,46414",-61,20,15.0
E4_Acc,"1649405361,49539",-60,19,16.0
E4_Acc,"1649405361,52664",-60,19,16.0
E4_Acc,"1649405361,55789",-61,20,16.0
E4_Acc,"1649405361,58914",-61,22,16.0
E4_Acc,"1649405361,62039",-59,22,18.0
E4_Acc,"1649405361,65165",-58,22,19.0
E4_Acc,"1649405361,6829",-59,21,19.0
E4_Acc,"1649405361,71415",-60,21,19.0
E4_Acc,"1649405361,7454",-59,22,18.0
E4_Acc,"1649405361,77665",-58,22,19.0
E4_Acc,"1649405361,8079",-58,22,19.0
E4_Acc,"1649405361,83915",-56,21,21.0
E4_Acc,"1649405361,87041",-58,20,20.0
E4_Acc,"1649405361,90166",-56,23,22.0
E4_Acc,"1649405361,93291",-58,23,20.0
E4_Acc,"1649405361,96416",-58,24,20.0
E4_Acc,"1649405361,99541",-60,23,16.0
E4_Acc,"1649405362,02666",-61,23,15.0
E4_Acc,"1649405362,05791",-61,23,14.0
E4_Acc,"1649405362,08917",-59,24,15.0
E4_Acc,"1649405362,12042",-57,24,20.0
E4_Acc,"1649405362,15167",-57,24,22.0
E4_Acc,"1649405362,18292",-56,24,22.0
E4_Acc,"1649405362,21417",-58,24,19.0
E4_Acc,"1649405362,24542",-59,24,19.0
E4_Acc,"1649405362,27667",-59,23,18.0
E4_Acc,"1649405362,30793",-59,23,18.0
E4_Acc,"1649405362,33918",-59,22,19.0
E4_Acc,"1649405362,37043",-58,23,19.0
E4_Acc,"1649405362,40168",-58,24,19.0
E4_Acc,"1649405362,43293",-57,23,20.0
E4_Acc,"1649405362,46418",-58,23,20.0
E4_Acc,"1649405362,49543",-59,23,19.0
E4_Acc,"1649405362,52669",-58,23,19.0
E4_Acc,"1649405362,55794",-58,23,18.0
E4_Acc,"1649405362,58919",-59,23,18.0
E4_Acc,"1649405362,62044",-59,23,18.0
E4_Acc,"1649405362,65169",-58,23,18.0
E4_Acc,"1649405362,68294",-58,24,19.0
E4_Acc,"1649405362,71419",-58,24,18.0
E4_Acc,"1649405362,74545",-59,23,18.0
E4_Acc,"1649405362,7767",-59,23,18.0
E4_Acc,"1649405362,80795",-58,23,18.0
E4_Acc,"1649405362,8392",-59,23,18.0
E4_Acc,"1649405362,87045",-59,23,18.0
E4_Acc,"1649405362,9017",-59,23,18.0
E4_Acc,"1649405362,93295",-59,23,18.0
E4_Acc,"1649405362,96421",-58,23,19.0
E4_Acc,"1649405362,99546",-58,23,19.0
E4_Acc,"1649405363,02671",-58,23,19.0
E4_Acc,"1649405363,05796",-58,22,19.0
E4_Acc,"1649405363,08921",-59,22,18.0
E4_Acc,"1649405363,12046",-59,22,18.0
E4_Acc,"1649405363,15171",-59,23,18.0
E4_Acc,"1649405363,18297",-58,23,18.0
E4_Acc,"1649405363,21422",-59,23,18.0
E4_Acc,"1649405363,24547",-58,23,19.0
E4_Acc,"1649405363,27672",-58,23,19.0
E4_Acc,"1649405363,30797",-58,23,19.0
E4_Acc,"1649405363,33922",-58,23,19.0
E4_Acc,"1649405363,37048",-58,23,19.0
E4_Acc,"1649405363,40173",-58,24,19.0
E4_Acc,"1649405363,43298",-58,24,18.0
E4_Acc,"1649405363,46423",-59,24,18.0
E4_Acc,"1649405363,49548",-59,22,19.0
E4_Acc,"1649405363,52673",-58,22,19.0
E4_Acc,"1649405363,55798",-58,23,19.0
E4_Acc,"1649405363,58924",-59,23,18.0
E4_Acc,"1649405363,62049",-59,23,18.0
E4_Acc,"1649405363,65174",-58,24,18.0
E4_Acc,"1649405363,68299",-58,24,19.0
E4_Acc,"1649405363,71424",-58,23,19.0
E4_Acc,"1649405363,74549",-58,23,19.0
E4_Acc,"1649405363,77674",-59,23,19.0
E4_Acc,"1649405363,808",-58,23,19.0
E4_Acc,"1649405363,83925",-58,23,19.0
E4_Acc,"1649405363,8705",-59,23,19.0
E4_Acc,"1649405363,90175",-58,24,18.0
E4_Acc,"1649405363,933",-58,24,19.0
E4_Acc,"1649405363,96425",-58,24,19.0
E4_Acc,"1649405363,9955",-58,24,19.0
E4_Acc,"1649405364,02676",-58,24,18.0
E4_Acc,"1649405364,05801",-58,23,18.0
E4_Acc,"1649405364,08926",-58,23,19.0
E4_Acc,"1649405364,12051",-58,24,19.0
E4_Acc,"1649405364,15176",-58,24,19.0
E4_Acc,"1649405364,18301",-60,24,18.0
E4_Acc,"1649405364,21426",-62,23,19.0
E4_Acc,"1649405364,24552",-59,22,20.0
E4_Acc,"1649405364,27677",-54,21,23.0
E4_Acc,"1649405364,30802",-56,23,23.0
E4_Acc,"1649405364,33927",-58,26,18.0
E4_Acc,"1649405364,37052",-59,28,16.0
E4_Acc,"1649405364,40177",-58,27,17.0
E4_Acc,"1649405364,43302",-55,28,18.0
E4_Acc,"1649405364,46428",-55,31,19.0
E4_Acc,"1649405364,49553",-52,33,20.0
E4_Acc,"1649405364,52678",-52,32,19.0
E4_Acc,"1649405364,55803",-53,32,21.0
E4_Acc,"1649405364,58928",-55,31,21.0
E4_Acc,"1649405364,62053",-56,28,19.0
E4_Acc,"1649405364,65178",-55,29,21.0
E4_Acc,"1649405364,68304",-51,31,21.0
E4_Acc,"1649405364,71429",-51,33,19.0
E4_Acc,"1649405364,74554",-51,34,24.0
E4_Acc,"1649405364,77679",-55,32,19.0
E4_Acc,"1649405364,80804",-51,32,22.0
E4_Acc,"1649405364,83929",-55,32,23.0
E4_Acc,"1649405364,87054",-50,32,34.0
E4_Acc,"1649405364,9018",-47,29,29.0
E4_Acc,"1649405364,93305",-47,27,23.0
E4_Acc,"1649405364,9643",-53,29,20.0
E4_Acc,"1649405364,99555",-56,30,14.0
E4_Acc,"1649405365,0268",-61,31,12.0
E4_Acc,"1649405365,05805",-53,31,15.0
E4_Acc,"1649405365,0893",-53,31,22.0
E4_Acc,"1649405365,12056",-57,31,19.0
E4_Acc,"1649405365,15181",-54,31,23.0
E4_Acc,"1649405365,18306",-54,30,21.0
E4_Acc,"1649405365,21431",-59,29,11.0
E4_Acc,"1649405365,24556",-61,28,9.0
E4_Acc,"1649405365,27681",-59,28,11.0
E4_Acc,"1649405365,30806",-57,27,14.0
E4_Acc,"1649405365,33932",-57,27,15.0
E4_Acc,"1649405365,37057",-57,27,16.0
E4_Acc,"1649405365,40182",-56,28,17.0
E4_Acc,"1649405365,43307",-57,28,16.0
E4_Acc,"1649405365,46432",-59,26,12.0
E4_Acc,"1649405365,49557",-56,26,14.0
E4_Acc,"1649405365,52682",-59,27,15.0
E4_Acc,"1649405365,55808",-58,28,15.0
E4_Acc,"1649405365,58933",-55,27,14.0
E4_Acc,"1649405365,62058",-58,30,12.0
E4_Acc,"1649405365,65183",-56,30,13.0
E4_Acc,"1649405365,68308",-58,30,14.0
E4_Acc,"1649405365,71433",-58,29,13.0
E4_Acc,"1649405365,74558",-58,29,11.0
E4_Acc,"1649405365,77684",-61,28,8.0
E4_Acc,"1649405365,80809",-61,25,8.0
E4_Acc,"1649405365,83934",-59,27,14.0
E4_Acc,"1649405365,87059",-57,26,15.0
E4_Acc,"1649405365,90184",-57,29,17.0
E4_Acc,"1649405365,93309",-53,27,17.0
E4_Acc,"1649405365,96435",-56,31,16.0
E4_Acc,"1649405365,9956",-55,31,15.0
E4_Acc,"1649405366,02685",-57,30,13.0
E4_Acc,"1649405366,0581",-58,28,14.0
E4_Acc,"1649405366,08935",-57,28,15.0
E4_Acc,"1649405366,1206",-58,28,14.0
E4_Acc,"1649405366,15185",-57,28,14.0
E4_Acc,"1649405366,18311",-56,28,15.0
E4_Acc,"1649405366,21436",-54,29,17.0
E4_Acc,"1649405366,24561",-55,29,18.0
E4_Acc,"1649405366,27686",-58,28,14.0
E4_Acc,"1649405366,30811",-59,27,13.0
E4_Acc,"1649405366,33936",-58,27,12.0
E4_Acc,"1649405366,37061",-60,27,10.0
E4_Acc,"1649405366,40187",-59,28,11.0
E4_Acc,"1649405366,43312",-59,27,11.0
E4_Acc,"1649405366,46437",-59,27,12.0
E4_Acc,"1649405366,49562",-58,27,12.0
E4_Acc,"1649405366,52687",-58,27,13.0
E4_Acc,"1649405366,55812",-58,28,13.0
E4_Acc,"1649405366,58937",-57,28,12.0
E4_Acc,"1649405366,62063",-58,28,12.0
E4_Acc,"1649405366,65188",-58,29,12.0
E4_Acc,"1649405366,68313",-58,28,12.0
E4_Acc,"1649405366,71438",-58,27,13.0
E4_Acc,"1649405366,74563",-59,27,12.0
E4_Acc,"1649405366,77688",-59,26,12.0
E4_Acc,"1649405366,80813",-59,26,11.0
E4_Acc,"1649405366,83939",-59,27,12.0
E4_Acc,"1649405366,87064",-59,26,12.0
E4_Acc,"1649405366,90189",-59,26,11.0
