EDA,time,values
E4_Gsr,"1649405359,765","13,50844"
E4_Gsr,"1649405360,015","13,51612"
E4_Gsr,"1649405360,265","13,51741"
E4_Gsr,"1649405360,515","13,54046"
E4_Gsr,"1649405360,765","13,52637"
E4_Gsr,"1649405361,015","13,52637"
E4_Gsr,"1649405361,265","13,52509"
E4_Gsr,"1649405361,515","13,5315"
E4_Gsr,"1649405361,765","13,54687"
E4_Gsr,"1649405362,015","13,56992"
E4_Gsr,"1649405362,265","13,58017"
E4_Gsr,"1649405362,515","13,60579"
E4_Gsr,"1649405362,765","13,60066"
E4_Gsr,"1649405363,015","13,62116"
E4_Gsr,"1649405363,265","13,61091"
E4_Gsr,"1649405363,515","13,62116"
E4_Gsr,"1649405363,765","13,62116"
E4_Gsr,"1649405364,015","13,61347"
E4_Gsr,"1649405364,265","13,63396"
E4_Gsr,"1649405364,515","13,63909"
E4_Gsr,"1649405364,765","13,77998"
E4_Gsr,"1649405365,015","13,84915"
E4_Gsr,"1649405365,265","13,80944"
E4_Gsr,"1649405365,515","13,7992"
E4_Gsr,"1649405365,765","13,79407"
E4_Gsr,"1649405366,015","13,77614"
E4_Gsr,"1649405366,265","13,79792"
E4_Gsr,"1649405366,515","13,78639"
E4_Gsr,"1649405366,765","13,78895"
E4_Gsr,"1649405367,015","13,79663"
E4_Gsr,"1649405367,265","13,78511"
E4_Gsr,"1649405367,515","13,7787"
E4_Gsr,"1649405367,765","13,81201"
E4_Gsr,"1649405368,015","13,83634"
E4_Gsr,"1649405368,265","13,84275"
E4_Gsr,"1649405368,515","13,85812"
E4_Gsr,"1649405368,765","13,87092"
E4_Gsr,"1649405369,015","13,85812"
E4_Gsr,"1649405369,265","13,85812"
E4_Gsr,"1649405369,515","13,86324"
E4_Gsr,"1649405369,765","13,87349"
E4_Gsr,"1649405370,015","13,87605"
E4_Gsr,"1649405370,265","13,86708"
E4_Gsr,"1649405370,515","13,87092"
E4_Gsr,"1649405370,765","13,87861"
E4_Gsr,"1649405371,015","13,88501"
E4_Gsr,"1649405371,265","13,87349"
