ACC,time,x,y,z
E4_Acc,"1649404753,43599",-57,25,20.0
E4_Acc,"1649404753,46724",-57,25,19.0
E4_Acc,"1649404753,49849",-57,25,19.0
E4_Acc,"1649404753,52974",-56,26,20.0
E4_Acc,"1649404753,56099",-56,26,20.0
E4_Acc,"1649404753,59224",-57,26,20.0
E4_Acc,"1649404753,6235",-58,25,20.0
E4_Acc,"1649404753,65475",-57,25,19.0
E4_Acc,"1649404753,686",-57,25,20.0
E4_Acc,"1649404753,71725",-57,25,20.0
E4_Acc,"1649404753,7485",-57,25,20.0
E4_Acc,"1649404753,77975",-57,25,20.0
E4_Acc,"1649404753,811",-57,25,20.0
E4_Acc,"1649404753,84226",-57,25,20.0
E4_Acc,"1649404753,87351",-57,25,20.0
E4_Acc,"1649404753,90476",-56,26,20.0
E4_Acc,"1649404753,93601",-57,26,20.0
E4_Acc,"1649404753,96726",-57,25,19.0
E4_Acc,"1649404753,99851",-57,25,19.0
E4_Acc,"1649404754,02976",-57,25,20.0
E4_Acc,"1649404754,06102",-57,25,20.0
E4_Acc,"1649404754,09227",-57,25,20.0
E4_Acc,"1649404754,12352",-57,25,20.0
E4_Acc,"1649404754,15477",-57,26,20.0
E4_Acc,"1649404754,18602",-56,26,20.0
E4_Acc,"1649404754,21727",-56,26,20.0
E4_Acc,"1649404754,24852",-57,25,20.0
E4_Acc,"1649404754,27978",-57,25,20.0
E4_Acc,"1649404754,31103",-57,25,20.0
E4_Acc,"1649404754,34228",-56,26,20.0
E4_Acc,"1649404754,37353",-56,26,20.0
E4_Acc,"1649404754,40478",-55,26,21.0
E4_Acc,"1649404754,43603",-57,27,19.0
E4_Acc,"1649404754,46728",-58,27,18.0
E4_Acc,"1649404754,49854",-56,27,18.0
E4_Acc,"1649404754,52979",-56,26,20.0
E4_Acc,"1649404754,56104",-57,25,20.0
E4_Acc,"1649404754,59229",-57,25,20.0
E4_Acc,"1649404754,62354",-57,26,19.0
E4_Acc,"1649404754,65479",-57,26,19.0
E4_Acc,"1649404754,68604",-57,25,19.0
E4_Acc,"1649404754,7173",-57,25,19.0
E4_Acc,"1649404754,74855",-58,25,19.0
E4_Acc,"1649404754,7798",-57,25,19.0
E4_Acc,"1649404754,81105",-57,25,19.0
E4_Acc,"1649404754,8423",-57,25,19.0
E4_Acc,"1649404754,87355",-58,25,19.0
E4_Acc,"1649404754,9048",-57,25,19.0
E4_Acc,"1649404754,93606",-57,25,19.0
E4_Acc,"1649404754,96731",-57,25,19.0
E4_Acc,"1649404754,99856",-57,25,19.0
E4_Acc,"1649404755,02981",-57,25,19.0
E4_Acc,"1649404755,06106",-57,25,19.0
E4_Acc,"1649404755,09231",-58,25,19.0
E4_Acc,"1649404755,12357",-58,25,18.0
E4_Acc,"1649404755,15482",-58,25,18.0
E4_Acc,"1649404755,18607",-57,26,19.0
E4_Acc,"1649404755,21732",-57,26,19.0
E4_Acc,"1649404755,24857",-57,26,19.0
E4_Acc,"1649404755,27982",-57,26,18.0
E4_Acc,"1649404755,31107",-57,25,19.0
E4_Acc,"1649404755,34233",-57,25,19.0
E4_Acc,"1649404755,37358",-57,25,19.0
E4_Acc,"1649404755,40483",-58,25,19.0
E4_Acc,"1649404755,43608",-58,25,18.0
E4_Acc,"1649404755,46733",-57,26,18.0
E4_Acc,"1649404755,49858",-57,26,18.0
E4_Acc,"1649404755,52983",-57,26,19.0
E4_Acc,"1649404755,56109",-57,26,19.0
E4_Acc,"1649404755,59234",-57,26,18.0
E4_Acc,"1649404755,62359",-57,26,18.0
E4_Acc,"1649404755,65484",-58,26,19.0
E4_Acc,"1649404755,68609",-57,25,18.0
E4_Acc,"1649404755,71734",-57,25,18.0
E4_Acc,"1649404755,74859",-57,26,18.0
E4_Acc,"1649404755,77985",-57,26,18.0
E4_Acc,"1649404755,8111",-57,26,18.0
E4_Acc,"1649404755,84235",-57,25,19.0
E4_Acc,"1649404755,8736",-57,25,19.0
E4_Acc,"1649404755,90485",-57,25,18.0
E4_Acc,"1649404755,9361",-57,25,18.0
E4_Acc,"1649404755,96735",-57,25,18.0
E4_Acc,"1649404755,99861",-58,25,19.0
