EDA,time,values
E4_Gsr,"1641369967,991","6,447644"
E4_Gsr,"1641369968,241","6,386158"
E4_Gsr,"1641369968,491","6,343887"
E4_Gsr,"1641369968,741","6,419463"
E4_Gsr,"1641369968,991","6,419463"
E4_Gsr,"1641369969,241","6,402811"
E4_Gsr,"1641369969,491","6,384878"
E4_Gsr,"1641369969,741","6,366944"
E4_Gsr,"1641369969,991","6,346449"
E4_Gsr,"1641369970,241","6,334921"
E4_Gsr,"1641369970,491","6,323392"
E4_Gsr,"1641369970,741","6,311864"
E4_Gsr,"1641369970,991","6,299054"
E4_Gsr,"1641369971,241","6,290088"
E4_Gsr,"1641369971,491","6,27984"
E4_Gsr,"1641369971,741","6,283683"
E4_Gsr,"1641369971,991","6,272154"
E4_Gsr,"1641369972,241","6,267031"
E4_Gsr,"1641369972,491","6,258064"
E4_Gsr,"1641369972,741","6,255502"
E4_Gsr,"1641369972,991","6,243974"
E4_Gsr,"1641369973,241","6,243974"
E4_Gsr,"1641369973,491","6,222198"
E4_Gsr,"1641369973,741","6,202983"
E4_Gsr,"1641369973,991","6,190174"
E4_Gsr,"1641369974,241","6,190174"
E4_Gsr,"1641369974,491","6,179926"
E4_Gsr,"1641369974,741","6,177364"
E4_Gsr,"1641369974,991","6,192736"
E4_Gsr,"1641369975,241","6,194017"
E4_Gsr,"1641369975,491","6,186331"
E4_Gsr,"1641369975,741","6,172241"
E4_Gsr,"1641369975,991","6,179926"
E4_Gsr,"1641369976,241","6,181207"
E4_Gsr,"1641369976,491","6,169679"
E4_Gsr,"1641369976,741","6,118441"
E4_Gsr,"1641369976,991","6,059517"
E4_Gsr,"1641369977,241","6,100508"
E4_Gsr,"1641369977,491","6,109475"
E4_Gsr,"1641369977,741","6,161993"
E4_Gsr,"1641369977,991","6,281121"
E4_Gsr,"1641369978,241","6,372068"
E4_Gsr,"1641369978,491","6,471982"
E4_Gsr,"1641369978,741","6,470701"
E4_Gsr,"1641369978,991","6,533467"
E4_Gsr,"1641369979,241","6,500163"
E4_Gsr,"1641369979,491","6,422025"
E4_Gsr,"1641369979,741","6,404092"
E4_Gsr,"1641369979,991","6,457891"
E4_Gsr,"1641369980,241","6,67181"
E4_Gsr,"1641369980,491","6,706395"
E4_Gsr,"1641369980,741","6,716642"
E4_Gsr,"1641369980,991","6,696147"
E4_Gsr,"1641369981,241","6,652596"
E4_Gsr,"1641369981,491","6,628257"
E4_Gsr,"1641369981,741","6,637224"
E4_Gsr,"1641369981,991","6,688462"
E4_Gsr,"1641369982,241","6,621852"
E4_Gsr,"1641369982,491","6,560367"
E4_Gsr,"1641369982,741","6,507848"
E4_Gsr,"1641369982,991","6,486073"
E4_Gsr,"1641369983,241","6,460454"
E4_Gsr,"1641369983,491","6,436116"
E4_Gsr,"1641369983,741","6,429711"
E4_Gsr,"1641369983,991","6,419463"
E4_Gsr,"1641369984,241","6,396406"
E4_Gsr,"1641369984,491","6,378473"
E4_Gsr,"1641369984,741","6,366944"
E4_Gsr,"1641369984,991","6,355416"
E4_Gsr,"1641369985,241","6,349011"
E4_Gsr,"1641369985,491","6,346449"
E4_Gsr,"1641369985,741","6,338764"
E4_Gsr,"1641369985,991","6,328516"
E4_Gsr,"1641369986,241","6,318269"
E4_Gsr,"1641369986,491","6,316988"
E4_Gsr,"1641369986,741","6,30674"
E4_Gsr,"1641369986,991","6,296493"
E4_Gsr,"1641369987,241","6,295211"
E4_Gsr,"1641369987,491","6,288807"
E4_Gsr,"1641369987,741","6,286245"
E4_Gsr,"1641369987,991","6,278559"
E4_Gsr,"1641369988,241","6,274716"
E4_Gsr,"1641369988,491","6,259345"
E4_Gsr,"1641369988,741","6,263188"
E4_Gsr,"1641369988,991","6,254221"
E4_Gsr,"1641369989,241","6,254221"
E4_Gsr,"1641369989,491","6,242693"
E4_Gsr,"1641369989,741","6,23885"
E4_Gsr,"1641369989,991","6,236288"
E4_Gsr,"1641369990,241","6,233726"
E4_Gsr,"1641369990,491","6,222198"
E4_Gsr,"1641369990,741","6,215793"
E4_Gsr,"1641369990,991","6,19786"
E4_Gsr,"1641369991,241","6,183769"
E4_Gsr,"1641369991,491","6,173522"
E4_Gsr,"1641369991,741","6,173522"
E4_Gsr,"1641369991,991","6,181207"
E4_Gsr,"1641369992,241","6,172241"
E4_Gsr,"1641369992,491","6,179926"
E4_Gsr,"1641369992,741","6,173522"
E4_Gsr,"1641369992,991","6,179926"
E4_Gsr,"1641369993,241","6,177364"
E4_Gsr,"1641369993,491","6,172241"
E4_Gsr,"1641369993,741","6,179926"
E4_Gsr,"1641369993,991","6,178646"
E4_Gsr,"1641369994,241","6,167117"
E4_Gsr,"1641369994,491","6,161993"
E4_Gsr,"1641369994,741","6,156869"
E4_Gsr,"1641369994,991","6,150465"
E4_Gsr,"1641369995,241","6,14406"
E4_Gsr,"1641369995,491","6,121003"
E4_Gsr,"1641369995,741","6,118441"
E4_Gsr,"1641369995,991","6,118441"
E4_Gsr,"1641369996,241","6,115879"
E4_Gsr,"1641369996,491","6,121003"
E4_Gsr,"1641369996,741","6,105632"
E4_Gsr,"1641369996,991","6,106913"
E4_Gsr,"1641369997,241","6,097946"
E4_Gsr,"1641369997,491","6,110755"
E4_Gsr,"1641369997,741","6,091541"
E4_Gsr,"1641369997,991","6,095384"
E4_Gsr,"1641369998,241","6,095384"
E4_Gsr,"1641369998,491","6,115879"
E4_Gsr,"1641369998,741","6,164555"
E4_Gsr,"1641369998,991","6,223479"
E4_Gsr,"1641369999,241","6,290088"
E4_Gsr,"1641369999,491","6,334921"
E4_Gsr,"1641369999,741","6,373349"
E4_Gsr,"1641369999,991","6,393844"
E4_Gsr,"1641370000,241","6,400249"
E4_Gsr,"1641370000,491","6,392563"
E4_Gsr,"1641370000,741","6,406654"
E4_Gsr,"1641370000,991","6,386158"
E4_Gsr,"1641370001,241","6,372068"
