EDA,time,values
E4_Gsr,"1643454618,698","2,417377"
E4_Gsr,"1643454618,948","2,416096"
E4_Gsr,"1643454619,198","2,416096"
E4_Gsr,"1643454619,448","2,413534"
E4_Gsr,"1643454619,698","2,400723"
E4_Gsr,"1643454619,948","2,394317"
E4_Gsr,"1643454620,198","2,387912"
E4_Gsr,"1643454620,448","2,382787"
E4_Gsr,"1643454620,698","2,380225"
E4_Gsr,"1643454620,948","2,381506"
E4_Gsr,"1643454621,198","2,375101"
E4_Gsr,"1643454621,448","2,387912"
E4_Gsr,"1643454621,698","2,387912"
E4_Gsr,"1643454621,948","2,399441"
E4_Gsr,"1643454622,198","2,419939"
E4_Gsr,"1643454622,448","2,451967"
E4_Gsr,"1643454622,698","2,498086"
E4_Gsr,"1643454622,948","2,548049"
E4_Gsr,"1643454623,198","2,590325"
E4_Gsr,"1643454623,448","2,627477"
E4_Gsr,"1643454623,698","2,647975"
E4_Gsr,"1643454623,948","2,649256"
E4_Gsr,"1643454624,198","2,64285"
E4_Gsr,"1643454624,448","2,632602"
E4_Gsr,"1643454624,698","2,614666"
E4_Gsr,"1643454624,948","2,589044"
E4_Gsr,"1643454625,198","2,567266"
E4_Gsr,"1643454625,448","2,553174"
E4_Gsr,"1643454625,698","2,531395"
E4_Gsr,"1643454625,948","2,509616"
E4_Gsr,"1643454626,198","2,504492"
E4_Gsr,"1643454626,448","2,505773"
E4_Gsr,"1643454626,698","2,522427"
E4_Gsr,"1643454626,948","2,5378"
E4_Gsr,"1643454627,198","2,54933"
E4_Gsr,"1643454627,448","2,558298"
E4_Gsr,"1643454627,698","2,569828"
E4_Gsr,"1643454627,948","2,577514"
E4_Gsr,"1643454628,198","2,581358"
E4_Gsr,"1643454628,448","2,581358"
E4_Gsr,"1643454628,698","2,605699"
E4_Gsr,"1643454628,948","2,621072"
E4_Gsr,"1643454629,198","2,641569"
E4_Gsr,"1643454629,448","2,639007"
E4_Gsr,"1643454629,698","2,639007"
E4_Gsr,"1643454629,948","2,624915"
E4_Gsr,"1643454630,198","2,617229"
E4_Gsr,"1643454630,448","2,600574"
E4_Gsr,"1643454630,698","2,586482"
E4_Gsr,"1643454630,948","2,571109"
E4_Gsr,"1643454631,198","2,558298"
E4_Gsr,"1643454631,448","2,540363"
E4_Gsr,"1643454631,698","2,521146"
E4_Gsr,"1643454631,948","2,503211"
E4_Gsr,"1643454632,198","2,492962"
E4_Gsr,"1643454632,448","2,475026"
E4_Gsr,"1643454632,698","2,472464"
E4_Gsr,"1643454632,948","2,45581"
E4_Gsr,"1643454633,198","2,440437"
E4_Gsr,"1643454633,448","2,426345"
E4_Gsr,"1643454633,698","2,416096"
E4_Gsr,"1643454633,948","2,402004"
E4_Gsr,"1643454634,198","2,404566"
E4_Gsr,"1643454634,448","2,413534"
E4_Gsr,"1643454634,698","2,431469"
E4_Gsr,"1643454634,948","2,462215"
E4_Gsr,"1643454635,198","2,487838"
E4_Gsr,"1643454635,448","2,509616"
E4_Gsr,"1643454635,698","2,522427"
E4_Gsr,"1643454635,948","2,521146"
E4_Gsr,"1643454636,198","2,521146"
E4_Gsr,"1643454636,448","2,509616"
E4_Gsr,"1643454636,698","2,485275"
E4_Gsr,"1643454636,948","2,463496"
E4_Gsr,"1643454637,198","2,445561"
E4_Gsr,"1643454637,448","2,435312"
E4_Gsr,"1643454637,698","2,42122"
E4_Gsr,"1643454637,948","2,407128"
E4_Gsr,"1643454638,198","2,389193"
E4_Gsr,"1643454638,448","2,381506"
E4_Gsr,"1643454638,698","2,376382"
E4_Gsr,"1643454638,948","2,378944"
E4_Gsr,"1643454639,198","2,371257"
E4_Gsr,"1643454639,448","2,386631"
E4_Gsr,"1643454639,698","2,382787"
E4_Gsr,"1643454639,948","2,387912"
E4_Gsr,"1643454640,198","2,382787"
E4_Gsr,"1643454640,448","2,378944"
E4_Gsr,"1643454640,698","2,367414"
E4_Gsr,"1643454640,948","2,361009"
E4_Gsr,"1643454641,198","2,354603"
E4_Gsr,"1643454641,448","2,35076"
E4_Gsr,"1643454641,698","2,348198"
E4_Gsr,"1643454641,948","2,33923"
E4_Gsr,"1643454642,198","2,336668"
E4_Gsr,"1643454642,448","2,331543"
E4_Gsr,"1643454642,698","2,3277"
E4_Gsr,"1643454642,948","2,322576"
E4_Gsr,"1643454643,198","2,321295"
E4_Gsr,"1643454643,448","2,321295"
E4_Gsr,"1643454643,698","2,317451"
E4_Gsr,"1643454643,948","2,313608"
E4_Gsr,"1643454644,198","2,313608"
E4_Gsr,"1643454644,448","2,309765"
E4_Gsr,"1643454644,698","2,303359"
E4_Gsr,"1643454644,948","2,299516"
E4_Gsr,"1643454645,198","2,29311"
E4_Gsr,"1643454645,448","2,291829"
E4_Gsr,"1643454645,698","2,285424"
E4_Gsr,"1643454645,948","2,287986"
E4_Gsr,"1643454646,198","2,287986"
E4_Gsr,"1643454646,448","2,289267"
E4_Gsr,"1643454646,698","2,299516"
E4_Gsr,"1643454646,948","2,296954"
E4_Gsr,"1643454647,198","2,299516"
E4_Gsr,"1643454647,448","2,294391"
E4_Gsr,"1643454647,698","2,300797"
E4_Gsr,"1643454647,948","2,303359"
E4_Gsr,"1643454648,198","2,336668"
E4_Gsr,"1643454648,448","2,377663"
E4_Gsr,"1643454648,698","2,428907"
E4_Gsr,"1643454648,948","2,47887"
E4_Gsr,"1643454649,198","2,516022"
E4_Gsr,"1643454649,448","2,544206"
E4_Gsr,"1643454649,698","2,554455"
E4_Gsr,"1643454649,948","2,554455"
E4_Gsr,"1643454650,198","2,536519"
E4_Gsr,"1643454650,448","2,509616"
E4_Gsr,"1643454650,698","2,487838"
E4_Gsr,"1643454650,948","2,453248"
E4_Gsr,"1643454651,198","2,437875"
E4_Gsr,"1643454651,448","2,425064"
E4_Gsr,"1643454651,698","2,42122"
E4_Gsr,"1643454651,948","2,418658"
E4_Gsr,"1643454652,198","2,418658"
E4_Gsr,"1643454652,448","2,416096"
E4_Gsr,"1643454652,698","2,414815"
E4_Gsr,"1643454652,948","2,405847"
E4_Gsr,"1643454653,198","2,399441"
E4_Gsr,"1643454653,448","2,395598"
E4_Gsr,"1643454653,698","2,395598"
E4_Gsr,"1643454653,948","2,38535"
E4_Gsr,"1643454654,198","2,378944"
E4_Gsr,"1643454654,448","2,372539"
E4_Gsr,"1643454654,698","2,371257"
E4_Gsr,"1643454654,948","2,367414"
E4_Gsr,"1643454655,198","2,368695"
E4_Gsr,"1643454655,448","2,361009"
E4_Gsr,"1643454655,698","2,355884"
E4_Gsr,"1643454655,948","2,353322"
E4_Gsr,"1643454656,198","2,345635"
E4_Gsr,"1643454656,448","2,343073"
E4_Gsr,"1643454656,698","2,345635"
E4_Gsr,"1643454656,948","2,349479"
E4_Gsr,"1643454657,198","2,35076"
E4_Gsr,"1643454657,448","2,355884"
E4_Gsr,"1643454657,698","2,364852"
E4_Gsr,"1643454657,948","2,348198"
E4_Gsr,"1643454658,198","2,354603"
E4_Gsr,"1643454658,448","2,368695"
E4_Gsr,"1643454658,698","2,376382"
E4_Gsr,"1643454658,948","2,382787"
E4_Gsr,"1643454659,198","2,389193"
E4_Gsr,"1643454659,448","2,391755"
E4_Gsr,"1643454659,698","2,400723"
E4_Gsr,"1643454659,948","2,396879"
E4_Gsr,"1643454660,198","2,402004"
E4_Gsr,"1643454660,448","2,394317"
E4_Gsr,"1643454660,698","2,389193"
E4_Gsr,"1643454660,948","2,387912"
E4_Gsr,"1643454661,198","2,393036"
E4_Gsr,"1643454661,448","2,384068"
E4_Gsr,"1643454661,698","2,378944"
E4_Gsr,"1643454661,948","2,375101"
E4_Gsr,"1643454662,198","2,366133"
E4_Gsr,"1643454662,448","2,368695"
E4_Gsr,"1643454662,698","2,352041"
E4_Gsr,"1643454662,948","2,353322"
E4_Gsr,"1643454663,198","2,35076"
E4_Gsr,"1643454663,448","2,366133"
E4_Gsr,"1643454663,698","2,386631"
E4_Gsr,"1643454663,948","2,403285"
E4_Gsr,"1643454664,198","2,441718"
E4_Gsr,"1643454664,448","2,476308"
E4_Gsr,"1643454664,698","2,491681"
E4_Gsr,"1643454664,948","2,496805"
E4_Gsr,"1643454665,198","2,500648"
E4_Gsr,"1643454665,448","2,495524"
E4_Gsr,"1643454665,698","2,485275"
E4_Gsr,"1643454665,948","2,46734"
E4_Gsr,"1643454666,198","2,454529"
E4_Gsr,"1643454666,448","2,44428"
E4_Gsr,"1643454666,698","2,44428"
E4_Gsr,"1643454666,948","2,471183"
E4_Gsr,"1643454667,198","2,51474"
E4_Gsr,"1643454667,448","2,581358"
E4_Gsr,"1643454667,698","2,640288"
E4_Gsr,"1643454667,948","2,678721"
E4_Gsr,"1643454668,198","2,705624"
E4_Gsr,"1643454668,448","2,706906"
E4_Gsr,"1643454668,698","2,710749"
E4_Gsr,"1643454668,948","2,708187"
E4_Gsr,"1643454669,198","2,687689"
E4_Gsr,"1643454669,448","2,667192"
E4_Gsr,"1643454669,698","2,649256"
E4_Gsr,"1643454669,948","2,650537"
E4_Gsr,"1643454670,198","2,640288"
E4_Gsr,"1643454670,448","2,655662"
E4_Gsr,"1643454670,698","2,659505"
E4_Gsr,"1643454670,948","2,655662"
E4_Gsr,"1643454671,198","2,647975"
E4_Gsr,"1643454671,448","2,626196"
E4_Gsr,"1643454671,698","2,604418"
E4_Gsr,"1643454671,948","2,592888"
E4_Gsr,"1643454672,198","2,559579"
E4_Gsr,"1643454672,448","2,545487"
E4_Gsr,"1643454672,698","2,523708"
E4_Gsr,"1643454672,948","2,512178"
E4_Gsr,"1643454673,198","2,496805"
E4_Gsr,"1643454673,448","2,491681"
E4_Gsr,"1643454673,698","2,487838"
E4_Gsr,"1643454673,948","2,486556"
E4_Gsr,"1643454674,198","2,469902"
E4_Gsr,"1643454674,448","2,466059"
E4_Gsr,"1643454674,698","2,458372"
E4_Gsr,"1643454674,948","2,459653"
E4_Gsr,"1643454675,198","2,460934"
E4_Gsr,"1643454675,448","2,487838"
E4_Gsr,"1643454675,698","2,521146"
E4_Gsr,"1643454675,948","2,565984"
E4_Gsr,"1643454676,198","2,608261"
E4_Gsr,"1643454676,448","2,644132"
E4_Gsr,"1643454676,698","2,663348"
E4_Gsr,"1643454676,948","2,662067"
E4_Gsr,"1643454677,198","2,671035"
E4_Gsr,"1643454677,448","2,65438"
E4_Gsr,"1643454677,698","2,641569"
E4_Gsr,"1643454677,948","2,630039"
E4_Gsr,"1643454678,198","2,647975"
E4_Gsr,"1643454678,448","2,696657"
E4_Gsr,"1643454678,698","2,777366"
E4_Gsr,"1643454678,948","2,877292"
E4_Gsr,"1643454679,198","2,955439"
E4_Gsr,"1643454679,448","2,987077"
E4_Gsr,"1643454679,698","3,003731"
E4_Gsr,"1643454679,948","2,992201"
E4_Gsr,"1643454680,198","2,974266"
E4_Gsr,"1643454680,448","2,924303"
E4_Gsr,"1643454680,698","2,883308"
E4_Gsr,"1643454680,948","2,834626"
E4_Gsr,"1643454681,198","2,788506"
E4_Gsr,"1643454681,448","2,744949"
E4_Gsr,"1643454681,698","2,707797"
E4_Gsr,"1643454681,948","2,679613"
E4_Gsr,"1643454682,198","2,65271"
E4_Gsr,"1643454682,448","2,634774"
E4_Gsr,"1643454682,698","2,616839"
E4_Gsr,"1643454682,948","2,598903"
E4_Gsr,"1643454683,198","2,578406"
E4_Gsr,"1643454683,448","2,570719"
E4_Gsr,"1643454683,698","2,563033"
E4_Gsr,"1643454683,948","2,548941"
E4_Gsr,"1643454684,198","2,545097"
E4_Gsr,"1643454684,448","2,550222"
E4_Gsr,"1643454684,698","2,565595"
E4_Gsr,"1643454684,948","2,566876"
E4_Gsr,"1643454685,198","2,569438"
E4_Gsr,"1643454685,448","2,573282"
E4_Gsr,"1643454685,698","2,570719"
E4_Gsr,"1643454685,948","2,560471"
E4_Gsr,"1643454686,198","2,556627"
E4_Gsr,"1643454686,448","2,557908"
E4_Gsr,"1643454686,698","2,560471"
E4_Gsr,"1643454686,948","2,561752"
E4_Gsr,"1643454687,198","2,561752"
E4_Gsr,"1643454687,448","2,560471"
E4_Gsr,"1643454687,698","2,550222"
E4_Gsr,"1643454687,948","2,554065"
E4_Gsr,"1643454688,198","2,53613"
E4_Gsr,"1643454688,448","2,534848"
E4_Gsr,"1643454688,698","2,528443"
E4_Gsr,"1643454688,948","2,520756"
E4_Gsr,"1643454689,198","2,509227"
E4_Gsr,"1643454689,448","2,507946"
E4_Gsr,"1643454689,698","2,50154"
E4_Gsr,"1643454689,948","2,500259"
E4_Gsr,"1643454690,198","2,492572"
E4_Gsr,"1643454690,448","2,50154"
E4_Gsr,"1643454690,698","2,495134"
E4_Gsr,"1643454690,948","2,487448"
E4_Gsr,"1643454691,198","2,479761"
E4_Gsr,"1643454691,448","2,493853"
E4_Gsr,"1643454691,698","2,484886"
E4_Gsr,"1643454691,948","2,493853"
E4_Gsr,"1643454692,198","2,483605"
E4_Gsr,"1643454692,448","2,486167"
E4_Gsr,"1643454692,698","2,477199"
E4_Gsr,"1643454692,948","2,47848"
E4_Gsr,"1643454693,198","2,477199"
E4_Gsr,"1643454693,448","2,468231"
E4_Gsr,"1643454693,698","2,469512"
E4_Gsr,"1643454693,948","2,472075"
E4_Gsr,"1643454694,198","2,49001"
E4_Gsr,"1643454694,448","2,523319"
E4_Gsr,"1643454694,698","2,572001"
E4_Gsr,"1643454694,948","2,630931"
E4_Gsr,"1643454695,198","2,671926"
E4_Gsr,"1643454695,448","2,70011"
E4_Gsr,"1643454695,698","2,715484"
E4_Gsr,"1643454695,948","2,71164"
E4_Gsr,"1643454696,198","2,696267"
E4_Gsr,"1643454696,448","2,677051"
E4_Gsr,"1643454696,698","2,645023"
E4_Gsr,"1643454696,948","2,619401"
E4_Gsr,"1643454697,198","2,601466"
E4_Gsr,"1643454697,448","2,580968"
E4_Gsr,"1643454697,698","2,569438"
E4_Gsr,"1643454697,948","2,550222"
E4_Gsr,"1643454698,198","2,542535"
E4_Gsr,"1643454698,448","2,53613"
E4_Gsr,"1643454698,698","2,538692"
E4_Gsr,"1643454698,948","2,545097"
E4_Gsr,"1643454699,198","2,556627"
E4_Gsr,"1643454699,448","2,564314"
E4_Gsr,"1643454699,698","2,577125"
E4_Gsr,"1643454699,948","2,572001"
E4_Gsr,"1643454700,198","2,579687"
E4_Gsr,"1643454700,448","2,570719"
E4_Gsr,"1643454700,698","2,573282"
E4_Gsr,"1643454700,948","2,560471"
E4_Gsr,"1643454701,198","2,548941"
E4_Gsr,"1643454701,448","2,539973"
E4_Gsr,"1643454701,698","2,5246"
E4_Gsr,"1643454701,948","2,510508"
E4_Gsr,"1643454702,198","2,506664"
E4_Gsr,"1643454702,448","2,502821"
E4_Gsr,"1643454702,698","2,495134"
E4_Gsr,"1643454702,948","2,482323"
E4_Gsr,"1643454703,198","2,482323"
E4_Gsr,"1643454703,448","2,475918"
E4_Gsr,"1643454703,698","2,477199"
E4_Gsr,"1643454703,948","2,474637"
E4_Gsr,"1643454704,198","2,475918"
E4_Gsr,"1643454704,448","2,472075"
E4_Gsr,"1643454704,698","2,477199"
E4_Gsr,"1643454704,948","2,464388"
E4_Gsr,"1643454705,198","2,470793"
E4_Gsr,"1643454705,448","2,463107"
E4_Gsr,"1643454705,698","2,468231"
E4_Gsr,"1643454705,948","2,470793"
E4_Gsr,"1643454706,198","2,484886"
E4_Gsr,"1643454706,448","2,47848"
E4_Gsr,"1643454706,698","2,486167"
E4_Gsr,"1643454706,948","2,492572"
E4_Gsr,"1643454707,198","2,493853"
E4_Gsr,"1643454707,448","2,496416"
E4_Gsr,"1643454707,698","2,492572"
E4_Gsr,"1643454707,948","2,498978"
E4_Gsr,"1643454708,198","2,50154"
E4_Gsr,"1643454708,448","2,525881"
E4_Gsr,"1643454708,698","2,572001"
E4_Gsr,"1643454708,948","2,628369"
E4_Gsr,"1643454709,198","2,70011"
E4_Gsr,"1643454709,448","2,756479"
E4_Gsr,"1643454709,698","2,805161"
E4_Gsr,"1643454709,948","2,85128"
E4_Gsr,"1643454710,198","2,865372"
E4_Gsr,"1643454710,448","2,889713"
E4_Gsr,"1643454710,698","2,929427"
E4_Gsr,"1643454710,948","2,978109"
E4_Gsr,"1643454711,198","3,015261"
E4_Gsr,"1643454711,448","3,047288"
E4_Gsr,"1643454711,698","3,062662"
E4_Gsr,"1643454711,948","3,065224"
E4_Gsr,"1643454712,198","3,038321"
E4_Gsr,"1643454712,448","3,008855"
E4_Gsr,"1643454712,698","2,981952"
E4_Gsr,"1643454712,948","2,960174"
E4_Gsr,"1643454713,198","2,942238"
E4_Gsr,"1643454713,448","2,914054"
E4_Gsr,"1643454713,698","2,8974"
E4_Gsr,"1643454713,948","2,883308"
E4_Gsr,"1643454714,198","2,83975"
E4_Gsr,"1643454714,448","2,789787"
E4_Gsr,"1643454714,698","2,760322"
E4_Gsr,"1643454714,948","2,759041"
E4_Gsr,"1643454715,198","2,744949"
E4_Gsr,"1643454715,448","2,738543"
E4_Gsr,"1643454715,698","2,718046"
E4_Gsr,"1643454715,948","2,720608"
E4_Gsr,"1643454716,198","2,707797"
E4_Gsr,"1643454716,448","2,696267"
E4_Gsr,"1643454716,698","2,678332"
E4_Gsr,"1643454716,948","2,670645"
E4_Gsr,"1643454717,198","2,670645"
E4_Gsr,"1643454717,448","2,66424"
E4_Gsr,"1643454717,698","2,651429"
E4_Gsr,"1643454717,948","2,662959"
E4_Gsr,"1643454718,198","2,659115"
E4_Gsr,"1643454718,448","2,674488"
E4_Gsr,"1643454718,698","2,679613"
E4_Gsr,"1643454718,948","2,694986"
E4_Gsr,"1643454719,198","2,694986"
E4_Gsr,"1643454719,448","2,697548"
E4_Gsr,"1643454719,698","2,687299"
E4_Gsr,"1643454719,948","2,679613"
E4_Gsr,"1643454720,198","2,665521"
E4_Gsr,"1643454720,448","2,656553"
E4_Gsr,"1643454720,698","2,645023"
E4_Gsr,"1643454720,948","2,639899"
E4_Gsr,"1643454721,198","2,628369"
E4_Gsr,"1643454721,448","2,628369"
E4_Gsr,"1643454721,698","2,61812"
E4_Gsr,"1643454721,948","2,61812"
E4_Gsr,"1643454722,198","2,611715"
E4_Gsr,"1643454722,448","2,609152"
E4_Gsr,"1643454722,698","2,597622"
E4_Gsr,"1643454722,948","2,596341"
E4_Gsr,"1643454723,198","2,58353"
E4_Gsr,"1643454723,448","2,586092"
E4_Gsr,"1643454723,698","2,566876"
E4_Gsr,"1643454723,948","2,566876"
E4_Gsr,"1643454724,198","2,580968"
E4_Gsr,"1643454724,448","2,589936"
E4_Gsr,"1643454724,698","2,578406"
E4_Gsr,"1643454724,948","2,580968"
E4_Gsr,"1643454725,198","2,580968"
E4_Gsr,"1643454725,448","2,589936"
E4_Gsr,"1643454725,698","2,58353"
E4_Gsr,"1643454725,948","2,582249"
E4_Gsr,"1643454726,198","2,577125"
E4_Gsr,"1643454726,448","2,584811"
E4_Gsr,"1643454726,698","2,574563"
E4_Gsr,"1643454726,948","2,578406"
E4_Gsr,"1643454727,198","2,573282"
E4_Gsr,"1643454727,448","2,577125"
E4_Gsr,"1643454727,698","2,572001"
E4_Gsr,"1643454727,948","2,564314"
E4_Gsr,"1643454728,198","2,566876"
E4_Gsr,"1643454728,448","2,557908"
E4_Gsr,"1643454728,698","2,561752"
E4_Gsr,"1643454728,948","2,566876"
E4_Gsr,"1643454729,198","2,573282"
E4_Gsr,"1643454729,448","2,561752"
E4_Gsr,"1643454729,698","2,556627"
E4_Gsr,"1643454729,948","2,554065"
E4_Gsr,"1643454730,198","2,552784"
E4_Gsr,"1643454730,448","2,548941"
E4_Gsr,"1643454730,698","2,561752"
E4_Gsr,"1643454730,948","2,561752"
E4_Gsr,"1643454731,198","2,568157"
E4_Gsr,"1643454731,448","2,565595"
E4_Gsr,"1643454731,698","2,577125"
E4_Gsr,"1643454731,948","2,569438"
E4_Gsr,"1643454732,198","2,556627"
E4_Gsr,"1643454732,448","2,569438"
E4_Gsr,"1643454732,698","2,560471"
E4_Gsr,"1643454732,948","2,543816"
E4_Gsr,"1643454733,198","2,533567"
E4_Gsr,"1643454733,448","2,542535"
E4_Gsr,"1643454733,698","2,550222"
E4_Gsr,"1643454733,948","2,557908"
E4_Gsr,"1643454734,198","2,564314"
E4_Gsr,"1643454734,448","2,574563"
E4_Gsr,"1643454734,698","2,575844"
E4_Gsr,"1643454734,948","2,575844"
E4_Gsr,"1643454735,198","2,577125"
E4_Gsr,"1643454735,448","2,570719"
E4_Gsr,"1643454735,698","2,563033"
E4_Gsr,"1643454735,948","2,560471"
E4_Gsr,"1643454736,198","2,555346"
E4_Gsr,"1643454736,448","2,554065"
E4_Gsr,"1643454736,698","2,551503"
E4_Gsr,"1643454736,948","2,564314"
E4_Gsr,"1643454737,198","2,565595"
E4_Gsr,"1643454737,448","2,570719"
E4_Gsr,"1643454737,698","2,572001"
E4_Gsr,"1643454737,948","2,573282"
E4_Gsr,"1643454738,198","2,591217"
E4_Gsr,"1643454738,448","2,611715"
E4_Gsr,"1643454738,698","2,669364"
E4_Gsr,"1643454738,948","2,733419"
E4_Gsr,"1643454739,198","2,805161"
E4_Gsr,"1643454739,448","2,844875"
E4_Gsr,"1643454739,698","2,883308"
E4_Gsr,"1643454739,948","2,88587"
E4_Gsr,"1643454740,198","2,884589"
E4_Gsr,"1643454740,448","2,857686"
E4_Gsr,"1643454740,698","2,843594"
E4_Gsr,"1643454740,948","2,809004"
E4_Gsr,"1643454741,198","2,783382"
E4_Gsr,"1643454741,448","2,74623"
E4_Gsr,"1643454741,698","2,721889"
E4_Gsr,"1643454741,948","2,703954"
E4_Gsr,"1643454742,198","2,680894"
E4_Gsr,"1643454742,448","2,642461"
E4_Gsr,"1643454742,698","2,64118"
E4_Gsr,"1643454742,948","2,638618"
E4_Gsr,"1643454743,198","2,64118"
