ACC,time,x,y,z
E4_Acc,"1643454186,10076",62,-21,-2.0
E4_Acc,"1643454186,13202",62,-20,-2.0
E4_Acc,"1643454186,16327",62,-20,-2.0
E4_Acc,"1643454186,19452",62,-20,-2.0
E4_Acc,"1643454186,22577",62,-20,-2.0
E4_Acc,"1643454186,25702",62,-21,-3.0
E4_Acc,"1643454186,28827",62,-21,-2.0
E4_Acc,"1643454186,31953",62,-21,-2.0
E4_Acc,"1643454186,35078",62,-20,-2.0
E4_Acc,"1643454186,38203",62,-20,-2.0
E4_Acc,"1643454186,41328",62,-20,-2.0
E4_Acc,"1643454186,44453",62,-20,-2.0
E4_Acc,"1643454186,47578",62,-20,-2.0
E4_Acc,"1643454186,50703",62,-21,-3.0
E4_Acc,"1643454186,53829",62,-21,-3.0
E4_Acc,"1643454186,56954",62,-21,-3.0
E4_Acc,"1643454186,60079",62,-21,-3.0
E4_Acc,"1643454186,63204",62,-21,-3.0
E4_Acc,"1643454186,66329",62,-21,-3.0
E4_Acc,"1643454186,69454",63,-21,-3.0
E4_Acc,"1643454186,72579",62,-21,-2.0
E4_Acc,"1643454186,75705",62,-21,-2.0
E4_Acc,"1643454186,7883",62,-21,-2.0
E4_Acc,"1643454186,81955",62,-21,-2.0
E4_Acc,"1643454186,8508",62,-20,-3.0
E4_Acc,"1643454186,88205",62,-20,-2.0
E4_Acc,"1643454186,9133",62,-20,-2.0
E4_Acc,"1643454186,94455",62,-20,-2.0
E4_Acc,"1643454186,97581",62,-21,-2.0
E4_Acc,"1643454187,00706",62,-21,-2.0
E4_Acc,"1643454187,03831",62,-21,-2.0
E4_Acc,"1643454187,06956",62,-21,-2.0
E4_Acc,"1643454187,10081",62,-20,-2.0
E4_Acc,"1643454187,13206",62,-20,-3.0
E4_Acc,"1643454187,16331",62,-20,-3.0
E4_Acc,"1643454187,19457",62,-21,-3.0
E4_Acc,"1643454187,22582",62,-21,-3.0
E4_Acc,"1643454187,25707",62,-21,-3.0
E4_Acc,"1643454187,28832",62,-21,-3.0
E4_Acc,"1643454187,31957",62,-21,-3.0
E4_Acc,"1643454187,35082",62,-21,-3.0
E4_Acc,"1643454187,38207",62,-21,-3.0
E4_Acc,"1643454187,41333",62,-20,-3.0
E4_Acc,"1643454187,44458",62,-21,-3.0
E4_Acc,"1643454187,47583",62,-21,-3.0
E4_Acc,"1643454187,50708",62,-21,-3.0
E4_Acc,"1643454187,53833",62,-20,-3.0
E4_Acc,"1643454187,56958",62,-20,-2.0
E4_Acc,"1643454187,60083",62,-21,-3.0
E4_Acc,"1643454187,63209",62,-20,-3.0
E4_Acc,"1643454187,66334",62,-20,-3.0
E4_Acc,"1643454187,69459",62,-21,-3.0
E4_Acc,"1643454187,72584",62,-21,-2.0
E4_Acc,"1643454187,75709",62,-21,-3.0
E4_Acc,"1643454187,78834",62,-20,-3.0
E4_Acc,"1643454187,81959",62,-21,-3.0
E4_Acc,"1643454187,85085",62,-21,-3.0
E4_Acc,"1643454187,8821",62,-21,-3.0
E4_Acc,"1643454187,91335",62,-21,-3.0
E4_Acc,"1643454187,9446",62,-21,-2.0
E4_Acc,"1643454187,97585",62,-21,-2.0
E4_Acc,"1643454188,0071",62,-21,-2.0
E4_Acc,"1643454188,03835",62,-21,-3.0
E4_Acc,"1643454188,06961",62,-21,-3.0
E4_Acc,"1643454188,10086",62,-21,-2.0
E4_Acc,"1643454188,13211",62,-21,-2.0
E4_Acc,"1643454188,16336",62,-21,-2.0
E4_Acc,"1643454188,19461",62,-21,-2.0
E4_Acc,"1643454188,22586",62,-21,-2.0
E4_Acc,"1643454188,25711",62,-21,-2.0
E4_Acc,"1643454188,28837",62,-21,-2.0
E4_Acc,"1643454188,31962",62,-21,-2.0
E4_Acc,"1643454188,35087",62,-20,-2.0
E4_Acc,"1643454188,38212",63,-21,-3.0
E4_Acc,"1643454188,41337",62,-21,-3.0
E4_Acc,"1643454188,44462",62,-21,-2.0
E4_Acc,"1643454188,47587",62,-21,-3.0
E4_Acc,"1643454188,50713",62,-21,-2.0
E4_Acc,"1643454188,53838",62,-21,-3.0
E4_Acc,"1643454188,56963",62,-21,-3.0
E4_Acc,"1643454188,60088",62,-21,-2.0
E4_Acc,"1643454188,63213",62,-21,-2.0
E4_Acc,"1643454188,66338",62,-21,-2.0
E4_Acc,"1643454188,69464",62,-21,-3.0
E4_Acc,"1643454188,72589",62,-21,-2.0
E4_Acc,"1643454188,75714",62,-21,-2.0
E4_Acc,"1643454188,78839",62,-21,-3.0
E4_Acc,"1643454188,81964",62,-21,-3.0
E4_Acc,"1643454188,85089",62,-21,-3.0
E4_Acc,"1643454188,88214",62,-21,-2.0
E4_Acc,"1643454188,9134",62,-21,-2.0
E4_Acc,"1643454188,94465",62,-21,-2.0
E4_Acc,"1643454188,9759",62,-21,-2.0
E4_Acc,"1643454189,00715",63,-21,-3.0
E4_Acc,"1643454189,0384",62,-21,-3.0
E4_Acc,"1643454189,06965",62,-21,-3.0
E4_Acc,"1643454189,1009",62,-21,-3.0
E4_Acc,"1643454189,13216",62,-21,-3.0
E4_Acc,"1643454189,16341",62,-21,-3.0
E4_Acc,"1643454189,19466",62,-21,-3.0
E4_Acc,"1643454189,22591",62,-21,-3.0
E4_Acc,"1643454189,25716",62,-21,-3.0
E4_Acc,"1643454189,28841",62,-21,-3.0
E4_Acc,"1643454189,31966",62,-21,-3.0
E4_Acc,"1643454189,35092",62,-21,-3.0
E4_Acc,"1643454189,38217",62,-21,-3.0
E4_Acc,"1643454189,41342",62,-21,-3.0
E4_Acc,"1643454189,44467",62,-21,-3.0
E4_Acc,"1643454189,47592",62,-21,-3.0
E4_Acc,"1643454189,50717",62,-21,-3.0
E4_Acc,"1643454189,53842",62,-21,-3.0
E4_Acc,"1643454189,56968",62,-21,-3.0
E4_Acc,"1643454189,60093",62,-21,-3.0
E4_Acc,"1643454189,63218",62,-21,-3.0
E4_Acc,"1643454189,66343",62,-21,-3.0
E4_Acc,"1643454189,69468",62,-22,-3.0
E4_Acc,"1643454189,72593",62,-21,-3.0
E4_Acc,"1643454189,75718",62,-21,-3.0
E4_Acc,"1643454189,78844",62,-21,-3.0
E4_Acc,"1643454189,81969",62,-21,-3.0
E4_Acc,"1643454189,85094",62,-21,-3.0
E4_Acc,"1643454189,88219",62,-21,-3.0
E4_Acc,"1643454189,91344",62,-21,-3.0
E4_Acc,"1643454189,94469",62,-21,-3.0
E4_Acc,"1643454189,97594",62,-21,-3.0
E4_Acc,"1643454190,0072",62,-21,-3.0
E4_Acc,"1643454190,03845",62,-21,-3.0
E4_Acc,"1643454190,0697",62,-21,-3.0
E4_Acc,"1643454190,10095",62,-21,-3.0
E4_Acc,"1643454190,1322",62,-21,-3.0
E4_Acc,"1643454190,16345",62,-21,-3.0
E4_Acc,"1643454190,1947",62,-21,-3.0
E4_Acc,"1643454190,22596",62,-21,-3.0
E4_Acc,"1643454190,25721",62,-21,-3.0
E4_Acc,"1643454190,28846",62,-21,-3.0
E4_Acc,"1643454190,31971",62,-21,-3.0
E4_Acc,"1643454190,35096",62,-21,-3.0
E4_Acc,"1643454190,38221",62,-21,-3.0
E4_Acc,"1643454190,41346",62,-21,-4.0
E4_Acc,"1643454190,44472",62,-21,-3.0
E4_Acc,"1643454190,47597",62,-21,-4.0
E4_Acc,"1643454190,50722",62,-21,-3.0
E4_Acc,"1643454190,53847",62,-21,-4.0
E4_Acc,"1643454190,56972",62,-21,-4.0
E4_Acc,"1643454190,60097",62,-21,-4.0
E4_Acc,"1643454190,63222",62,-21,-4.0
E4_Acc,"1643454190,66348",62,-21,-4.0
E4_Acc,"1643454190,69473",62,-21,-3.0
E4_Acc,"1643454190,72598",62,-21,-3.0
E4_Acc,"1643454190,75723",62,-21,-4.0
E4_Acc,"1643454190,78848",62,-20,-4.0
E4_Acc,"1643454190,81973",62,-21,-3.0
E4_Acc,"1643454190,85099",62,-20,-4.0
E4_Acc,"1643454190,88224",62,-20,-4.0
E4_Acc,"1643454190,91349",62,-21,-4.0
E4_Acc,"1643454190,94474",62,-21,-4.0
E4_Acc,"1643454190,97599",62,-21,-4.0
E4_Acc,"1643454191,00724",62,-21,-3.0
E4_Acc,"1643454191,03849",62,-21,-4.0
E4_Acc,"1643454191,06975",62,-21,-4.0
E4_Acc,"1643454191,101",62,-21,-4.0
E4_Acc,"1643454191,13225",62,-21,-4.0
E4_Acc,"1643454191,1635",62,-21,-4.0
E4_Acc,"1643454191,19475",62,-21,-3.0
E4_Acc,"1643454191,226",62,-21,-4.0
E4_Acc,"1643454191,25725",62,-21,-3.0
E4_Acc,"1643454191,28851",62,-21,-4.0
E4_Acc,"1643454191,31976",62,-21,-4.0
E4_Acc,"1643454191,35101",62,-21,-4.0
E4_Acc,"1643454191,38226",62,-21,-4.0
E4_Acc,"1643454191,41351",62,-21,-4.0
E4_Acc,"1643454191,44476",62,-21,-4.0
E4_Acc,"1643454191,47601",62,-21,-4.0
E4_Acc,"1643454191,50727",62,-21,-4.0
E4_Acc,"1643454191,53852",62,-21,-4.0
E4_Acc,"1643454191,56977",62,-21,-3.0
E4_Acc,"1643454191,60102",62,-21,-3.0
E4_Acc,"1643454191,63227",62,-21,-4.0
E4_Acc,"1643454191,66352",62,-21,-4.0
E4_Acc,"1643454191,69477",62,-21,-3.0
E4_Acc,"1643454191,72603",62,-21,-4.0
E4_Acc,"1643454191,75728",62,-21,-4.0
E4_Acc,"1643454191,78853",62,-21,-4.0
E4_Acc,"1643454191,81978",62,-21,-4.0
E4_Acc,"1643454191,85103",62,-21,-4.0
E4_Acc,"1643454191,88228",62,-21,-4.0
E4_Acc,"1643454191,91353",62,-21,-4.0
E4_Acc,"1643454191,94479",62,-21,-4.0
E4_Acc,"1643454191,97604",62,-21,-4.0
E4_Acc,"1643454192,00729",62,-21,-4.0
E4_Acc,"1643454192,03854",62,-21,-4.0
E4_Acc,"1643454192,06979",62,-21,-4.0
E4_Acc,"1643454192,10104",62,-21,-4.0
E4_Acc,"1643454192,13229",62,-21,-4.0
E4_Acc,"1643454192,16355",62,-21,-4.0
E4_Acc,"1643454192,1948",61,-21,-4.0
E4_Acc,"1643454192,22605",62,-22,-4.0
E4_Acc,"1643454192,2573",62,-22,-4.0
E4_Acc,"1643454192,28855",62,-22,-4.0
E4_Acc,"1643454192,3198",62,-22,-4.0
E4_Acc,"1643454192,35105",62,-22,-4.0
