ST,time,values
E4_Temperature,"1643454184,85088","31,47"
E4_Temperature,"1643454185,10089","31,47"
E4_Temperature,"1643454185,35091","31,47"
E4_Temperature,"1643454185,60092","31,47"
E4_Temperature,"1643454185,85093","31,47"
E4_Temperature,"1643454186,10094","31,47"
E4_Temperature,"1643454186,35095","31,47"
E4_Temperature,"1643454186,60096","31,47"
E4_Temperature,"1643454186,85098","31,45"
E4_Temperature,"1643454187,10099","31,45"
E4_Temperature,"1643454187,351","31,45"
E4_Temperature,"1643454187,60101","31,45"
E4_Temperature,"1643454187,85102","31,45"
E4_Temperature,"1643454188,10103","31,45"
E4_Temperature,"1643454188,35105","31,45"
E4_Temperature,"1643454188,60106","31,45"
E4_Temperature,"1643454188,85107","31,43"
E4_Temperature,"1643454189,10108","31,43"
E4_Temperature,"1643454189,35109","31,43"
E4_Temperature,"1643454189,6011","31,43"
E4_Temperature,"1643454189,85111","31,45"
E4_Temperature,"1643454190,10113","31,45"
E4_Temperature,"1643454190,35114","31,45"
E4_Temperature,"1643454190,60115","31,45"
E4_Temperature,"1643454190,85116","31,45"
E4_Temperature,"1643454191,10117","31,45"
E4_Temperature,"1643454191,35118","31,45"
E4_Temperature,"1643454191,6012","31,45"
E4_Temperature,"1643454191,85121","31,47"
E4_Temperature,"1643454192,10122","31,47"
E4_Temperature,"1643454192,35123","31,47"
E4_Temperature,"1643454192,60124","31,47"
E4_Temperature,"1643454192,85125","31,47"
E4_Temperature,"1643454193,10127","31,47"
E4_Temperature,"1643454193,35128","31,47"
E4_Temperature,"1643454193,60129","31,47"
E4_Temperature,"1643454193,8513","31,47"
E4_Temperature,"1643454194,10131","31,47"
E4_Temperature,"1643454194,35132","31,47"
E4_Temperature,"1643454194,60133","31,47"
E4_Temperature,"1643454194,85135","31,47"
E4_Temperature,"1643454195,10136","31,47"
E4_Temperature,"1643454195,35137","31,47"
E4_Temperature,"1643454195,60138","31,47"
E4_Temperature,"1643454195,85139","31,47"
E4_Temperature,"1643454196,1014","31,47"
E4_Temperature,"1643454196,35142","31,47"
E4_Temperature,"1643454196,60143","31,47"
E4_Temperature,"1643454196,85144","31,47"
E4_Temperature,"1643454197,10145","31,47"
E4_Temperature,"1643454197,35146","31,47"
E4_Temperature,"1643454197,60147","31,47"
E4_Temperature,"1643454197,85149","31,47"
E4_Temperature,"1643454198,1015","31,47"
E4_Temperature,"1643454198,35151","31,47"
E4_Temperature,"1643454198,60152","31,47"
E4_Temperature,"1643454198,85153","31,49"
E4_Temperature,"1643454199,10154","31,49"
E4_Temperature,"1643454199,35155","31,49"
E4_Temperature,"1643454199,60157","31,49"
E4_Temperature,"1643454199,85158","31,47"
E4_Temperature,"1643454200,10159","31,47"
E4_Temperature,"1643454200,3516","31,47"
E4_Temperature,"1643454200,60161","31,47"
E4_Temperature,"1643454200,85162","31,45"
E4_Temperature,"1643454201,10164","31,45"
E4_Temperature,"1643454201,35165","31,45"
E4_Temperature,"1643454201,60166","31,45"
E4_Temperature,"1643454201,85167","31,47"
E4_Temperature,"1643454202,10168","31,47"
E4_Temperature,"1643454202,35169","31,47"
E4_Temperature,"1643454202,60171","31,47"
E4_Temperature,"1643454202,85172","31,49"
E4_Temperature,"1643454203,10173","31,49"
E4_Temperature,"1643454203,35174","31,49"
E4_Temperature,"1643454203,60175","31,49"
E4_Temperature,"1643454203,85176","31,47"
E4_Temperature,"1643454204,10177","31,47"
E4_Temperature,"1643454204,35179","31,47"
E4_Temperature,"1643454204,6018","31,47"
E4_Temperature,"1643454204,85181","31,49"
E4_Temperature,"1643454205,10182","31,49"
E4_Temperature,"1643454205,35183","31,49"
E4_Temperature,"1643454205,60184","31,49"
E4_Temperature,"1643454205,85186","31,49"
E4_Temperature,"1643454206,10187","31,49"
E4_Temperature,"1643454206,35188","31,49"
