ACC,time,x,y,z
E4_Acc,"1641477390,45693",-7,-17,60.0
E4_Acc,"1641477390,48818",-10,-19,60.0
E4_Acc,"1641477390,51943",-10,-16,60.0
E4_Acc,"1641477390,55069",-10,-17,60.0
E4_Acc,"1641477390,58194",-9,-17,60.0
E4_Acc,"1641477390,61319",-9,-17,60.0
E4_Acc,"1641477390,64444",-11,-17,60.0
E4_Acc,"1641477390,67569",-11,-16,60.0
E4_Acc,"1641477390,70694",-8,-20,59.0
E4_Acc,"1641477390,73819",-10,-22,60.0
E4_Acc,"1641477390,76945",-13,-20,59.0
E4_Acc,"1641477390,8007",-14,-20,58.0
E4_Acc,"1641477390,83195",-14,-19,59.0
E4_Acc,"1641477390,8632",-12,-21,58.0
E4_Acc,"1641477390,89445",-13,-21,59.0
E4_Acc,"1641477390,9257",-13,-20,59.0
E4_Acc,"1641477390,95695",-13,-21,58.0
E4_Acc,"1641477390,98821",-12,-21,58.0
E4_Acc,"1641477391,01946",-13,-20,59.0
E4_Acc,"1641477391,05071",-12,-21,58.0
E4_Acc,"1641477391,08196",-13,-20,58.0
E4_Acc,"1641477391,11321",-14,-21,58.0
E4_Acc,"1641477391,14446",-15,-21,58.0
E4_Acc,"1641477391,17571",-15,-21,58.0
E4_Acc,"1641477391,20697",-15,-21,58.0
E4_Acc,"1641477391,23822",-14,-21,57.0
E4_Acc,"1641477391,26947",-15,-21,59.0
E4_Acc,"1641477391,30072",-16,-21,58.0
E4_Acc,"1641477391,33197",-15,-21,58.0
E4_Acc,"1641477391,36322",-15,-21,58.0
E4_Acc,"1641477391,39447",-14,-21,58.0
E4_Acc,"1641477391,42573",-14,-21,58.0
E4_Acc,"1641477391,45698",-15,-21,58.0
E4_Acc,"1641477391,48823",-16,-21,57.0
E4_Acc,"1641477391,51948",-15,-22,58.0
E4_Acc,"1641477391,55073",-14,-21,58.0
E4_Acc,"1641477391,58198",-14,-20,57.0
E4_Acc,"1641477391,61323",-14,-19,58.0
E4_Acc,"1641477391,64449",-13,-19,59.0
E4_Acc,"1641477391,67574",-13,-20,59.0
E4_Acc,"1641477391,70699",-16,-21,57.0
E4_Acc,"1641477391,73824",-18,-21,58.0
E4_Acc,"1641477391,76949",-13,-19,59.0
E4_Acc,"1641477391,80074",-9,-19,60.0
E4_Acc,"1641477391,83199",-10,-17,60.0
E4_Acc,"1641477391,86325",-11,-18,59.0
E4_Acc,"1641477391,8945",-12,-18,59.0
E4_Acc,"1641477391,92575",-11,-18,60.0
E4_Acc,"1641477391,957",-11,-18,60.0
E4_Acc,"1641477391,98825",-9,-17,60.0
E4_Acc,"1641477392,0195",-10,-18,60.0
E4_Acc,"1641477392,05075",-11,-19,60.0
E4_Acc,"1641477392,08201",-13,-19,59.0
E4_Acc,"1641477392,11326",-13,-18,59.0
E4_Acc,"1641477392,14451",-12,-18,59.0
E4_Acc,"1641477392,17576",-12,-18,60.0
E4_Acc,"1641477392,20701",-11,-18,59.0
E4_Acc,"1641477392,23826",-11,-18,59.0
E4_Acc,"1641477392,26952",-11,-18,60.0
E4_Acc,"1641477392,30077",-10,-19,60.0
E4_Acc,"1641477392,33202",-10,-19,60.0
E4_Acc,"1641477392,36327",-11,-19,60.0
E4_Acc,"1641477392,39452",-11,-19,59.0
E4_Acc,"1641477392,42577",-11,-19,60.0
E4_Acc,"1641477392,45702",-12,-19,59.0
E4_Acc,"1641477392,48828",-12,-19,58.0
E4_Acc,"1641477392,51953",-12,-18,59.0
E4_Acc,"1641477392,55078",-12,-20,58.0
E4_Acc,"1641477392,58203",-11,-21,60.0
E4_Acc,"1641477392,61328",-12,-19,59.0
E4_Acc,"1641477392,64453",-13,-19,59.0
E4_Acc,"1641477392,67578",-14,-19,59.0
E4_Acc,"1641477392,70704",-13,-19,59.0
E4_Acc,"1641477392,73829",-13,-20,58.0
E4_Acc,"1641477392,76954",-13,-19,59.0
E4_Acc,"1641477392,80079",-13,-19,60.0
E4_Acc,"1641477392,83204",-13,-20,58.0
E4_Acc,"1641477392,86329",-15,-20,58.0
E4_Acc,"1641477392,89454",-14,-22,59.0
E4_Acc,"1641477392,9258",-17,-20,58.0
E4_Acc,"1641477392,95705",-17,-19,58.0
E4_Acc,"1641477392,9883",-14,-19,58.0
E4_Acc,"1641477393,01955",-14,-20,58.0
E4_Acc,"1641477393,0508",-15,-19,58.0
E4_Acc,"1641477393,08205",-16,-18,58.0
E4_Acc,"1641477393,1133",-16,-20,59.0
E4_Acc,"1641477393,14456",-16,-19,58.0
E4_Acc,"1641477393,17581",-15,-21,58.0
E4_Acc,"1641477393,20706",-15,-23,59.0
E4_Acc,"1641477393,23831",-15,-21,58.0
E4_Acc,"1641477393,26956",-14,-20,58.0
E4_Acc,"1641477393,30081",-13,-19,59.0
