ST,time,values
E4_Temperature,"1641477389,63157","33,67"
E4_Temperature,"1641477389,88158","33,67"
E4_Temperature,"1641477390,13159","33,67"
E4_Temperature,"1641477390,3816","33,67"
E4_Temperature,"1641477390,63162","33,65"
E4_Temperature,"1641477390,88163","33,65"
E4_Temperature,"1641477391,13164","33,65"
E4_Temperature,"1641477391,38165","33,65"
E4_Temperature,"1641477391,63166","33,65"
E4_Temperature,"1641477391,88167","33,65"
E4_Temperature,"1641477392,13169","33,65"
E4_Temperature,"1641477392,3817","33,65"
E4_Temperature,"1641477392,63171","33,67"
E4_Temperature,"1641477392,88172","33,67"
E4_Temperature,"1641477393,13173","33,67"
E4_Temperature,"1641477393,38174","33,67"
E4_Temperature,"1641477393,63175","33,65"
E4_Temperature,"1641477393,88177","33,65"
E4_Temperature,"1641477394,13178","33,65"
E4_Temperature,"1641477394,38179","33,65"
E4_Temperature,"1641477394,6318","33,65"
E4_Temperature,"1641477394,88181","33,65"
E4_Temperature,"1641477395,13182","33,65"
E4_Temperature,"1641477395,38184","33,65"
E4_Temperature,"1641477395,63185","33,67"
E4_Temperature,"1641477395,88186","33,67"
E4_Temperature,"1641477396,13187","33,67"
E4_Temperature,"1641477396,38188","33,67"
E4_Temperature,"1641477396,63189","33,67"
E4_Temperature,"1641477396,88191","33,67"
E4_Temperature,"1641477397,13192","33,67"
E4_Temperature,"1641477397,38193","33,67"
E4_Temperature,"1641477397,63194","33,67"
E4_Temperature,"1641477397,88195","33,67"
E4_Temperature,"1641477398,13196","33,67"
E4_Temperature,"1641477398,38197","33,67"
E4_Temperature,"1641477398,63199","33,67"
E4_Temperature,"1641477398,882","33,67"
E4_Temperature,"1641477399,13201","33,67"
E4_Temperature,"1641477399,38202","33,67"
E4_Temperature,"1641477399,63203","33,65"
E4_Temperature,"1641477399,88204","33,65"
E4_Temperature,"1641477400,13206","33,65"
E4_Temperature,"1641477400,38207","33,65"
E4_Temperature,"1641477400,63208","33,67"
E4_Temperature,"1641477400,88209","33,67"
E4_Temperature,"1641477401,1321","33,67"
E4_Temperature,"1641477401,38211","33,67"
E4_Temperature,"1641477401,63213","33,65"
E4_Temperature,"1641477401,88214","33,65"
E4_Temperature,"1641477402,13215","33,65"
E4_Temperature,"1641477402,38216","33,65"
E4_Temperature,"1641477402,63217","33,69"
E4_Temperature,"1641477402,88218","33,69"
E4_Temperature,"1641477403,13219","33,69"
E4_Temperature,"1641477403,38221","33,69"
E4_Temperature,"1641477403,63222","33,67"
E4_Temperature,"1641477403,88223","33,67"
E4_Temperature,"1641477404,13224","33,67"
E4_Temperature,"1641477404,38225","33,67"
E4_Temperature,"1641477404,63226","33,67"
E4_Temperature,"1641477404,88228","33,67"
E4_Temperature,"1641477405,13229","33,67"
E4_Temperature,"1641477405,3823","33,67"
E4_Temperature,"1641477405,63231","33,69"
E4_Temperature,"1641477405,88232","33,69"
E4_Temperature,"1641477406,13233","33,69"
E4_Temperature,"1641477406,38235","33,69"
E4_Temperature,"1641477406,63236","33,69"
E4_Temperature,"1641477406,88237","33,69"
E4_Temperature,"1641477407,13238","33,69"
E4_Temperature,"1641477407,38239","33,69"
E4_Temperature,"1641477407,6324","33,69"
E4_Temperature,"1641477407,88241","33,69"
E4_Temperature,"1641477408,13243","33,69"
E4_Temperature,"1641477408,38244","33,69"
E4_Temperature,"1641477408,63245","33,67"
E4_Temperature,"1641477408,88246","33,67"
E4_Temperature,"1641477409,13247","33,67"
E4_Temperature,"1641477409,38248","33,67"
E4_Temperature,"1641477409,6325","33,69"
E4_Temperature,"1641477409,88251","33,69"
E4_Temperature,"1641477410,13252","33,69"
E4_Temperature,"1641477410,38253","33,69"
E4_Temperature,"1641477410,63254","33,69"
E4_Temperature,"1641477410,88255","33,69"
E4_Temperature,"1641477411,13257","33,69"
E4_Temperature,"1641477411,38258","33,69"
E4_Temperature,"1641477411,63259","33,69"
E4_Temperature,"1641477411,8826","33,69"
E4_Temperature,"1641477412,13261","33,69"
E4_Temperature,"1641477412,38262","33,69"
E4_Temperature,"1641477412,63263","33,69"
E4_Temperature,"1641477412,88265","33,69"
E4_Temperature,"1641477413,13266","33,69"
E4_Temperature,"1641477413,38267","33,69"
E4_Temperature,"1641477413,63268","33,69"
E4_Temperature,"1641477413,88269","33,69"
E4_Temperature,"1641477414,1327","33,69"
E4_Temperature,"1641477414,38272","33,69"
E4_Temperature,"1641477414,63273","33,71"
E4_Temperature,"1641477414,88274","33,71"
E4_Temperature,"1641477415,13275","33,71"
E4_Temperature,"1641477415,38276","33,71"
E4_Temperature,"1641477415,63277","33,71"
E4_Temperature,"1641477415,88279","33,71"
E4_Temperature,"1641477416,1328","33,71"
E4_Temperature,"1641477416,38281","33,71"
E4_Temperature,"1641477416,63282","33,71"
E4_Temperature,"1641477416,88283","33,71"
E4_Temperature,"1641477417,13284","33,71"
E4_Temperature,"1641477417,38285","33,71"
E4_Temperature,"1641477417,63287","33,69"
E4_Temperature,"1641477417,88288","33,69"
E4_Temperature,"1641477418,13289","33,69"
E4_Temperature,"1641477418,3829","33,69"
E4_Temperature,"1641477418,63291","33,69"
E4_Temperature,"1641477418,88292","33,69"
E4_Temperature,"1641477419,13294","33,69"
E4_Temperature,"1641477419,38295","33,69"
E4_Temperature,"1641477419,63296","33,69"
E4_Temperature,"1641477419,88297","33,69"
E4_Temperature,"1641477420,13298","33,69"
E4_Temperature,"1641477420,38299","33,69"
E4_Temperature,"1641477420,633","33,71"
E4_Temperature,"1641477420,88302","33,71"
E4_Temperature,"1641477421,13303","33,71"
E4_Temperature,"1641477421,38304","33,71"
E4_Temperature,"1641477421,63305","33,69"
E4_Temperature,"1641477421,88306","33,69"
E4_Temperature,"1641477422,13307","33,69"
E4_Temperature,"1641477422,38309","33,69"
E4_Temperature,"1641477422,6331","33,69"
E4_Temperature,"1641477422,88311","33,69"
E4_Temperature,"1641477423,13312","33,69"
E4_Temperature,"1641477423,38313","33,69"
E4_Temperature,"1641477423,63314","33,71"
E4_Temperature,"1641477423,88316","33,71"
E4_Temperature,"1641477424,13317","33,71"
E4_Temperature,"1641477424,38318","33,71"
E4_Temperature,"1641477424,63319","33,71"
E4_Temperature,"1641477424,8832","33,71"
E4_Temperature,"1641477425,13321","33,71"
E4_Temperature,"1641477425,38322","33,71"
E4_Temperature,"1641477425,63324","33,71"
E4_Temperature,"1641477425,88325","33,71"
E4_Temperature,"1641477426,13326","33,71"
E4_Temperature,"1641477426,38327","33,71"
E4_Temperature,"1641477426,63328","33,71"
E4_Temperature,"1641477426,88329","33,71"
E4_Temperature,"1641477427,13331","33,71"
E4_Temperature,"1641477427,38332","33,71"
E4_Temperature,"1641477427,63333","33,71"
E4_Temperature,"1641477427,88334","33,71"
E4_Temperature,"1641477428,13335","33,71"
E4_Temperature,"1641477428,38336","33,71"
E4_Temperature,"1641477428,63338","33,69"
E4_Temperature,"1641477428,88339","33,69"
E4_Temperature,"1641477429,1334","33,69"
E4_Temperature,"1641477429,38341","33,69"
E4_Temperature,"1641477429,63342","33,69"
E4_Temperature,"1641477429,88343","33,69"
E4_Temperature,"1641477430,13344","33,69"
E4_Temperature,"1641477430,38346","33,69"
E4_Temperature,"1641477430,63347","33,69"
