EDA,time,values
E4_Gsr,"1641476824,961","0,09736361"
E4_Gsr,"1641476825,211","0,0948014"
E4_Gsr,"1641476825,461","0,09736361"
E4_Gsr,"1641476825,711","0,0948014"
E4_Gsr,"1641476825,961","0,09736361"
E4_Gsr,"1641476826,211","0,0948014"
E4_Gsr,"1641476826,461","0,0986447"
E4_Gsr,"1641476826,711","0,0948014"
E4_Gsr,"1641476826,961","0,09608251"
E4_Gsr,"1641476827,211","0,09736361"
E4_Gsr,"1641476827,461","0,0986447"
E4_Gsr,"1641476827,711","0,09736361"
E4_Gsr,"1641476827,961","0,0986447"
E4_Gsr,"1641476828,211","0,09736361"
E4_Gsr,"1641476828,461","0,0986447"
E4_Gsr,"1641476828,711","0,09608251"
E4_Gsr,"1641476828,961","0,09608251"
E4_Gsr,"1641476829,211","0,09608251"
E4_Gsr,"1641476829,461","0,0986447"
E4_Gsr,"1641476829,711","0,09608251"
E4_Gsr,"1641476829,961","0,09992581"
E4_Gsr,"1641476830,211","0,09608251"
E4_Gsr,"1641476830,461","0,0986447"
E4_Gsr,"1641476830,711","0,09608251"
E4_Gsr,"1641476830,961","0,09992581"
E4_Gsr,"1641476831,211","0,09608251"
E4_Gsr,"1641476831,461","0,09736361"
E4_Gsr,"1641476831,711","0,09736361"
E4_Gsr,"1641476831,961","0,1012069"
E4_Gsr,"1641476832,211","0,09992581"
E4_Gsr,"1641476832,461","0,09736361"
E4_Gsr,"1641476832,711","0,1012069"
E4_Gsr,"1641476832,961","0,09736361"
E4_Gsr,"1641476833,211","0,09992581"
E4_Gsr,"1641476833,461","0,09736361"
E4_Gsr,"1641476833,711","0,1012069"
E4_Gsr,"1641476833,961","0,09736361"
E4_Gsr,"1641476834,211","0,09992581"
E4_Gsr,"1641476834,461","0,09736361"
E4_Gsr,"1641476834,711","0,09992581"
E4_Gsr,"1641476834,961","0,09736361"
E4_Gsr,"1641476835,211","0,1012069"
E4_Gsr,"1641476835,461","0,09992581"
E4_Gsr,"1641476835,711","0,09992581"
E4_Gsr,"1641476835,961","0,09736361"
E4_Gsr,"1641476836,211","0,09992581"
E4_Gsr,"1641476836,461","0,09736361"
E4_Gsr,"1641476836,711","0,1012069"
E4_Gsr,"1641476836,961","0,0986447"
E4_Gsr,"1641476837,211","0,1012069"
E4_Gsr,"1641476837,461","0,102488"
E4_Gsr,"1641476837,711","0,09992581"
E4_Gsr,"1641476837,961","0,09992581"
E4_Gsr,"1641476838,211","0,1012069"
E4_Gsr,"1641476838,461","0,102488"
E4_Gsr,"1641476838,711","0,102488"
E4_Gsr,"1641476838,961","0,102488"
E4_Gsr,"1641476839,211","0,09992581"
E4_Gsr,"1641476839,461","0,102488"
E4_Gsr,"1641476839,711","0,09992581"
E4_Gsr,"1641476839,961","0,102488"
E4_Gsr,"1641476840,211","0,09992581"
E4_Gsr,"1641476840,461","0,102488"
E4_Gsr,"1641476840,711","0,0986447"
E4_Gsr,"1641476840,961","0,1012069"
E4_Gsr,"1641476841,211","0,0986447"
E4_Gsr,"1641476841,461","0,1012069"
E4_Gsr,"1641476841,711","0,09736361"
E4_Gsr,"1641476841,961","0,1012069"
E4_Gsr,"1641476842,211","0,09736361"
E4_Gsr,"1641476842,461","0,1012069"
