EDA,time,values
E4_Gsr,"1647604592,747","1,732681"
E4_Gsr,"1647604592,997","1,735243"
E4_Gsr,"1647604593,247","1,748054"
E4_Gsr,"1647604593,497","1,75446"
E4_Gsr,"1647604593,747","1,768552"
E4_Gsr,"1647604593,997","1,777519"
E4_Gsr,"1647604594,247","1,778801"
E4_Gsr,"1647604594,497","1,780082"
E4_Gsr,"1647604594,747","1,795455"
E4_Gsr,"1647604594,997","1,786487"
E4_Gsr,"1647604595,247","1,806985"
E4_Gsr,"1647604595,497","1,81339"
E4_Gsr,"1647604595,747","1,828763"
E4_Gsr,"1647604595,997","1,837731"
E4_Gsr,"1647604596,247","1,82492"
E4_Gsr,"1647604596,497","1,796736"
E4_Gsr,"1647604596,747","1,782644"
E4_Gsr,"1647604596,997","1,762146"
E4_Gsr,"1647604597,247","1,758303"
E4_Gsr,"1647604597,497","1,796736"
E4_Gsr,"1647604597,747","1,822358"
E4_Gsr,"1647604597,997","1,839012"
E4_Gsr,"1647604598,247","1,831326"
E4_Gsr,"1647604598,497","1,850542"
E4_Gsr,"1647604598,747","1,85951"
E4_Gsr,"1647604598,997","1,855667"
E4_Gsr,"1647604599,247","1,85951"
E4_Gsr,"1647604599,497","1,868478"
E4_Gsr,"1647604599,747","1,872321"
E4_Gsr,"1647604599,997","1,88257"
E4_Gsr,"1647604600,247","1,886413"
E4_Gsr,"1647604600,497","1,88257"
E4_Gsr,"1647604600,747","1,881289"
E4_Gsr,"1647604600,997","1,863353"
E4_Gsr,"1647604601,247","1,862072"
E4_Gsr,"1647604601,497","1,845418"
E4_Gsr,"1647604601,747","1,84798"
E4_Gsr,"1647604601,997","1,823639"
E4_Gsr,"1647604602,247","1,818515"
E4_Gsr,"1647604602,497","1,823639"
E4_Gsr,"1647604602,747","1,82492"
E4_Gsr,"1647604602,997","1,814671"
E4_Gsr,"1647604603,247","1,819796"
E4_Gsr,"1647604603,497","1,817234"
E4_Gsr,"1647604603,747","1,818515"
E4_Gsr,"1647604603,997","1,81339"
E4_Gsr,"1647604604,247","1,809547"
E4_Gsr,"1647604604,497","1,815953"
E4_Gsr,"1647604604,747","1,818515"
E4_Gsr,"1647604604,997","1,808266"
E4_Gsr,"1647604605,247","1,82492"
E4_Gsr,"1647604605,497","1,822358"
E4_Gsr,"1647604605,747","1,809547"
E4_Gsr,"1647604605,997","1,808266"
E4_Gsr,"1647604606,247","1,794174"
E4_Gsr,"1647604606,497","1,789049"
E4_Gsr,"1647604606,747","1,789049"
E4_Gsr,"1647604606,997","1,774957"
E4_Gsr,"1647604607,247","1,769833"
E4_Gsr,"1647604607,497","1,771114"
E4_Gsr,"1647604607,747","1,768552"
E4_Gsr,"1647604607,997","1,774957"
