ST,time,values
E4_Temperature,"1647605266,46481","33,41"
E4_Temperature,"1647605266,71482","33,41"
E4_Temperature,"1647605266,96483","33,41"
E4_Temperature,"1647605267,21485","33,41"
E4_Temperature,"1647605267,46486","33,43"
E4_Temperature,"1647605267,71487","33,43"
E4_Temperature,"1647605267,96488","33,43"
E4_Temperature,"1647605268,21489","33,43"
E4_Temperature,"1647605268,4649","33,41"
E4_Temperature,"1647605268,71492","33,41"
E4_Temperature,"1647605268,96493","33,41"
E4_Temperature,"1647605269,21494","33,41"
E4_Temperature,"1647605269,46495","33,41"
E4_Temperature,"1647605269,71496","33,41"
E4_Temperature,"1647605269,96497","33,41"
E4_Temperature,"1647605270,21499","33,41"
E4_Temperature,"1647605270,465","33,43"
E4_Temperature,"1647605270,71501","33,43"
E4_Temperature,"1647605270,96502","33,43"
E4_Temperature,"1647605271,21503","33,43"
E4_Temperature,"1647605271,46504","33,43"
E4_Temperature,"1647605271,71505","33,43"
E4_Temperature,"1647605271,96507","33,43"
E4_Temperature,"1647605272,21508","33,43"
E4_Temperature,"1647605272,46509","33,43"
E4_Temperature,"1647605272,7151","33,43"
E4_Temperature,"1647605272,96511","33,43"
E4_Temperature,"1647605273,21512","33,43"
E4_Temperature,"1647605273,46514","33,43"
E4_Temperature,"1647605273,71515","33,43"
E4_Temperature,"1647605273,96516","33,43"
E4_Temperature,"1647605274,21517","33,43"
E4_Temperature,"1647605274,46518","33,43"
E4_Temperature,"1647605274,71519","33,43"
E4_Temperature,"1647605274,96521","33,43"
E4_Temperature,"1647605275,21522","33,43"
E4_Temperature,"1647605275,46523","33,43"
E4_Temperature,"1647605275,71524","33,43"
E4_Temperature,"1647605275,96525","33,43"
E4_Temperature,"1647605276,21526","33,43"
E4_Temperature,"1647605276,46527","33,45"
E4_Temperature,"1647605276,71529","33,45"
E4_Temperature,"1647605276,9653","33,45"
E4_Temperature,"1647605277,21531","33,45"
E4_Temperature,"1647605277,46532","33,43"
E4_Temperature,"1647605277,71533","33,43"
E4_Temperature,"1647605277,96534","33,43"
E4_Temperature,"1647605278,21536","33,43"
E4_Temperature,"1647605278,46537","33,45"
E4_Temperature,"1647605278,71538","33,45"
E4_Temperature,"1647605278,96539","33,45"
E4_Temperature,"1647605279,2154","33,45"
E4_Temperature,"1647605279,46541","33,43"
E4_Temperature,"1647605279,71543","33,43"
E4_Temperature,"1647605279,96544","33,43"
E4_Temperature,"1647605280,21545","33,43"
E4_Temperature,"1647605280,46546","33,47"
E4_Temperature,"1647605280,71547","33,47"
E4_Temperature,"1647605280,96548","33,47"
E4_Temperature,"1647605281,21549","33,47"
E4_Temperature,"1647605281,46551","33,43"
E4_Temperature,"1647605281,71552","33,43"
E4_Temperature,"1647605281,96553","33,43"
E4_Temperature,"1647605282,21554","33,43"
E4_Temperature,"1647605282,46555","33,45"
E4_Temperature,"1647605282,71556","33,45"
E4_Temperature,"1647605282,96558","33,45"
E4_Temperature,"1647605283,21559","33,45"
E4_Temperature,"1647605283,4656","33,45"
E4_Temperature,"1647605283,71561","33,45"
E4_Temperature,"1647605283,96562","33,45"
E4_Temperature,"1647605284,21563","33,45"
E4_Temperature,"1647605284,46565","33,49"
E4_Temperature,"1647605284,71566","33,49"
E4_Temperature,"1647605284,96567","33,49"
E4_Temperature,"1647605285,21568","33,49"
E4_Temperature,"1647605285,46569","33,47"
E4_Temperature,"1647605285,7157","33,47"
E4_Temperature,"1647605285,96571","33,47"
E4_Temperature,"1647605286,21573","33,47"
E4_Temperature,"1647605286,46574","33,47"
E4_Temperature,"1647605286,71575","33,47"
E4_Temperature,"1647605286,96576","33,47"
E4_Temperature,"1647605287,21577","33,47"
E4_Temperature,"1647605287,46578","33,47"
E4_Temperature,"1647605287,7158","33,47"
E4_Temperature,"1647605287,96581","33,47"
E4_Temperature,"1647605288,21582","33,47"
E4_Temperature,"1647605288,46583","33,49"
E4_Temperature,"1647605288,71584","33,49"
E4_Temperature,"1647605288,96585","33,49"
E4_Temperature,"1647605289,21587","33,49"
E4_Temperature,"1647605289,46588","33,49"
E4_Temperature,"1647605289,71589","33,49"
E4_Temperature,"1647605289,9659","33,49"
E4_Temperature,"1647605290,21591","33,49"
E4_Temperature,"1647605290,46592","33,49"
E4_Temperature,"1647605290,71593","33,49"
E4_Temperature,"1647605290,96595","33,49"
E4_Temperature,"1647605291,21596","33,49"
E4_Temperature,"1647605291,46597","33,49"
E4_Temperature,"1647605291,71598","33,49"
E4_Temperature,"1647605291,96599","33,49"
E4_Temperature,"1647605292,216","33,49"
E4_Temperature,"1647605292,46602","33,49"
E4_Temperature,"1647605292,71603","33,49"
E4_Temperature,"1647605292,96604","33,49"
E4_Temperature,"1647605293,21605","33,49"
E4_Temperature,"1647605293,46606","33,49"
E4_Temperature,"1647605293,71607","33,49"
E4_Temperature,"1647605293,96608","33,49"
E4_Temperature,"1647605294,2161","33,49"
E4_Temperature,"1647605294,46611","33,47"
E4_Temperature,"1647605294,71612","33,47"
E4_Temperature,"1647605294,96613","33,47"
E4_Temperature,"1647605295,21614","33,47"
E4_Temperature,"1647605295,46615","33,49"
E4_Temperature,"1647605295,71617","33,49"
E4_Temperature,"1647605295,96618","33,49"
E4_Temperature,"1647605296,21619","33,49"
E4_Temperature,"1647605296,4662","33,51"
E4_Temperature,"1647605296,71621","33,51"
E4_Temperature,"1647605296,96622","33,51"
E4_Temperature,"1647605297,21624","33,51"
E4_Temperature,"1647605297,46625","33,47"
E4_Temperature,"1647605297,71626","33,47"
E4_Temperature,"1647605297,96627","33,47"
E4_Temperature,"1647605298,21628","33,47"
E4_Temperature,"1647605298,46629","33,49"
E4_Temperature,"1647605298,7163","33,49"
E4_Temperature,"1647605298,96632","33,49"
E4_Temperature,"1647605299,21633","33,49"
E4_Temperature,"1647605299,46634","33,49"
E4_Temperature,"1647605299,71635","33,49"
E4_Temperature,"1647605299,96636","33,49"
E4_Temperature,"1647605300,21637","33,49"
E4_Temperature,"1647605300,46639","33,49"
E4_Temperature,"1647605300,7164","33,49"
E4_Temperature,"1647605300,96641","33,49"
E4_Temperature,"1647605301,21642","33,49"
E4_Temperature,"1647605301,46643","33,49"
E4_Temperature,"1647605301,71644","33,49"
E4_Temperature,"1647605301,96646","33,49"
E4_Temperature,"1647605302,21647","33,49"
E4_Temperature,"1647605302,46648","33,49"
E4_Temperature,"1647605302,71649","33,49"
E4_Temperature,"1647605302,9665","33,49"
E4_Temperature,"1647605303,21651","33,49"
E4_Temperature,"1647605303,46652","33,49"
E4_Temperature,"1647605303,71654","33,49"
E4_Temperature,"1647605303,96655","33,49"
E4_Temperature,"1647605304,21656","33,49"
E4_Temperature,"1647605304,46657","33,51"
E4_Temperature,"1647605304,71658","33,51"
E4_Temperature,"1647605304,96659","33,51"
E4_Temperature,"1647605305,21661","33,51"
E4_Temperature,"1647605305,46662","33,51"
E4_Temperature,"1647605305,71663","33,51"
E4_Temperature,"1647605305,96664","33,51"
E4_Temperature,"1647605306,21665","33,51"
E4_Temperature,"1647605306,46666","33,49"
E4_Temperature,"1647605306,71668","33,49"
E4_Temperature,"1647605306,96669","33,49"
E4_Temperature,"1647605307,2167","33,49"
E4_Temperature,"1647605307,46671","33,51"
E4_Temperature,"1647605307,71672","33,51"
E4_Temperature,"1647605307,96673","33,51"
E4_Temperature,"1647605308,21674","33,51"
E4_Temperature,"1647605308,46676","33,51"
E4_Temperature,"1647605308,71677","33,51"
E4_Temperature,"1647605308,96678","33,51"
E4_Temperature,"1647605309,21679","33,51"
E4_Temperature,"1647605309,4668","33,51"
E4_Temperature,"1647605309,71681","33,51"
E4_Temperature,"1647605309,96683","33,51"
E4_Temperature,"1647605310,21684","33,51"
E4_Temperature,"1647605310,46685","33,51"
E4_Temperature,"1647605310,71686","33,51"
E4_Temperature,"1647605310,96687","33,51"
E4_Temperature,"1647605311,21688","33,51"
E4_Temperature,"1647605311,4669","33,51"
E4_Temperature,"1647605311,71691","33,51"
E4_Temperature,"1647605311,96692","33,51"
E4_Temperature,"1647605312,21693","33,51"
E4_Temperature,"1647605312,46694","33,49"
E4_Temperature,"1647605312,71695","33,49"
E4_Temperature,"1647605312,96696","33,49"
E4_Temperature,"1647605313,21698","33,49"
