ACC,time,x,y,z
E4_Acc,"1647605869,84157",-66,8,21.0
E4_Acc,"1647605869,87282",-65,3,15.0
E4_Acc,"1647605869,90407",-67,4,21.0
E4_Acc,"1647605869,93533",-64,3,23.0
E4_Acc,"1647605869,96658",-69,0,21.0
E4_Acc,"1647605869,99783",-70,-1,23.0
E4_Acc,"1647605870,02908",-64,-4,24.0
E4_Acc,"1647605870,06033",-63,-6,20.0
E4_Acc,"1647605870,09158",-62,-6,20.0
E4_Acc,"1647605870,12283",-62,-6,23.0
E4_Acc,"1647605870,15409",-61,-7,23.0
E4_Acc,"1647605870,18534",-62,-7,20.0
E4_Acc,"1647605870,21659",-59,-8,24.0
E4_Acc,"1647605870,24784",-53,-7,35.0
E4_Acc,"1647605870,27909",-52,-7,41.0
E4_Acc,"1647605870,31034",-49,-8,42.0
E4_Acc,"1647605870,34159",-48,-9,38.0
E4_Acc,"1647605870,37285",-54,-6,33.0
E4_Acc,"1647605870,4041",-48,-6,34.0
E4_Acc,"1647605870,43535",-50,-5,30.0
E4_Acc,"1647605870,4666",-51,-4,29.0
E4_Acc,"1647605870,49785",-51,-7,30.0
E4_Acc,"1647605870,5291",-43,-8,34.0
E4_Acc,"1647605870,56035",-41,-13,27.0
E4_Acc,"1647605870,59161",-43,-18,21.0
E4_Acc,"1647605870,62286",-59,-13,20.0
E4_Acc,"1647605870,65411",-72,-6,24.0
E4_Acc,"1647605870,68536",-72,-3,24.0
E4_Acc,"1647605870,71661",-65,-2,32.0
E4_Acc,"1647605870,74786",-53,-2,38.0
E4_Acc,"1647605870,77911",-52,3,56.0
E4_Acc,"1647605870,81037",-29,1,92.0
E4_Acc,"1647605870,84162",-32,4,76.0
E4_Acc,"1647605870,87287",-49,1,37.0
E4_Acc,"1647605870,90412",-42,3,32.0
E4_Acc,"1647605870,93537",-45,5,37.0
E4_Acc,"1647605870,96662",-54,5,39.0
E4_Acc,"1647605870,99787",-58,4,35.0
E4_Acc,"1647605871,02913",-54,1,48.0
E4_Acc,"1647605871,06038",-52,2,50.0
E4_Acc,"1647605871,09163",-50,1,43.0
E4_Acc,"1647605871,12288",-50,3,42.0
E4_Acc,"1647605871,15413",-46,5,40.0
E4_Acc,"1647605871,18538",-47,4,38.0
E4_Acc,"1647605871,21663",-51,3,34.0
E4_Acc,"1647605871,24789",-59,3,37.0
E4_Acc,"1647605871,27914",-60,5,39.0
E4_Acc,"1647605871,31039",-60,5,27.0
E4_Acc,"1647605871,34164",-58,12,28.0
E4_Acc,"1647605871,37289",-55,9,31.0
E4_Acc,"1647605871,40414",-59,13,30.0
E4_Acc,"1647605871,43539",-61,15,43.0
E4_Acc,"1647605871,46665",-61,9,32.0
E4_Acc,"1647605871,4979",-62,9,28.0
E4_Acc,"1647605871,52915",-60,10,28.0
E4_Acc,"1647605871,5604",-56,8,23.0
E4_Acc,"1647605871,59165",-50,7,29.0
E4_Acc,"1647605871,6229",-57,6,29.0
E4_Acc,"1647605871,65416",-60,6,29.0
E4_Acc,"1647605871,68541",-62,7,29.0
E4_Acc,"1647605871,71666",-61,11,25.0
E4_Acc,"1647605871,74791",-64,12,22.0
E4_Acc,"1647605871,77916",-58,12,24.0
E4_Acc,"1647605871,81041",-59,13,26.0
E4_Acc,"1647605871,84166",-62,12,26.0
E4_Acc,"1647605871,87292",-60,11,27.0
E4_Acc,"1647605871,90417",-61,11,26.0
E4_Acc,"1647605871,93542",-57,10,26.0
E4_Acc,"1647605871,96667",-53,12,27.0
E4_Acc,"1647605871,99792",-53,13,30.0
E4_Acc,"1647605872,02917",-50,12,30.0
E4_Acc,"1647605872,06042",-62,11,26.0
E4_Acc,"1647605872,09168",-59,12,26.0
E4_Acc,"1647605872,12293",-61,13,22.0
E4_Acc,"1647605872,15418",-62,13,20.0
E4_Acc,"1647605872,18543",-59,14,22.0
E4_Acc,"1647605872,21668",-64,16,22.0
E4_Acc,"1647605872,24793",-64,16,23.0
E4_Acc,"1647605872,27918",-62,14,23.0
E4_Acc,"1647605872,31044",-59,13,23.0
E4_Acc,"1647605872,34169",-59,14,23.0
E4_Acc,"1647605872,37294",-54,14,25.0
E4_Acc,"1647605872,40419",-53,13,26.0
E4_Acc,"1647605872,43544",-61,12,26.0
E4_Acc,"1647605872,46669",-62,13,21.0
E4_Acc,"1647605872,49794",-64,14,19.0
E4_Acc,"1647605872,5292",-60,17,21.0
E4_Acc,"1647605872,56045",-60,17,20.0
E4_Acc,"1647605872,5917",-63,17,22.0
E4_Acc,"1647605872,62295",-64,16,23.0
E4_Acc,"1647605872,6542",-60,15,24.0
E4_Acc,"1647605872,68545",-59,13,24.0
E4_Acc,"1647605872,7167",-58,14,24.0
