EDA,time,values
E4_Gsr,"1647605869,247","6,158197"
E4_Gsr,"1647605869,497","6,10311"
E4_Gsr,"1647605869,747","6,082612"
E4_Gsr,"1647605869,997","6,089017"
E4_Gsr,"1647605870,247","6,109515"
E4_Gsr,"1647605870,497","6,113358"
E4_Gsr,"1647605870,747","6,073644"
E4_Gsr,"1647605870,997","5,978843"
E4_Gsr,"1647605871,247","5,936567"
E4_Gsr,"1647605871,497","5,949378"
E4_Gsr,"1647605871,747","5,913507"
E4_Gsr,"1647605871,997","5,908382"
E4_Gsr,"1647605872,247","5,89429"
E4_Gsr,"1647605872,497","5,882761"
E4_Gsr,"1647605872,747","5,878917"
E4_Gsr,"1647605872,997","5,855857"
E4_Gsr,"1647605873,247","5,858419"
E4_Gsr,"1647605873,497","5,864825"
E4_Gsr,"1647605873,747","5,869949"
E4_Gsr,"1647605873,997","5,882761"
E4_Gsr,"1647605874,247","5,896852"
E4_Gsr,"1647605874,497","5,901977"
E4_Gsr,"1647605874,747","5,903258"
E4_Gsr,"1647605874,997","5,886604"
E4_Gsr,"1647605875,247","5,875074"
E4_Gsr,"1647605875,497","5,862263"
E4_Gsr,"1647605875,747","5,846889"
E4_Gsr,"1647605875,997","5,82383"
E4_Gsr,"1647605876,247","5,814862"
E4_Gsr,"1647605876,497","5,790521"
E4_Gsr,"1647605876,747","5,786678"
E4_Gsr,"1647605876,997","5,759775"
E4_Gsr,"1647605877,247","5,740559"
E4_Gsr,"1647605877,497","5,736715"
E4_Gsr,"1647605877,747","5,736715"
E4_Gsr,"1647605877,997","5,716218"
E4_Gsr,"1647605878,247","5,716218"
E4_Gsr,"1647605878,497","5,686752"
E4_Gsr,"1647605878,747","5,676504"
E4_Gsr,"1647605878,997","5,658568"
E4_Gsr,"1647605879,247","5,658568"
E4_Gsr,"1647605879,497","5,644476"
E4_Gsr,"1647605879,747","5,639351"
E4_Gsr,"1647605879,997","5,640633"
E4_Gsr,"1647605880,247","5,630384"
E4_Gsr,"1647605880,497","5,621416"
E4_Gsr,"1647605880,747","5,612449"
E4_Gsr,"1647605880,997","5,611167"
E4_Gsr,"1647605881,247","5,613729"
E4_Gsr,"1647605881,497","5,606043"
E4_Gsr,"1647605881,747","5,600919"
E4_Gsr,"1647605881,997","5,594513"
E4_Gsr,"1647605882,247","5,593232"
E4_Gsr,"1647605882,497","5,616292"
E4_Gsr,"1647605882,747","5,627821"
E4_Gsr,"1647605882,997","5,656006"
E4_Gsr,"1647605883,247","5,689314"
E4_Gsr,"1647605883,497","5,709812"
E4_Gsr,"1647605883,747","5,703406"
E4_Gsr,"1647605883,997","5,703406"
E4_Gsr,"1647605884,247","5,748245"
E4_Gsr,"1647605884,497","5,739277"
E4_Gsr,"1647605884,747","5,664974"
E4_Gsr,"1647605884,997","5,589389"
E4_Gsr,"1647605885,247","5,526615"
E4_Gsr,"1647605885,497","5,565048"
E4_Gsr,"1647605885,747","5,641914"
E4_Gsr,"1647605885,997","5,677784"
E4_Gsr,"1647605886,247","5,712374"
E4_Gsr,"1647605886,497","5,758494"
E4_Gsr,"1647605886,747","5,796927"
E4_Gsr,"1647605886,997","5,817424"
E4_Gsr,"1647605887,247","5,826392"
E4_Gsr,"1647605887,497","5,832798"
E4_Gsr,"1647605887,747","5,822549"
E4_Gsr,"1647605887,997","5,817424"
E4_Gsr,"1647605888,247","5,807176"
E4_Gsr,"1647605888,497","5,8123"
E4_Gsr,"1647605888,747","5,82383"
E4_Gsr,"1647605888,997","5,836641"
E4_Gsr,"1647605889,247","5,831517"
E4_Gsr,"1647605889,497","5,825111"
E4_Gsr,"1647605889,747","5,825111"
E4_Gsr,"1647605889,997","5,818706"
E4_Gsr,"1647605890,247","5,798208"
E4_Gsr,"1647605890,497","5,776429"
E4_Gsr,"1647605890,747","5,764899"
E4_Gsr,"1647605890,997","5,736715"
E4_Gsr,"1647605891,247","5,737996"
E4_Gsr,"1647605891,497","5,723904"
E4_Gsr,"1647605891,747","5,71878"
E4_Gsr,"1647605891,997","5,699563"
E4_Gsr,"1647605892,247","5,69572"
E4_Gsr,"1647605892,497","5,680347"
E4_Gsr,"1647605892,747","5,680347"
E4_Gsr,"1647605892,997","5,666255"
E4_Gsr,"1647605893,247","5,667536"
E4_Gsr,"1647605893,497","5,650881"
E4_Gsr,"1647605893,747","5,654725"
E4_Gsr,"1647605893,997","5,653444"
E4_Gsr,"1647605894,247","5,662411"
E4_Gsr,"1647605894,497","5,688034"
E4_Gsr,"1647605894,747","5,705969"
E4_Gsr,"1647605894,997","5,722623"
E4_Gsr,"1647605895,247","5,725185"
E4_Gsr,"1647605895,497","5,727747"
E4_Gsr,"1647605895,747","5,714936"
E4_Gsr,"1647605895,997","5,711093"
E4_Gsr,"1647605896,247","5,69572"
E4_Gsr,"1647605896,497","5,69572"
E4_Gsr,"1647605896,747","5,677784"
E4_Gsr,"1647605896,997","5,664974"
E4_Gsr,"1647605897,247","5,650881"
E4_Gsr,"1647605897,497","5,641914"
E4_Gsr,"1647605897,747","5,638071"
E4_Gsr,"1647605897,997","5,635508"
E4_Gsr,"1647605898,247","5,635508"
E4_Gsr,"1647605898,497","5,657287"
E4_Gsr,"1647605898,747","5,712374"
E4_Gsr,"1647605898,997","5,77771"
E4_Gsr,"1647605899,247","5,854576"
E4_Gsr,"1647605899,497","5,919912"
E4_Gsr,"1647605899,747","5,992935"
E4_Gsr,"1647605899,997","6,042898"
E4_Gsr,"1647605900,247","6,074925"
E4_Gsr,"1647605900,497","6,082612"
E4_Gsr,"1647605900,747","6,099267"
E4_Gsr,"1647605900,997","6,097985"
E4_Gsr,"1647605901,247","6,099267"
E4_Gsr,"1647605901,497","6,082612"
E4_Gsr,"1647605901,747","6,074925"
E4_Gsr,"1647605901,997","6,062114"
E4_Gsr,"1647605902,247","6,058271"
E4_Gsr,"1647605902,497","6,046741"
E4_Gsr,"1647605902,747","6,085174"
E4_Gsr,"1647605902,997","6,131294"
E4_Gsr,"1647605903,247","6,187662"
E4_Gsr,"1647605903,497","6,238906"
E4_Gsr,"1647605903,747","6,261966"
E4_Gsr,"1647605903,997","6,251717"
E4_Gsr,"1647605904,247","6,235063"
E4_Gsr,"1647605904,497","6,209441"
E4_Gsr,"1647605904,747","6,1851"
E4_Gsr,"1647605904,997","6,168446"
E4_Gsr,"1647605905,247","6,167165"
E4_Gsr,"1647605905,497","6,178695"
E4_Gsr,"1647605905,747","6,17357"
E4_Gsr,"1647605905,997","6,178695"
E4_Gsr,"1647605906,247","6,177413"
E4_Gsr,"1647605906,497","6,169727"
E4_Gsr,"1647605906,747","6,155635"
E4_Gsr,"1647605906,997","6,149229"
