BVP,time,values
E4_Bvp,"1647602706,44567","-58,29016"
E4_Bvp,"1647602706,46129","-48,40534"
E4_Bvp,"1647602706,47692","-33,64797"
E4_Bvp,"1647602706,49255","-15,85248"
E4_Bvp,"1647602706,50817","2,656479"
E4_Bvp,"1647602706,5238","19,71489"
E4_Bvp,"1647602706,53942","33,79744"
E4_Bvp,"1647602706,55505","44,20988"
E4_Bvp,"1647602706,57067","50,93825"
E4_Bvp,"1647602706,5863","54,39126"
E4_Bvp,"1647602706,60193","55,07676"
E4_Bvp,"1647602706,61755","53,43584"
E4_Bvp,"1647602706,63318","49,87001"
E4_Bvp,"1647602706,6488","44,80204"
E4_Bvp,"1647602706,66443","38,78959"
E4_Bvp,"1647602706,68005","32,54942"
E4_Bvp,"1647602706,69568","26,84474"
E4_Bvp,"1647602706,71131","22,32458"
E4_Bvp,"1647602706,72693","19,4002"
E4_Bvp,"1647602706,74256","18,15012"
E4_Bvp,"1647602706,75818","18,33762"
E4_Bvp,"1647602706,77381","19,52649"
E4_Bvp,"1647602706,78943","21,17193"
E4_Bvp,"1647602706,80506","22,73742"
E4_Bvp,"1647602706,82069","23,76072"
E4_Bvp,"1647602706,83631","23,89844"
E4_Bvp,"1647602706,85194","22,91616"
E4_Bvp,"1647602706,86756","20,70091"
E4_Bvp,"1647602706,88319","17,26543"
E4_Bvp,"1647602706,89881","12,71773"
E4_Bvp,"1647602706,91444","7,255505"
E4_Bvp,"1647602706,93007","1,091068"
E4_Bvp,"1647602706,94569","-5,615444"
E4_Bvp,"1647602706,96132","-12,84821"
E4_Bvp,"1647602706,97694","-20,78344"
E4_Bvp,"1647602706,99257","-29,59895"
E4_Bvp,"1647602707,00819","-39,23496"
E4_Bvp,"1647602707,02382","-49,08348"
E4_Bvp,"1647602707,03945","-57,85461"
E4_Bvp,"1647602707,05507","-63,75692"
E4_Bvp,"1647602707,0707","-65,03157"
E4_Bvp,"1647602707,08632","-60,62608"
E4_Bvp,"1647602707,10195","-50,62445"
E4_Bvp,"1647602707,11757","-36,34918"
E4_Bvp,"1647602707,1332","-19,90708"
E4_Bvp,"1647602707,14883","-3,558636"
E4_Bvp,"1647602707,16445","10,91716"
E4_Bvp,"1647602707,18008","22,53755"
E4_Bvp,"1647602707,1957","31,0837"
E4_Bvp,"1647602707,21133","36,79985"
E4_Bvp,"1647602707,22695","40,0751"
E4_Bvp,"1647602707,24258","41,23235"
E4_Bvp,"1647602707,25821","40,47756"
E4_Bvp,"1647602707,27383","38,02731"
E4_Bvp,"1647602707,28946","34,18175"
E4_Bvp,"1647602707,30508","29,38562"
E4_Bvp,"1647602707,32071","24,19839"
E4_Bvp,"1647602707,33633","19,23806"
E4_Bvp,"1647602707,35196","15,04648"
E4_Bvp,"1647602707,36759","11,99936"
E4_Bvp,"1647602707,38321","10,22913"
E4_Bvp,"1647602707,39884","9,602476"
E4_Bvp,"1647602707,41446","9,780352"
E4_Bvp,"1647602707,43009","10,32636"
E4_Bvp,"1647602707,44571","10,83773"
E4_Bvp,"1647602707,46134","11,04231"
E4_Bvp,"1647602707,47697","10,78177"
E4_Bvp,"1647602707,49259","9,992552"
E4_Bvp,"1647602707,50822","8,592686"
E4_Bvp,"1647602707,52384","6,474808"
E4_Bvp,"1647602707,53947","3,490566"
E4_Bvp,"1647602707,55509","-0,4579277"
E4_Bvp,"1647602707,57072","-5,4048"
E4_Bvp,"1647602707,58635","-11,38501"
E4_Bvp,"1647602707,60197","-18,42329"
E4_Bvp,"1647602707,6176","-26,54334"
E4_Bvp,"1647602707,63322","-35,52151"
E4_Bvp,"1647602707,64885","-44,69946"
E4_Bvp,"1647602707,66447","-52,80805"
E4_Bvp,"1647602707,6801","-58,15092"
E4_Bvp,"1647602707,69573","-59,06538"
E4_Bvp,"1647602707,71135","-54,53613"
E4_Bvp,"1647602707,72698","-44,645"
E4_Bvp,"1647602707,7426","-30,61165"
E4_Bvp,"1647602707,75823","-14,42473"
E4_Bvp,"1647602707,77385","1,799743"
E4_Bvp,"1647602707,78948","16,36044"
E4_Bvp,"1647602707,80511","28,24848"
E4_Bvp,"1647602707,82073","37,06961"
E4_Bvp,"1647602707,83636","42,7965"
E4_Bvp,"1647602707,85198","45,51912"
E4_Bvp,"1647602707,86761","45,34592"
E4_Bvp,"1647602707,88323","42,47042"
E4_Bvp,"1647602707,89886","37,30183"
E4_Bvp,"1647602707,91449","30,53891"
E4_Bvp,"1647602707,93011","23,1285"
E4_Bvp,"1647602707,94574","16,10791"
E4_Bvp,"1647602707,96136","10,36331"
E4_Bvp,"1647602707,97699","6,383756"
E4_Bvp,"1647602707,99261","4,191487"
E4_Bvp,"1647602708,00824","3,353221"
E4_Bvp,"1647602708,02387","3,200732"
E4_Bvp,"1647602708,03949","3,081881"
E4_Bvp,"1647602708,05512","2,623058"
E4_Bvp,"1647602708,07074","1,79704"
E4_Bvp,"1647602708,08637","0,8133798"
E4_Bvp,"1647602708,10199","-0,08809757"
E4_Bvp,"1647602708,11762","-0,8703098"
E4_Bvp,"1647602708,13325","-1,803731"
E4_Bvp,"1647602708,14887","-3,404544"
E4_Bvp,"1647602708,1645","-6,262878"
E4_Bvp,"1647602708,18012","-10,84333"
E4_Bvp,"1647602708,19575","-17,33665"
E4_Bvp,"1647602708,21137","-25,55693"
E4_Bvp,"1647602708,227","-34,89867"
E4_Bvp,"1647602708,24263","-44,30226"
E4_Bvp,"1647602708,25825","-52,33457"
E4_Bvp,"1647602708,27388","-57,40359"
E4_Bvp,"1647602708,2895","-58,10105"
E4_Bvp,"1647602708,30513","-53,6228"
E4_Bvp,"1647602708,32075","-44,08453"
E4_Bvp,"1647602708,33638","-30,54165"
E4_Bvp,"1647602708,35201","-14,72709"
E4_Bvp,"1647602708,36763","1,408298"
E4_Bvp,"1647602708,38326","16,18814"
E4_Bvp,"1647602708,39888","28,49016"
E4_Bvp,"1647602708,41451","37,76044"
E4_Bvp,"1647602708,43013","43,81117"
E4_Bvp,"1647602708,44576","46,61673"
E4_Bvp,"1647602708,46139","46,2309"
E4_Bvp,"1647602708,47701","42,88245"
E4_Bvp,"1647602708,49264","37,12922"
E4_Bvp,"1647602708,50826","29,91848"
E4_Bvp,"1647602708,52389","22,4706"
E4_Bvp,"1647602708,53951","15,9325"
E4_Bvp,"1647602708,55514","11,07731"
E4_Bvp,"1647602708,57077","8,055836"
E4_Bvp,"1647602708,58639","6,472422"
E4_Bvp,"1647602708,60202","5,619871"
E4_Bvp,"1647602708,61764","4,843601"
E4_Bvp,"1647602708,63327","3,792572"
E4_Bvp,"1647602708,6489","2,452175"
E4_Bvp,"1647602708,66452","1,011673"
E4_Bvp,"1647602708,68015","-0,3702393"
E4_Bvp,"1647602708,69577","-1,77039"
E4_Bvp,"1647602708,7114","-3,540661"
E4_Bvp,"1647602708,72702","-6,236439"
E4_Bvp,"1647602708,74265","-10,46958"
E4_Bvp,"1647602708,75828","-16,71372"
E4_Bvp,"1647602708,7739","-25,10925"
E4_Bvp,"1647602708,78953","-35,26427"
E4_Bvp,"1647602708,80515","-46,12032"
E4_Bvp,"1647602708,82078","-56,01114"
E4_Bvp,"1647602708,8364","-62,94988"
