ACC,time,x,y,z
E4_Acc,"1647608884,98116",-34,20,50.0
E4_Acc,"1647608885,01241",-35,20,49.0
E4_Acc,"1647608885,04367",-34,20,49.0
E4_Acc,"1647608885,07492",-33,19,52.0
E4_Acc,"1647608885,10617",-37,21,48.0
E4_Acc,"1647608885,13742",-37,21,46.0
E4_Acc,"1647608885,16867",-33,21,50.0
E4_Acc,"1647608885,19992",-33,22,50.0
E4_Acc,"1647608885,23117",-33,22,49.0
E4_Acc,"1647608885,26243",-32,21,50.0
E4_Acc,"1647608885,29368",-32,21,51.0
E4_Acc,"1647608885,32493",-32,22,50.0
E4_Acc,"1647608885,35618",-34,22,49.0
E4_Acc,"1647608885,38743",-34,22,49.0
E4_Acc,"1647608885,41868",-33,21,50.0
E4_Acc,"1647608885,44993",-34,20,50.0
E4_Acc,"1647608885,48119",-33,21,51.0
E4_Acc,"1647608885,51244",-33,21,51.0
E4_Acc,"1647608885,54369",-35,22,49.0
E4_Acc,"1647608885,57494",-35,22,48.0
E4_Acc,"1647608885,60619",-34,21,49.0
E4_Acc,"1647608885,63744",-34,20,50.0
E4_Acc,"1647608885,66869",-33,20,50.0
E4_Acc,"1647608885,69995",-30,23,51.0
E4_Acc,"1647608885,7312",-32,24,51.0
E4_Acc,"1647608885,76245",-33,22,49.0
E4_Acc,"1647608885,7937",-33,21,49.0
E4_Acc,"1647608885,82495",-35,21,49.0
E4_Acc,"1647608885,8562",-35,20,49.0
E4_Acc,"1647608885,88745",-35,20,49.0
E4_Acc,"1647608885,91871",-33,21,50.0
E4_Acc,"1647608885,94996",-33,22,50.0
E4_Acc,"1647608885,98121",-32,24,50.0
E4_Acc,"1647608886,01246",-31,23,50.0
E4_Acc,"1647608886,04371",-31,23,50.0
E4_Acc,"1647608886,07496",-37,20,49.0
E4_Acc,"1647608886,10621",-42,20,53.0
E4_Acc,"1647608886,13747",-33,21,51.0
E4_Acc,"1647608886,16872",-18,24,49.0
E4_Acc,"1647608886,19997",-18,25,49.0
E4_Acc,"1647608886,23122",-25,26,53.0
E4_Acc,"1647608886,26247",-28,25,54.0
E4_Acc,"1647608886,29372",-27,24,53.0
E4_Acc,"1647608886,32497",-27,25,54.0
E4_Acc,"1647608886,35623",-30,24,54.0
E4_Acc,"1647608886,38748",-23,23,51.0
E4_Acc,"1647608886,41873",-21,23,51.0
E4_Acc,"1647608886,44998",-22,22,52.0
E4_Acc,"1647608886,48123",-23,22,53.0
E4_Acc,"1647608886,51248",-27,22,54.0
E4_Acc,"1647608886,54374",-25,23,53.0
E4_Acc,"1647608886,57499",-23,23,52.0
E4_Acc,"1647608886,60624",-19,22,52.0
E4_Acc,"1647608886,63749",-21,23,54.0
E4_Acc,"1647608886,66874",-26,22,54.0
E4_Acc,"1647608886,69999",-25,22,54.0
E4_Acc,"1647608886,73124",-25,23,55.0
E4_Acc,"1647608886,7625",-24,24,54.0
E4_Acc,"1647608886,79375",-23,23,53.0
E4_Acc,"1647608886,825",-22,23,53.0
E4_Acc,"1647608886,85625",-22,23,53.0
E4_Acc,"1647608886,8875",-24,22,53.0
E4_Acc,"1647608886,91875",-28,21,54.0
