BVP,time,values
E4_Bvp,"1647608885,60527","23,80084"
E4_Bvp,"1647608885,6209","25,36533"
E4_Bvp,"1647608885,63652","27,03073"
E4_Bvp,"1647608885,65215","28,73622"
E4_Bvp,"1647608885,66777","30,13176"
E4_Bvp,"1647608885,6834","30,84886"
E4_Bvp,"1647608885,69903","30,62025"
E4_Bvp,"1647608885,71465","29,42261"
E4_Bvp,"1647608885,73028","27,58105"
E4_Bvp,"1647608885,7459","25,49034"
E4_Bvp,"1647608885,76153","23,52441"
E4_Bvp,"1647608885,77715","21,7923"
E4_Bvp,"1647608885,79278","20,07462"
E4_Bvp,"1647608885,80841","18,01253"
E4_Bvp,"1647608885,82403","15,2563"
E4_Bvp,"1647608885,83966","11,7115"
E4_Bvp,"1647608885,85528","7,581375"
E4_Bvp,"1647608885,87091","3,292664"
E4_Bvp,"1647608885,88653","-0,7524414"
E4_Bvp,"1647608885,90216","-4,380951"
E4_Bvp,"1647608885,91779","-7,655899"
E4_Bvp,"1647608885,93341","-10,79437"
E4_Bvp,"1647608885,94904","-13,90755"
E4_Bvp,"1647608885,96466","-16,95879"
E4_Bvp,"1647608885,98029","-19,75415"
E4_Bvp,"1647608885,99591","-22,16809"
E4_Bvp,"1647608886,01154","-24,32173"
E4_Bvp,"1647608886,02717","-26,53673"
E4_Bvp,"1647608886,04279","-29,04189"
E4_Bvp,"1647608886,05842","-31,63751"
E4_Bvp,"1647608886,07404","-33,51431"
E4_Bvp,"1647608886,08967","-33,45602"
E4_Bvp,"1647608886,10529","-30,43021"
E4_Bvp,"1647608886,12092","-24,13815"
E4_Bvp,"1647608886,13655","-15,28696"
E4_Bvp,"1647608886,15217","-5,387421"
E4_Bvp,"1647608886,1678","3,833801"
E4_Bvp,"1647608886,18342","11,18387"
E4_Bvp,"1647608886,19905","16,32262"
E4_Bvp,"1647608886,21467","19,68005"
E4_Bvp,"1647608886,2303","22,07428"
E4_Bvp,"1647608886,24593","24,06149"
E4_Bvp,"1647608886,26155","25,74597"
E4_Bvp,"1647608886,27718","26,84015"
E4_Bvp,"1647608886,2928","26,92822"
E4_Bvp,"1647608886,30843","25,79118"
E4_Bvp,"1647608886,32405","23,58325"
E4_Bvp,"1647608886,33968","20,75371"
