label_time_sec,window_start_sec,window_end_sec,n_samples,values_mean,values_std,values_min,values_max,values_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,41,0.2734978682926829,0.0028272085922725126,0.2666874,0.2794961,0.2730917,10.0,Stress,No Reaction
20.0,-10.0,20.0,81,0.2773454888888889,0.011219174919852614,0.2666874,0.3127987,0.2730917,20.0,No Stress,No Reaction
30.0,0.0,30.0,121,0.2929293239669421,0.024370812833695226,0.2666874,0.338416,0.2769344,30.0,No Stress,No Reaction
40.0,10.0,40.0,121,0.3192665198347107,0.03180358359313884,0.2666874,0.3691569,0.3243265,40.0,No Stress,No Reaction
50.0,20.0,50.0,121,0.3575126140495868,0.03183672974546409,0.3115178,0.4306386,0.3512247,50.0,No Stress,No Reaction
60.0,30.0,60.0,121,0.3960445190082645,0.038722176801808963,0.3345734,0.4562559,0.4011786,60.0,No Stress,No Reaction
70.0,40.0,70.0,121,0.4297493495867769,0.028948683796766777,0.3665951,0.465222,0.446009,70.0,No Stress,No Reaction
80.0,50.0,80.0,121,0.4547845016528925,0.01620493054316589,0.4101447,0.4921202,0.454975,80.0,No Stress,No Reaction
90.0,60.0,90.0,121,0.47346823966942153,0.019035652793479744,0.4447281,0.5177376,0.4690646,90.0,No Stress,No Reaction
100.0,70.0,100.0,121,0.4933058214876033,0.025301699681896227,0.4600985,0.5600063,0.4895585,100.0,No Stress,No Reaction
110.0,80.0,110.0,121,0.5198759008264463,0.03143064045092913,0.4793116,0.630454,0.5126141,110.0,No Stress,No Reaction
120.0,90.0,120.0,121,0.5815057776859504,0.08154216490004675,0.484435,0.7508556,0.5536019,120.0,No Stress,No Reaction
130.0,100.0,130.0,121,0.6861241338842975,0.12273243106791398,0.5202993,0.8879085,0.6970592,130.0,Stress,Reaction
140.0,110.0,140.0,121,0.8117974247933885,0.11042636989462654,0.5971514,0.9519519,0.8533251,140.0,Stress,Reaction
150.0,120.0,150.0,121,0.9357478214876034,0.11667094820458891,0.7431704,1.204352,0.9250537,150.0,No Stress,No Reaction
160.0,130.0,160.0,121,1.1342084644628097,0.23261546866687446,0.8879085,1.565656,1.035208,160.0,No Stress,No Reaction
170.0,140.0,170.0,121,1.3812069983471076,0.28401885023052753,0.9173685,1.908929,1.472153,170.0,No Stress,No Reaction
180.0,150.0,180.0,121,1.618339561983471,0.1911383757358306,1.183858,1.939869,1.616891,180.0,No Stress,No Reaction
190.0,160.0,190.0,121,1.8276878099173555,0.21716367315450166,1.500332,2.38433,1.777199,190.0,No Stress,No Reaction
200.0,170.0,200.0,121,2.0218926363636363,0.2597547453679143,1.610486,2.715383,2.082045,200.0,No Stress,No Reaction
210.0,180.0,210.0,121,2.2795967851239674,0.26076495724666193,1.763109,2.761494,2.220379,210.0,No Stress,No Reaction
220.0,190.0,220.0,121,2.436523090909091,0.20072542578989172,2.13328,2.883177,2.439996,220.0,No Stress,No Reaction
230.0,200.0,230.0,121,2.590940669421488,0.18175527573633124,2.29782,3.099254,2.552712,230.0,No Stress,No Reaction
240.0,210.0,240.0,121,2.746321619834711,0.2969529712884196,2.29782,3.517348,2.679129,240.0,No Stress,No Reaction
250.0,220.0,250.0,121,2.937048975206611,0.3002101940894208,2.484826,3.668491,2.921744,250.0,No Stress,Reaction
260.0,230.0,260.0,121,3.050648966942149,0.2660400920570035,2.511335,3.701793,3.001908,260.0,No Stress,No Reaction
270.0,240.0,270.0,121,3.183027743801653,0.29029314239088644,2.745734,3.721006,3.117186,270.0,No Stress,No Reaction
280.0,250.0,280.0,121,3.383158041322314,0.33926715727475,2.825148,4.050862,3.425126,280.0,No Stress,No Reaction
290.0,260.0,290.0,121,3.6829846528925625,0.2980130099107451,3.00372,4.237869,3.710151,290.0,No Stress,No Reaction
300.0,270.0,300.0,121,3.7963891900826443,0.2214133469322447,3.229153,4.237869,3.822867,300.0,No Stress,No Reaction
310.0,280.0,310.0,121,3.809910619834711,0.22674618877536676,3.433484,4.237869,3.816463,310.0,No Stress,No Reaction
320.0,290.0,320.0,121,3.7407058760330583,0.23257779948236565,3.399508,4.20969,3.689657,320.0,No Stress,No Reaction
330.0,300.0,330.0,121,3.574489314049587,0.3068151072012272,3.095942,4.20969,3.526987,330.0,No Stress,No Reaction
340.0,310.0,340.0,121,3.4016249421487608,0.29812470847816064,3.042146,4.157174,3.323937,340.0,No Stress,No Reaction
