label_time_sec,window_start_sec,window_end_sec,n_samples,x_mean,x_std,x_min,x_max,x_median,y_mean,y_std,y_min,y_max,y_median,z_mean,z_std,z_min,z_max,z_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,320,-45.99375,0.11180339887498947,-47.0,-45.0,-46.0,28.415625,0.4936012979919222,28.0,29.0,28.0,34.921875,0.2687884987370024,34.0,35.0,35.0,10.0,No Stress,No Reaction
20.0,-10.0,20.0,640,-46.8734375,1.0723064208752977,-56.0,-42.0,-46.0,27.6921875,1.1508729336419687,11.0,31.0,28.0,34.4578125,0.6746713539474206,29.0,38.0,34.0,20.0,No Stress,Reaction
30.0,0.0,30.0,960,-47.140625,1.0005293828174793,-56.0,-42.0,-47.0,27.585416666666667,1.0267515786742405,11.0,31.0,27.0,34.21458333333333,0.7161155740992518,29.0,38.0,34.0,30.0,No Stress,No Reaction
40.0,10.0,40.0,960,-46.971875,1.2933779463063602,-56.0,-42.0,-47.0,28.9125,2.8207945988543663,11.0,38.0,27.0,33.157291666666666,1.5644809305976486,27.0,38.0,34.0,40.0,No Stress,Reaction
50.0,20.0,50.0,960,-46.028125,1.3844965449588988,-49.0,-42.0,-46.0,31.339583333333334,3.2464460127330854,26.0,39.0,32.0,31.982291666666665,1.9382271976718635,25.0,36.0,32.0,50.0,No Stress,No Reaction
60.0,30.0,60.0,960,-44.567708333333336,1.2744374368036784,-48.0,-40.0,-45.0,34.34375,2.3237815940331967,29.0,43.0,34.0,30.755208333333332,1.8231148099771477,23.0,36.0,31.0,60.0,No Stress,No Reaction
70.0,40.0,70.0,960,-44.12916666666667,1.1167430547801591,-48.0,-40.0,-44.0,35.954166666666666,1.8403379946776497,32.0,43.0,36.0,29.460416666666667,1.8719419506669182,21.0,33.0,30.0,70.0,No Stress,No Reaction
80.0,50.0,80.0,960,-43.770833333333336,0.9566099191234174,-48.0,-40.0,-44.0,37.119791666666664,1.2929680506144103,33.0,43.0,37.0,28.5,1.7757490452011644,21.0,33.0,28.0,80.0,No Stress,No Reaction
90.0,60.0,90.0,960,-43.925,0.8160281742871678,-48.0,-41.0,-44.0,38.05520833333333,1.232203431031843,33.0,44.0,38.0,26.980208333333334,1.6799821112103521,19.0,32.0,27.0,90.0,No Stress,No Reaction
100.0,70.0,100.0,960,-43.77291666666667,0.7423547303731107,-46.0,-41.0,-44.0,38.821875,1.1814258652485168,36.0,45.0,39.0,26.020833333333332,1.740034438470375,17.0,30.0,26.0,100.0,No Stress,No Reaction
110.0,80.0,110.0,960,-43.796875,0.8768786624945717,-47.0,-40.0,-44.0,39.26354166666667,1.2314627391555124,35.0,45.0,39.0,25.296875,1.614710343765983,17.0,30.0,26.0,110.0,No Stress,No Reaction
120.0,90.0,120.0,960,-43.66875,1.0486907772045828,-47.0,-40.0,-44.0,39.235416666666666,1.2830798426117176,35.0,45.0,39.0,25.513541666666665,1.6653945657964957,17.0,30.0,26.0,120.0,No Stress,No Reaction
130.0,100.0,130.0,960,-43.108333333333334,1.383928809691975,-47.0,-39.0,-43.0,39.58229166666667,1.4767926517702334,35.0,45.0,40.0,25.75,1.7769230942849294,18.0,30.0,26.0,130.0,No Stress,No Reaction
140.0,110.0,140.0,960,-42.584375,1.2258791082780625,-47.0,-39.0,-42.0,40.333333333333336,1.4300999816777555,36.0,45.0,40.0,25.294791666666665,1.916280601429049,19.0,29.0,26.0,140.0,No Stress,No Reaction
150.0,120.0,150.0,960,-41.53541666666667,1.424058085910568,-45.0,-37.0,-42.0,41.78854166666667,1.7419781757800485,38.0,48.0,41.0,24.496875,1.9642239776059893,19.0,29.0,25.0,150.0,Stress,No Reaction
160.0,130.0,160.0,960,-40.36666666666667,1.9144729856156415,-45.0,-35.0,-40.0,43.190625,1.9631951423229579,39.0,49.0,43.0,23.888541666666665,1.7374828551328012,19.0,29.0,24.0,160.0,No Stress,No Reaction
