label_time_sec,window_start_sec,window_end_sec,n_samples,values_mean,values_std,values_min,values_max,values_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,640,-0.42317708187499986,37.078766033945946,-178.0171,166.5632,2.6483825000000003,10.0,Stress,No Reaction
20.0,-10.0,20.0,1280,0.685994004765625,32.70459586165326,-178.0171,166.5632,4.96958,20.0,Stress,Reaction
30.0,0.0,30.0,1920,-0.12013611282291668,31.97518508734057,-178.0171,166.5632,3.9210205,30.0,Stress,Reaction
40.0,10.0,40.0,1920,-0.3726812964895833,28.361224677731023,-81.65909,75.67764,2.7540265,40.0,No Stress,No Reaction
50.0,20.0,50.0,1920,-0.38528539822395824,26.93336980798043,-88.81912,75.67764,2.5489425,50.0,No Stress,No Reaction
60.0,30.0,60.0,1920,-0.5147624474151041,23.978709446671417,-88.81912,95.24298,0.34277345000000004,60.0,No Stress,No Reaction
70.0,40.0,70.0,1920,1.0195907155744786,26.938888849502455,-88.81912,131.3914,1.894043,70.0,No Stress,No Reaction
80.0,50.0,80.0,1920,-0.07966531084739596,27.85281134291381,-80.17418,131.3914,0.70637515,80.0,No Stress,No Reaction
90.0,60.0,90.0,1920,0.6664325492656247,29.50284838832463,-93.88129,131.3914,3.834427,90.0,No Stress,No Reaction
100.0,70.0,100.0,1920,-0.7630133619270834,36.58106712698989,-140.7425,369.3911,0.8174286,100.0,No Stress,No Reaction
110.0,80.0,110.0,1920,-0.10690638032812494,35.149541333245914,-140.7425,369.3911,1.1361970000000001,110.0,No Stress,No Reaction
120.0,90.0,120.0,1920,-0.05094333257291656,33.29891160336508,-140.7425,369.3911,0.90641975,120.0,No Stress,No Reaction
130.0,100.0,130.0,1920,0.15522393823958325,57.82333348028338,-358.955,465.8749,1.0980444999999999,130.0,No Stress,No Reaction
140.0,110.0,140.0,1920,-0.36434546556770814,60.55277204651264,-358.955,465.8749,-0.15225794999999998,140.0,No Stress,No Reaction
150.0,120.0,150.0,1920,0.09327783541145873,61.797731045512286,-358.955,465.8749,0.07214355,150.0,No Stress,No Reaction
160.0,130.0,160.0,1920,0.09568832896875014,47.49190709322853,-255.4387,285.0499,-0.49798585,160.0,No Stress,No Reaction
170.0,140.0,170.0,1920,0.33277203290624996,44.4055290872634,-255.4387,285.0499,-0.65078735,170.0,No Stress,No Reaction
180.0,150.0,180.0,1920,-0.081007554421875,46.08910923980508,-255.4387,285.0499,-1.93507,180.0,No Stress,No Reaction
190.0,160.0,190.0,1920,-0.08750988814583321,27.41848778843208,-95.87572,111.872,-0.9278592999999999,190.0,No Stress,No Reaction
200.0,170.0,200.0,1920,0.11026909090624999,26.083378326623148,-95.87572,111.872,-0.6025428500000001,200.0,No Stress,No Reaction
210.0,180.0,210.0,1920,-0.13584882021354167,20.191768845917732,-57.84618,87.8678,-0.1580677,210.0,No Stress,No Reaction
220.0,190.0,220.0,1920,0.004383260281249986,23.10244946539118,-71.41824,97.39273,-1.388557,220.0,No Stress,No Reaction
230.0,200.0,230.0,1920,-0.12220204220416665,36.0684896032464,-159.751,136.8193,0.46472165,230.0,No Stress,No Reaction
240.0,210.0,240.0,1920,1.0131651038375005,99.99773380966809,-339.4125,772.6854,-2.3210375,240.0,No Stress,No Reaction
250.0,220.0,250.0,1920,-0.03424686117812549,99.91079519457728,-339.4125,772.6854,-1.3780670000000002,250.0,No Stress,No Reaction
260.0,230.0,260.0,1920,0.4517235975364585,100.2891246968763,-339.4125,772.6854,-1.1665649999999999,260.0,No Stress,No Reaction
270.0,240.0,270.0,1920,-0.8440624113906253,38.73662424780809,-220.1794,88.06689,2.7513875,270.0,No Stress,No Reaction
280.0,250.0,280.0,1920,0.35269580148958324,38.93521296097317,-220.1794,88.06689,5.842816,280.0,No Stress,No Reaction
290.0,260.0,290.0,1920,-2.440286028744792,37.09576857733414,-295.9897,173.5808,2.911118,290.0,No Stress,No Reaction
300.0,270.0,300.0,1920,-0.19330561096874993,60.45776597232402,-295.9897,276.1207,1.7774965,300.0,No Stress,No Reaction
310.0,280.0,310.0,1920,-0.5132833423229172,59.91448904107059,-295.9897,276.1207,0.5981445,310.0,No Stress,No Reaction
320.0,290.0,320.0,1920,2.4247606042499994,55.31964530276293,-231.0366,276.1207,3.4348755,320.0,No Stress,No Reaction
330.0,300.0,330.0,1920,0.3755168274375001,27.801809868633022,-82.76448,70.1527,4.128494,330.0,No Stress,No Reaction
340.0,310.0,340.0,1919,0.1694377494068263,27.279569834683418,-82.76448,70.1527,4.311615,340.0,No Stress,No Reaction
350.0,320.0,350.0,1919,0.21154994021974996,28.56858504550817,-112.8154,81.80061,3.4729,350.0,No Stress,No Reaction
360.0,330.0,360.0,1919,0.0693009528252735,28.97325234760681,-112.8154,81.80061,2.532967,360.0,No Stress,Reaction
370.0,340.0,370.0,1920,-0.4259014420937498,47.17983573185055,-190.3146,299.1189,0.24555205000000002,370.0,No Stress,No Reaction
380.0,350.0,380.0,1920,-0.38393457766666655,46.69291498159215,-190.3146,299.1189,-0.3367367,380.0,No Stress,No Reaction
390.0,360.0,390.0,1920,0.6335312409817707,65.91474946329419,-211.0382,376.5774,-1.947647,390.0,No Stress,No Reaction
400.0,370.0,400.0,1920,0.3333885450911458,56.547917561851044,-211.0382,376.5774,-2.5921399999999997,400.0,No Stress,No Reaction
410.0,380.0,410.0,1920,0.14369452497656235,74.01633601054186,-282.333,376.5774,-4.1761015,410.0,No Stress,No Reaction
420.0,390.0,420.0,1920,-2.598298034385416,68.2387953768805,-291.1881,298.2791,-2.8210145,420.0,No Stress,No Reaction
430.0,400.0,430.0,1920,-0.12405973080729282,88.08247190253084,-408.1875,298.2791,-0.2801666,430.0,No Stress,No Reaction
440.0,410.0,440.0,1918,-0.2954424790771634,73.1541125629842,-408.1875,260.4519,2.9706200000000003,440.0,No Stress,No Reaction
450.0,420.0,450.0,1434,1.7934357929358433,70.61816170910932,-408.1875,260.4519,1.8200224999999999,450.0,No Stress,No Reaction
