label_time_sec,window_start_sec,window_end_sec,n_samples,x_mean,x_std,x_min,x_max,x_median,y_mean,y_std,y_min,y_max,y_median,z_mean,z_std,z_min,z_max,z_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,320,-57.796875,0.6279709949774077,-59.0,-55.0,-58.0,24.5,0.6948083337796512,24.0,27.0,24.0,18.0875,0.862943130452398,17.0,21.0,18.0,10.0,No Stress,No Reaction
20.0,-10.0,20.0,640,-58.0375,0.6013807794904424,-60.0,-55.0,-58.0,24.328125,0.5961453515085021,23.0,27.0,24.0,17.63125,0.8231537885622668,16.0,21.0,17.0,20.0,No Stress,No Reaction
30.0,0.0,30.0,960,-58.175,1.2943286897224298,-65.0,-49.0,-58.0,24.404166666666665,1.6869688043821789,16.0,34.0,24.0,17.196875,1.2572171733058126,12.0,28.0,17.0,30.0,No Stress,No Reaction
40.0,10.0,40.0,960,-58.98854166666667,1.6109874167954694,-65.0,-49.0,-59.0,23.044791666666665,2.561663700778188,16.0,34.0,24.0,16.617708333333333,1.189412346174294,11.0,28.0,17.0,40.0,No Stress,No Reaction
50.0,20.0,50.0,960,-58.528125,2.0246758838954806,-65.0,-49.0,-59.0,24.684375,4.201068142763932,16.0,34.0,24.0,15.433333333333334,1.8374318266976757,11.0,28.0,16.0,50.0,No Stress,No Reaction
60.0,30.0,60.0,960,-57.795833333333334,2.0062424304174282,-65.0,-54.0,-57.0,26.820833333333333,4.86964414847504,17.0,34.0,30.0,14.032291666666667,2.0366810798438943,11.0,23.0,13.0,60.0,No Stress,No Reaction
70.0,40.0,70.0,960,-56.119791666666664,1.2301495616545695,-61.0,-52.0,-56.0,31.007291666666667,2.3211744533515573,21.0,36.0,31.0,12.172916666666667,1.6907081625955096,8.0,17.0,12.0,70.0,No Stress,No Reaction
80.0,50.0,80.0,960,-55.25208333333333,1.4357987583164424,-58.0,-48.0,-56.0,32.61770833333333,1.8647431193829516,29.0,39.0,32.0,11.489583333333334,1.377570905212407,8.0,15.0,12.0,80.0,Stress,No Reaction
90.0,60.0,90.0,960,-52.557291666666664,6.738126231212289,-58.0,-25.0,-54.0,35.53125,5.814930129310165,29.0,58.0,34.0,11.019791666666666,1.7337428871315317,6.0,34.0,11.0,90.0,No Stress,No Reaction
100.0,70.0,100.0,960,-45.24270833333333,10.806114254189227,-57.0,-25.0,-53.0,42.315625,9.620503262781895,31.0,58.0,36.0,9.946875,2.858551122567809,3.0,34.0,11.0,100.0,Stress,Reaction
110.0,80.0,110.0,960,-39.65625,8.832266332682035,-56.0,-25.0,-38.0,47.72708333333333,7.735492717615937,34.0,58.0,50.0,9.815625,3.26327650378358,3.0,34.0,11.0,110.0,No Stress,No Reaction
120.0,90.0,120.0,960,-34.534375,3.1991372704663297,-41.0,-28.0,-35.0,52.465625,2.447544709351657,47.0,57.0,53.0,8.715625,3.1809137571698884,2.0,16.0,8.0,120.0,No Stress,No Reaction
130.0,100.0,130.0,960,-34.244791666666664,2.8747714164619245,-41.0,-28.0,-34.0,52.76979166666667,2.253053531818581,47.0,57.0,54.0,8.388541666666667,2.9775093619244233,2.0,16.0,8.0,130.0,No Stress,Reaction
140.0,110.0,140.0,960,-33.57395833333333,7.874057466036794,-100.0,44.0,-33.0,51.67604166666667,13.991292128713647,-51.0,73.0,54.0,5.771875,5.848187211886803,-49.0,48.0,6.0,140.0,No Stress,No Reaction
150.0,120.0,150.0,960,-34.771875,7.944347655505319,-100.0,44.0,-33.0,50.90208333333333,13.94181248561609,-51.0,73.0,54.0,5.84375,6.5303145269310345,-49.0,48.0,6.0,150.0,Stress,No Reaction
160.0,130.0,160.0,960,-37.22604166666667,7.999344926147392,-100.0,44.0,-37.0,49.08958333333333,13.757481454394998,-51.0,73.0,51.0,7.03125,6.877223784816386,-49.0,48.0,8.0,160.0,Stress,Reaction
170.0,140.0,170.0,960,-38.79375,3.272657047439651,-50.0,-23.0,-39.0,49.416666666666664,2.590858504982424,38.0,59.0,49.0,9.891666666666667,3.9518390187570036,-3.0,28.0,11.0,170.0,No Stress,Reaction
180.0,150.0,180.0,960,-40.78958333333333,3.0918332051790727,-50.0,-23.0,-41.0,48.01770833333333,2.029166617598042,38.0,57.0,48.0,9.694791666666667,3.3536082319562257,1.0,28.0,10.5,180.0,No Stress,No Reaction
190.0,160.0,190.0,960,-40.9125,3.4479066808233543,-50.0,-23.0,-42.0,48.264583333333334,2.380577438326239,38.0,57.0,48.0,4.930208333333334,7.42584641312613,-10.0,28.0,7.0,190.0,No Stress,No Reaction
200.0,170.0,200.0,960,-40.510416666666664,2.905156293562247,-46.0,-32.0,-40.0,49.170833333333334,2.1801032524106185,45.0,57.0,50.0,0.44895833333333335,5.585201189178504,-10.0,13.0,-1.0,200.0,Stress,No Reaction
210.0,180.0,210.0,960,-39.0875,2.6051705225401256,-46.0,-32.0,-39.0,50.040625,1.7018102442409806,45.0,57.0,50.0,1.390625,6.627943155644332,-10.0,15.0,-1.0,210.0,No Stress,No Reaction
220.0,190.0,220.0,960,-37.87708333333333,2.936146281750034,-59.0,-27.0,-38.0,50.6125,2.3123754651809474,29.0,59.0,50.0,4.966666666666667,6.5290665843049185,-8.0,29.0,3.0,220.0,Stress,No Reaction
230.0,200.0,230.0,960,-34.30833333333333,5.550482447944115,-59.0,-20.0,-35.0,52.31979166666667,3.7227738038894156,29.0,63.0,52.0,8.225,4.938558891088652,-5.0,29.0,8.0,230.0,No Stress,Reaction
240.0,210.0,240.0,960,-34.31875,6.014100783803648,-59.0,-14.0,-35.0,51.921875,4.145570726395768,29.0,63.0,52.0,9.542708333333334,6.115353501193558,-5.0,39.0,10.0,240.0,Stress,Reaction
250.0,220.0,250.0,960,-33.401041666666664,5.948913462568051,-51.0,-14.0,-33.0,52.53333333333333,4.031540577739701,37.0,63.0,53.0,9.659375,5.2620204139978926,-5.0,39.0,10.0,250.0,Stress,No Reaction
260.0,230.0,260.0,960,-42.829166666666666,10.771587357272017,-70.0,-14.0,-40.0,44.396875,10.048775241958563,16.0,58.0,48.0,9.48125,5.765097828471402,-7.0,39.0,11.0,260.0,Stress,Reaction
270.0,240.0,270.0,960,-44.221875,11.564740045956617,-70.0,-25.0,-41.0,42.815625,11.085146127893246,16.0,58.0,48.0,9.289583333333333,5.44299262834081,-7.0,26.0,10.0,270.0,No Stress,No Reaction
280.0,250.0,280.0,960,-46.20520833333333,10.697888166282302,-70.0,-28.0,-50.0,41.23020833333333,10.372324407605777,16.0,61.0,39.0,9.9,4.709983185303257,-7.0,26.0,9.0,280.0,Stress,No Reaction
290.0,260.0,290.0,960,-43.3375,8.454173220272535,-68.0,-28.0,-45.0,45.020833333333336,7.573868646234933,23.0,61.0,45.0,7.139583333333333,7.422684268165603,-19.0,26.0,8.0,290.0,Stress,No Reaction
300.0,270.0,300.0,960,-46.946875,8.742659105956346,-104.0,-31.0,-49.0,42.0375,8.283723377364838,4.0,61.0,41.0,4.226041666666666,7.599733061440004,-22.0,22.0,6.0,300.0,Stress,Reaction
310.0,280.0,310.0,960,-48.223958333333336,7.112007863332666,-104.0,-31.0,-49.0,41.21666666666667,7.342147198056464,4.0,56.0,41.0,3.6333333333333333,7.666057614350517,-22.0,22.0,5.0,310.0,Stress,No Reaction
320.0,290.0,320.0,960,-48.49270833333333,6.973803877342588,-104.0,-32.0,-48.5,40.43958333333333,7.187674526753237,4.0,56.0,41.0,7.996875,6.867355689477406,-22.0,23.0,11.0,320.0,Stress,Reaction
330.0,300.0,330.0,960,-47.401041666666664,5.8467212239179,-66.0,-32.0,-48.0,41.547916666666666,6.924725299440739,21.0,61.0,42.0,9.883333333333333,4.502222059810343,-7.0,23.0,11.0,330.0,No Stress,No Reaction
340.0,310.0,340.0,960,-52.66458333333333,6.769710790345098,-83.0,-32.0,-51.0,32.903125,12.306563379589356,-29.0,61.0,38.0,12.789583333333333,4.955852633151582,-11.0,34.0,13.0,340.0,Stress,No Reaction
350.0,320.0,350.0,960,-55.74270833333333,6.264873768486582,-83.0,-33.0,-58.0,20.397916666666667,16.662759230870424,-29.0,61.0,24.0,18.776041666666668,9.670205629236309,-11.0,36.0,15.0,350.0,No Stress,No Reaction
360.0,330.0,360.0,960,-58.709375,3.173126802853369,-83.0,-38.0,-59.0,8.385416666666666,10.324828384091017,-29.0,32.0,3.0,25.155208333333334,7.913628768790768,-11.0,44.0,28.0,360.0,Stress,Reaction
370.0,340.0,370.0,960,-59.594791666666666,2.5227585490701445,-70.0,-47.0,-60.0,2.3020833333333335,1.151865618851845,-3.0,7.0,2.0,27.369791666666668,4.9350023436402175,9.0,44.0,28.0,370.0,Stress,Reaction
380.0,350.0,380.0,960,-59.765625,4.167037044713247,-76.0,-37.0,-60.0,1.4583333333333333,1.844398936863657,-6.0,7.0,2.0,26.403125,7.315117164427468,5.0,47.0,26.0,380.0,Stress,No Reaction
390.0,360.0,390.0,960,-61.280208333333334,4.668759345389854,-81.0,-37.0,-61.0,0.44375,2.6953330267576106,-10.0,7.0,2.0,20.197916666666668,13.41844387048875,-21.0,47.0,24.0,390.0,Stress,Reaction
400.0,370.0,400.0,960,-59.35520833333333,6.7958364514151635,-102.0,-11.0,-61.0,6.583333333333333,14.539197077246918,-10.0,53.0,2.0,17.864583333333332,15.191938337204771,-21.0,50.0,24.0,400.0,Stress,No Reaction
410.0,380.0,410.0,960,-57.1625,7.441159523713451,-102.0,-11.0,-58.0,18.395833333333332,18.94263287626668,-10.0,59.0,8.5,6.223958333333333,17.313910003891987,-35.0,50.0,6.0,410.0,Stress,Reaction
420.0,390.0,420.0,960,-53.41041666666667,6.703328654511856,-102.0,-11.0,-52.0,26.936458333333334,13.50445506215986,-9.0,59.0,28.0,-4.845833333333333,22.076159372772885,-42.0,50.0,1.0,420.0,Stress,Reaction
430.0,400.0,430.0,960,-53.901041666666664,5.518156490300223,-80.0,-35.0,-55.0,28.260416666666668,8.006703124586885,7.0,64.0,27.0,-15.717708333333333,16.263167407918758,-42.0,32.0,-20.0,430.0,No Stress,No Reaction
