label_time_sec,window_start_sec,window_end_sec,n_samples,values_mean,values_std,values_min,values_max,values_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,41,6.046739414634146,0.0851295802018827,5.94039,6.277278,6.009561,10.0,No Stress,No Reaction
20.0,-10.0,20.0,81,6.1030169382716055,0.13675195773455542,5.911514,6.439959,6.081294,20.0,No Stress,No Reaction
30.0,0.0,30.0,121,6.144596272727273,0.15233336558646626,5.911514,6.521939,6.127408,30.0,No Stress,No Reaction
40.0,10.0,40.0,121,6.20880232231405,0.1529608021906383,5.911514,6.521939,6.199141,40.0,Stress,Reaction
50.0,20.0,50.0,121,6.241496479338842,0.15369689499596811,5.985223,6.597515,6.222198,50.0,No Stress,Reaction
60.0,30.0,60.0,121,6.219974537190083,0.15430155529185058,5.985223,6.597515,6.205545,60.0,No Stress,No Reaction
70.0,40.0,70.0,121,6.217465578512397,0.14563021145986801,5.987785,6.597515,6.205545,70.0,Stress,Reaction
80.0,50.0,80.0,121,6.21970447107438,0.20935685431694034,5.7847,6.894694,6.210669,80.0,Stress,Reaction
90.0,60.0,90.0,121,6.265925024793388,0.23040451968351458,5.7847,6.894694,6.256783,90.0,Stress,Reaction
100.0,70.0,100.0,121,6.424564586776859,0.33962049461422544,5.7847,7.295496,6.441239,100.0,No Stress,No Reaction
110.0,80.0,110.0,121,6.413639190082644,0.2996881869415641,5.870523,7.295496,6.411777,110.0,No Stress,No Reaction
120.0,90.0,120.0,121,6.409515595041321,0.2857435394884015,6.06336,7.295496,6.359259,120.0,No Stress,No Reaction
130.0,100.0,130.0,121,6.268237603305785,0.12063480556031357,6.06336,6.511691,6.255502,130.0,Stress,Reaction
140.0,110.0,140.0,121,6.196366438016528,0.1783939451421064,5.847466,6.511691,6.21195,140.0,No Stress,No Reaction
150.0,120.0,150.0,121,6.096085289256198,0.19051055901456132,5.766767,6.473263,6.095384,150.0,No Stress,No Reaction
160.0,130.0,160.0,121,5.992892917355372,0.14643908294580987,5.670696,6.318854,5.959604,160.0,Stress,Reaction
170.0,140.0,170.0,121,6.092079859504133,0.228456302352197,5.670696,6.594953,6.053113,170.0,Stress,No Reaction
180.0,150.0,180.0,121,6.137967314049587,0.2140190341552605,5.670696,6.594953,6.130556,180.0,No Stress,No Reaction
190.0,160.0,190.0,121,6.203068603305785,0.20877476443308787,5.820567,6.594953,6.189479,190.0,Stress,No Reaction
200.0,170.0,200.0,121,6.173709661157024,0.18197448744904482,5.820567,6.583424,6.194603,200.0,No Stress,Reaction
210.0,180.0,210.0,121,6.1842163884297525,0.19567769401230398,5.820567,6.583424,6.181793,210.0,No Stress,No Reaction
220.0,190.0,220.0,121,6.281721884297521,0.20936492523861258,5.910233,6.79478,6.299054,220.0,No Stress,No Reaction
230.0,200.0,230.0,121,6.205240297520662,0.24908378435222836,5.7847,6.79478,6.172241,230.0,No Stress,No Reaction
240.0,210.0,240.0,121,6.2661213553719,0.24324014478747333,5.7847,6.79478,6.274716,240.0,No Stress,No Reaction
250.0,220.0,250.0,121,6.210921157024794,0.21344372520116428,5.7847,6.659,6.205545,250.0,No Stress,No Reaction
260.0,230.0,260.0,121,6.159952834710744,0.3080313831823079,5.495206,6.659,6.217074,260.0,No Stress,No Reaction
270.0,240.0,270.0,121,5.916844157024793,0.3567075101192854,5.418907,6.659,5.810319,270.0,No Stress,No Reaction
280.0,250.0,280.0,121,5.816808396694214,0.25276958618415307,5.418907,6.464296,5.807033,280.0,No Stress,No Reaction
290.0,260.0,290.0,121,5.819363041322314,0.20073465632070098,5.418907,6.162579,5.848023,290.0,No Stress,No Reaction
300.0,270.0,300.0,121,5.924488512396695,0.13201643194845833,5.670696,6.162579,5.930728,300.0,No Stress,No Reaction
310.0,280.0,310.0,121,5.909481190082645,0.14619048230085033,5.670696,6.229188,5.882052,310.0,No Stress,No Reaction
320.0,290.0,320.0,121,5.9117784545454555,0.1362973230454289,5.670696,6.229188,5.882052,320.0,No Stress,No Reaction
330.0,300.0,330.0,121,5.942912834710745,0.12263775029494707,5.687348,6.229188,5.948661,330.0,Stress,Reaction
340.0,310.0,340.0,121,6.014073859504132,0.16569166871508184,5.765486,6.547558,5.985809,340.0,No Stress,No Reaction
350.0,320.0,350.0,121,6.035202016528926,0.20432091896935828,5.647639,6.547558,6.010147,350.0,No Stress,Reaction
360.0,330.0,360.0,121,6.062328677685952,0.21818590459724993,5.647639,6.547558,6.053699,360.0,No Stress,Reaction
370.0,340.0,370.0,121,6.000171818181817,0.21564289982070667,5.647639,6.443801,5.975561,370.0,No Stress,No Reaction
380.0,350.0,380.0,121,5.988663619834711,0.22043524105215329,5.691191,6.51041,5.926885,380.0,No Stress,No Reaction
390.0,360.0,390.0,121,5.967878727272727,0.2107624436340988,5.691191,6.51041,5.910233,390.0,No Stress,No Reaction
400.0,370.0,400.0,121,5.934870603305786,0.19246491071710015,5.682225,6.51041,5.885895,400.0,No Stress,No Reaction
410.0,380.0,410.0,121,6.049293892561985,0.22741439935786106,5.682225,6.725609,6.014685,410.0,No Stress,No Reaction
420.0,390.0,420.0,121,6.018209396694215,0.2336980391082861,5.682225,6.725609,5.970438,420.0,No Stress,No Reaction
430.0,400.0,430.0,121,5.999556280991735,0.25132201217466094,5.619458,6.725609,5.976842,430.0,No Stress,No Reaction
440.0,410.0,440.0,121,5.7982443305785125,0.17956923513013895,5.499049,6.23885,5.777015,440.0,No Stress,No Reaction
450.0,420.0,450.0,114,5.6744378070175445,0.1363079382166819,5.482397,6.00118,5.6457175,450.0,No Stress,No Reaction
