label_time_sec,window_start_sec,window_end_sec,n_samples,x_mean,x_std,x_min,x_max,x_median,y_mean,y_std,y_min,y_max,y_median,z_mean,z_std,z_min,z_max,z_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,320,-17.8625,0.34491378233027936,-18.0,-17.0,-18.0,-8.0125,0.11127643569537006,-9.0,-8.0,-8.0,60.0375,0.1902810987768468,60.0,61.0,60.0,10.0,No Stress,No Reaction
20.0,-10.0,20.0,640,-18.0015625,0.45277519753097956,-19.0,-17.0,-18.0,-8.284375,0.4514690852077012,-9.0,-8.0,-8.0,60.025,0.15624706570014713,60.0,61.0,60.0,20.0,No Stress,No Reaction
30.0,0.0,30.0,960,-18.686458333333334,1.5656052737301744,-26.0,-17.0,-18.0,-8.35625,0.7393050452606571,-11.0,-5.0,-8.0,59.87708333333333,0.48058861343484366,57.0,61.0,60.0,30.0,No Stress,No Reaction
40.0,10.0,40.0,960,-21.867708333333333,5.572182413484722,-39.0,-15.0,-19.0,-6.642708333333333,3.3714202362070957,-11.0,3.0,-8.0,58.77916666666667,2.199436683339185,51.0,61.0,60.0,40.0,No Stress,Reaction
50.0,20.0,50.0,960,-28.19375,8.481960400869523,-46.0,-15.0,-25.0,-3.590625,4.307535849397861,-11.0,4.0,-2.0,56.07395833333333,3.953555831205914,46.0,61.0,58.0,50.0,No Stress,No Reaction
60.0,30.0,60.0,960,-32.33958333333333,6.214223638218273,-46.0,-15.0,-33.0,-0.5229166666666667,2.630830251782661,-8.0,4.0,1.0,54.46458333333333,3.103497276037233,46.0,61.0,54.0,60.0,No Stress,No Reaction
70.0,40.0,70.0,992,-32.31149193548387,4.9306746971031625,-46.0,-22.0,-31.0,0.31149193548387094,0.8680615006180038,-2.0,4.0,0.0,54.627016129032256,2.7429380875092897,46.0,59.0,55.0,70.0,No Stress,No Reaction
80.0,50.0,80.0,676,-30.0103550295858,2.844338760569558,-37.0,-22.0,-29.0,-0.16,8.625123746585722,-223.0,2.0,0.0,55.93026706231454,1.3506492588379047,52.0,59.0,56.0,80.0,No Stress,No Reaction
90.0,60.0,90.0,356,-27.778089887640448,1.2798207413249798,-35.0,-22.0,-28.0,-0.9380281690140845,11.838441240980732,-223.0,1.0,0.0,56.994350282485875,0.5530976394522268,55.0,59.0,57.0,90.0,No Stress,No Reaction
100.0,70.0,100.0,4,-28.0,0.0,-28.0,-28.0,-28.0,-75.0,128.17175976009693,-223.0,-1.0,-1.0,57.0,0.0,57.0,57.0,57.0,100.0,No Stress,No Reaction
