label_time_sec,window_start_sec,window_end_sec,n_samples,x_mean,x_std,x_min,x_max,x_median,y_mean,y_std,y_min,y_max,y_median,z_mean,z_std,z_min,z_max,z_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,320,61.9875,0.17661036937431765,61.0,63.0,62.0,-21.11875,0.5176735394212533,-22.0,-20.0,-21.0,-3.390625,0.7556928664900509,-5.0,-2.0,-4.0,10.0,No Stress,No Reaction
20.0,-10.0,20.0,640,61.94375,0.2501173433530937,61.0,63.0,62.0,-21.2015625,0.5552402763450642,-22.0,-19.0,-21.0,-3.6703125,0.7003642440436963,-7.0,-2.0,-4.0,20.0,No Stress,No Reaction
30.0,0.0,30.0,960,61.822916666666664,0.3900426881443933,61.0,63.0,62.0,-21.24375,0.5657614577819653,-22.0,-19.0,-21.0,-4.554166666666666,1.432959025096372,-9.0,-2.0,-4.0,30.0,No Stress,No Reaction
40.0,10.0,40.0,960,61.778125,0.4609242030522292,61.0,63.0,62.0,-20.369791666666668,1.5692974319617572,-22.0,-16.0,-21.0,-6.75,2.6792369698021368,-12.0,-3.0,-6.0,40.0,No Stress,No Reaction
50.0,20.0,50.0,960,61.91354166666667,0.6193137228522984,60.0,63.0,62.0,-19.227083333333333,1.8222629233934051,-23.0,-16.0,-19.0,-8.30625,1.9863881160674028,-12.0,-5.0,-8.0,50.0,No Stress,No Reaction
60.0,30.0,60.0,960,61.93125,0.6071029858710938,60.0,63.0,62.0,-18.6125,1.2497549290522132,-23.0,-16.0,-19.0,-9.514583333333333,1.5398074962403347,-12.0,-6.0,-9.0,60.0,No Stress,No Reaction
70.0,40.0,70.0,960,62.0125,0.5775158047122069,60.0,63.0,62.0,-18.675,1.0982021519883796,-23.0,-16.0,-19.0,-8.99375,1.4762501109194106,-12.0,-4.0,-9.0,70.0,No Stress,No Reaction
80.0,50.0,80.0,960,61.93020833333333,0.45704308549100026,60.0,63.0,62.0,-18.766666666666666,0.8626977918216224,-21.0,-16.0,-19.0,-9.263541666666667,1.3142056753711024,-12.0,-4.0,-9.0,80.0,No Stress,No Reaction
90.0,60.0,90.0,960,62.046875,0.34309914447658285,60.0,63.0,62.0,-18.365625,0.6431362359060088,-20.0,-16.0,-18.0,-9.467708333333333,1.435799893085993,-13.0,-4.0,-9.0,90.0,No Stress,No Reaction
100.0,70.0,100.0,960,61.96666666666667,0.3751028129248888,60.0,63.0,62.0,-18.31875,0.6574054763807425,-20.0,-17.0,-18.0,-10.077083333333333,1.2365210005959633,-13.0,-7.0,-10.0,100.0,No Stress,No Reaction
110.0,80.0,110.0,960,61.94166666666667,0.40426987616838145,61.0,63.0,62.0,-18.475,0.6845532402130102,-20.0,-17.0,-19.0,-10.315625,1.340538864539548,-13.0,-7.0,-11.0,110.0,No Stress,No Reaction
120.0,90.0,120.0,960,61.84375,0.47739572015085396,61.0,63.0,62.0,-18.689583333333335,0.7555811340889682,-21.0,-17.0,-19.0,-10.364583333333334,1.4091892052515262,-14.0,-7.0,-11.0,120.0,No Stress,No Reaction
130.0,100.0,130.0,960,61.846875,0.5541488461517764,61.0,63.0,62.0,-18.542708333333334,0.9031568769909415,-21.0,-15.0,-19.0,-10.508333333333333,1.7973254760546897,-16.0,-6.0,-11.0,130.0,No Stress,No Reaction
140.0,110.0,140.0,960,61.890625,0.5717685869273266,61.0,64.0,62.0,-18.107291666666665,1.3321832294247344,-21.0,-11.0,-18.0,-10.88125,1.693532597566345,-16.0,-6.0,-11.0,140.0,No Stress,No Reaction
150.0,120.0,150.0,960,61.92604166666667,0.5810250895400376,61.0,64.0,62.0,-17.864583333333332,1.2441294192397612,-21.0,-11.0,-18.0,-11.032291666666667,1.7663282519310193,-16.0,-5.0,-11.0,150.0,No Stress,No Reaction
160.0,130.0,160.0,960,62.0625,0.6112006338405506,61.0,64.0,62.0,-17.692708333333332,1.3640509495793456,-21.0,-11.0,-18.0,-10.43125,2.4527787438362245,-14.0,-2.0,-11.0,160.0,No Stress,Reaction
170.0,140.0,170.0,960,62.046875,0.6202110584620222,61.0,64.0,62.0,-17.5125,1.2380187003427419,-21.0,-13.0,-18.0,-10.641666666666667,2.611583511846125,-15.0,-2.0,-11.0,170.0,No Stress,No Reaction
180.0,150.0,180.0,960,62.264583333333334,0.6560823415772142,61.0,65.0,62.0,-16.665625,1.4454508210662027,-21.0,-12.0,-17.0,-10.5125,2.9158961691457383,-16.0,-2.0,-11.0,180.0,No Stress,No Reaction
190.0,160.0,190.0,960,62.2,0.6037767820168367,61.0,65.0,62.0,-16.498958333333334,1.2202663679253014,-20.0,-12.0,-17.0,-11.380208333333334,2.0777946012384616,-16.0,-2.0,-11.0,190.0,No Stress,No Reaction
200.0,170.0,200.0,960,62.31979166666667,0.7066081344093671,61.0,65.0,62.0,-16.15625,1.5030599654190326,-20.0,-9.0,-16.0,-11.097916666666666,2.47085109714193,-16.0,-2.0,-11.0,200.0,No Stress,No Reaction
210.0,180.0,210.0,960,62.30833333333333,0.6544412587391449,61.0,65.0,62.0,-16.257291666666667,1.474655173752073,-20.0,-9.0,-16.0,-11.20625,2.0380024825484946,-15.0,-4.0,-11.0,210.0,No Stress,No Reaction
220.0,190.0,220.0,960,62.344791666666666,0.7125231337980739,61.0,65.0,62.0,-16.248958333333334,1.6324073838583362,-20.0,-9.0,-16.0,-10.933333333333334,2.28147852224824,-16.0,-4.0,-11.0,220.0,No Stress,No Reaction
230.0,200.0,230.0,960,62.25,0.6160860684966187,61.0,64.0,62.0,-16.61875,1.3587328099375662,-20.0,-12.0,-17.0,-11.108333333333333,1.9813345197041188,-16.0,-6.0,-11.0,230.0,No Stress,No Reaction
240.0,210.0,240.0,960,62.280208333333334,0.6724303874746477,61.0,64.0,62.0,-17.245833333333334,1.3298464137579626,-20.0,-12.0,-17.0,-9.329166666666667,4.078732875539102,-16.0,-1.0,-10.0,240.0,No Stress,No Reaction
250.0,220.0,250.0,960,62.24375,0.5821130291685984,61.0,64.0,62.0,-18.328125,1.815711934186086,-22.0,-15.0,-18.0,-7.05625,4.463846485170605,-15.0,-1.0,-6.0,250.0,No Stress,No Reaction
260.0,230.0,260.0,960,62.063541666666666,0.6797564109600023,61.0,64.0,62.0,-19.825,1.8714138454713587,-23.0,-15.0,-20.0,-4.898958333333334,2.9619060314672825,-14.0,-1.0,-5.0,260.0,No Stress,No Reaction
270.0,240.0,270.0,732,61.82786885245902,0.5464866962506795,61.0,63.0,62.0,-20.90983606557377,1.2166476222953915,-23.0,-18.0,-21.0,-4.330601092896175,1.393749254455151,-8.0,-2.0,-4.0,270.0,No Stress,No Reaction
