label_time_sec,window_start_sec,window_end_sec,n_samples,x_mean,x_std,x_min,x_max,x_median,y_mean,y_std,y_min,y_max,y_median,z_mean,z_std,z_min,z_max,z_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,320,-15.25625,2.373434148058971,-19.0,-7.0,-16.0,-21.55625,1.8374265600661057,-25.0,-16.0,-22.0,57.5375,1.154994605695175,55.0,60.0,57.0,10.0,No Stress,No Reaction
20.0,-10.0,20.0,640,-16.8140625,2.8905093847157617,-25.0,-7.0,-17.0,-22.8078125,1.9117300939905641,-29.0,-16.0,-23.0,56.73125,1.3541653123864663,53.0,60.0,57.0,20.0,No Stress,No Reaction
30.0,0.0,30.0,960,-16.7875,3.3434994436545757,-27.0,-7.0,-17.0,-21.308333333333334,5.791361490873291,-29.0,4.0,-23.0,56.98229166666667,1.5299236175817215,53.0,63.0,57.0,30.0,Stress,Reaction
40.0,10.0,40.0,960,-19.457291666666666,4.309004196096156,-35.0,-9.0,-19.0,-13.776041666666666,12.004467753558618,-29.0,8.0,-22.0,57.36770833333333,1.757213335155559,52.0,63.0,57.0,40.0,No Stress,Reaction
50.0,20.0,50.0,960,-21.429166666666667,5.12504567321985,-37.0,-9.0,-22.0,-5.43125,10.606108304561658,-29.0,8.0,0.0,58.14479166666667,1.6270888422123297,51.0,63.0,58.0,50.0,No Stress,Reaction
60.0,30.0,60.0,960,-22.872916666666665,3.776124963873366,-37.0,-15.0,-23.0,1.2302083333333333,1.9407608342018285,-6.0,8.0,2.0,58.77708333333333,1.4091522064385633,51.0,63.0,59.0,60.0,No Stress,No Reaction
70.0,40.0,70.0,960,-21.611458333333335,4.2207187906607375,-37.0,-13.0,-22.0,1.7791666666666666,2.1842127965227127,-4.0,9.0,2.0,59.13854166666667,1.4356455561931125,51.0,63.0,59.0,70.0,No Stress,No Reaction
80.0,50.0,80.0,960,-20.292708333333334,3.190959099927014,-28.0,-10.0,-20.0,2.091666666666667,2.2451275787752927,-4.0,9.0,2.0,59.60625,0.9693759750591604,56.0,62.0,60.0,80.0,No Stress,No Reaction
90.0,60.0,90.0,960,-20.772916666666667,3.1663138032184777,-30.0,-10.0,-21.0,2.2864583333333335,2.2015787202962906,-4.0,9.0,2.0,59.467708333333334,0.9714372130767359,56.0,62.0,60.0,90.0,Stress,No Reaction
100.0,70.0,100.0,960,-20.723958333333332,2.714778033073136,-30.0,-10.0,-21.0,1.521875,2.0128732272003567,-5.0,9.0,2.0,59.5625,0.9493151035339668,56.0,62.0,60.0,100.0,No Stress,No Reaction
110.0,80.0,110.0,960,-20.060416666666665,7.024498752584473,-85.0,68.0,-21.0,0.5666666666666667,7.005861789181022,-82.0,39.0,1.0,59.190625,5.540834819348761,1.0,124.0,60.0,110.0,No Stress,No Reaction
120.0,90.0,120.0,960,-17.09375,7.475616428107297,-85.0,68.0,-18.0,2.153125,7.954149802938793,-82.0,39.0,2.0,59.784375,5.590320625653028,1.0,124.0,60.0,120.0,No Stress,No Reaction
130.0,100.0,130.0,960,-15.2,7.924145069230275,-85.0,68.0,-16.0,3.832291666666667,8.416181776917622,-82.0,39.0,4.0,60.001041666666666,5.62366878775247,1.0,124.0,61.0,130.0,No Stress,No Reaction
140.0,110.0,140.0,960,-14.422916666666667,5.050350841459264,-27.0,6.0,-15.0,4.698958333333334,4.726514185806179,-6.0,21.0,4.0,60.69375,1.119531082010263,56.0,66.0,61.0,140.0,No Stress,No Reaction
150.0,120.0,150.0,960,-15.25625,5.072463691744549,-29.0,6.0,-16.0,2.3802083333333335,4.484735314697167,-6.0,17.0,1.0,60.71041666666667,1.1405392836243922,56.0,66.0,61.0,150.0,No Stress,No Reaction
160.0,130.0,160.0,960,-15.664583333333333,4.176002228500785,-29.0,-5.0,-16.0,0.178125,2.930288526722853,-6.0,11.0,0.0,60.86666666666667,1.0714482676905854,56.0,65.0,61.0,160.0,No Stress,No Reaction
170.0,140.0,170.0,960,-16.93125,3.764642944071903,-33.0,-7.0,-17.0,-1.09375,2.4899301890201566,-8.0,7.0,-2.0,60.63333333333333,1.0587208394002297,56.0,64.0,61.0,170.0,No Stress,No Reaction
180.0,150.0,180.0,960,-17.676041666666666,3.4469386091302767,-33.0,-8.0,-18.0,-1.2572916666666667,2.1099715979717546,-8.0,6.0,-1.0,60.479166666666664,1.0300912283992933,56.0,63.0,61.0,180.0,No Stress,No Reaction
190.0,160.0,190.0,960,-18.684375,3.248704823340692,-33.0,-7.0,-19.0,-1.2885416666666667,2.116294092624882,-8.0,6.0,-2.0,60.208333333333336,1.0721293039329514,56.0,64.0,60.0,190.0,No Stress,No Reaction
200.0,170.0,200.0,960,-17.7,3.4008524969400966,-28.0,-7.0,-17.0,-1.4864583333333334,2.0912010803931484,-8.0,4.0,-1.0,60.459375,1.1094511155943911,56.0,64.0,61.0,200.0,No Stress,No Reaction
210.0,180.0,210.0,960,-16.353125,3.9011897098503066,-28.0,-4.0,-16.0,-1.6854166666666666,2.334623073214773,-9.0,5.0,-2.0,60.766666666666666,1.1128846926983345,56.0,64.0,61.0,210.0,No Stress,No Reaction
220.0,190.0,220.0,960,-14.866666666666667,3.786113330796142,-25.0,-4.0,-15.0,-1.4604166666666667,2.56764496385504,-9.0,5.0,-1.0,61.115625,0.9281630107674136,58.0,64.0,61.0,220.0,No Stress,No Reaction
230.0,200.0,230.0,960,-12.351041666666667,4.417320511213042,-24.0,-3.0,-13.0,-0.5802083333333333,2.720145360146536,-9.0,5.0,-1.0,61.49583333333333,0.7682322199897496,58.0,64.0,62.0,230.0,No Stress,No Reaction
240.0,210.0,240.0,960,-12.117708333333333,4.131783638551417,-22.0,-3.0,-13.0,-1.1447916666666667,2.852815223788164,-9.0,5.0,-1.0,61.53125,0.7141227655635561,58.0,64.0,62.0,240.0,No Stress,No Reaction
250.0,220.0,250.0,904,-11.355088495575222,3.8681217800266667,-22.0,-3.0,-11.0,-1.0586283185840708,2.997579809884627,-9.0,8.0,-1.0,61.64823008849557,0.6804802292127918,58.0,64.0,62.0,250.0,No Stress,No Reaction
