label_time_sec,window_start_sec,window_end_sec,n_samples,values_mean,values_std,values_min,values_max,values_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,640,0.16938861959375007,20.404361871842678,-48.91034,38.83414,3.3191075000000003,10.0,No Stress,No Reaction
20.0,-10.0,20.0,1280,-0.12651986621875005,19.79141693725201,-48.91034,38.83414,3.1348570000000002,20.0,No Stress,No Reaction
30.0,0.0,30.0,1920,0.07669570760416665,20.492789098432915,-48.91034,75.91306,2.3210485,30.0,Stress,Reaction
40.0,10.0,40.0,1920,-0.2928394396874999,19.460973001001413,-47.44751,75.91306,1.9349750000000001,40.0,No Stress,Reaction
50.0,20.0,50.0,1920,-0.016260678411458403,18.67265346333009,-47.44751,75.91306,2.651985,50.0,No Stress,Reaction
60.0,30.0,60.0,1920,-0.07991671684895832,16.374915662112194,-46.19116,34.54022,4.0850905,60.0,No Stress,No Reaction
70.0,40.0,70.0,1920,0.2873962159947917,16.491978358659512,-45.98278,27.10283,5.2893905,70.0,No Stress,No Reaction
80.0,50.0,80.0,1920,0.0161056671666666,16.634804562438898,-41.667,31.47778,4.886794999999999,80.0,No Stress,No Reaction
90.0,60.0,90.0,1920,-0.08909078854687494,17.014136087341406,-41.667,36.62665,4.711683,90.0,Stress,No Reaction
100.0,70.0,100.0,1920,-0.012594162921874933,17.083617638488974,-41.667,42.73225,4.671143,100.0,No Stress,No Reaction
110.0,80.0,110.0,1920,-0.1416076128854167,28.802696019850227,-155.4613,221.4583,4.530250499999999,110.0,No Stress,No Reaction
120.0,90.0,120.0,1920,0.38052349219791676,29.982234224525335,-155.4613,221.4583,4.9104165,120.0,No Stress,No Reaction
130.0,100.0,130.0,1920,-0.022651096447916904,30.2435915835658,-155.4613,221.4583,3.9529345,130.0,No Stress,No Reaction
140.0,110.0,140.0,1920,0.2308618609270835,19.94469751244482,-50.94623,38.89273,4.796213,140.0,No Stress,No Reaction
150.0,120.0,150.0,1920,-0.3022552712666665,19.28698274061975,-49.91788,38.89273,4.006203,150.0,No Stress,No Reaction
160.0,130.0,160.0,1920,0.10369497146770827,19.488448752398256,-49.91788,37.22964,5.304634,160.0,No Stress,No Reaction
170.0,140.0,170.0,1920,0.04758495528541665,20.707316613320547,-49.91788,67.75085,4.322937,170.0,No Stress,No Reaction
180.0,150.0,180.0,1920,0.0697299553541668,20.231641635100196,-48.30106,67.75085,4.884329,180.0,No Stress,No Reaction
190.0,160.0,190.0,1920,-0.1030121432604167,20.382125191924747,-54.61366,67.75085,4.5843665,190.0,No Stress,No Reaction
200.0,170.0,200.0,1920,0.005015785589583362,19.774285776966533,-57.75153,38.96941,6.122528,200.0,No Stress,No Reaction
210.0,180.0,210.0,1920,0.02878623665729171,21.074156729732398,-57.75153,38.96941,6.2151035,210.0,No Stress,No Reaction
220.0,190.0,220.0,1920,0.03530011515729156,21.184023910630533,-57.75153,38.96941,6.4426155000000005,220.0,No Stress,No Reaction
230.0,200.0,230.0,1920,0.15878314951041664,21.702852997054286,-56.49374,36.81981,6.607536,230.0,No Stress,No Reaction
240.0,210.0,240.0,1920,-0.151076766140625,21.15351813631774,-57.93888,34.63149,6.3056715,240.0,No Stress,No Reaction
250.0,220.0,250.0,1772,-0.18349764194130924,21.57617729380406,-57.93888,40.34966,6.294384,250.0,No Stress,No Reaction
