label_time_sec,window_start_sec,window_end_sec,n_samples,values_mean,values_std,values_min,values_max,values_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,41,0.13892123414634147,0.0035784769395379493,0.1345155,0.1575753,0.1383588,10.0,No Stress,No Reaction
20.0,-10.0,20.0,81,0.13889654567901236,0.0027910947160141937,0.1345155,0.1575753,0.1383588,20.0,No Stress,No Reaction
30.0,0.0,30.0,121,0.13861290247933883,0.0027357801499286825,0.1319533,0.1575753,0.1383588,30.0,Stress,Reaction
40.0,10.0,40.0,121,0.1367071338842975,0.003196072849596145,0.1293911,0.1422021,0.1370777,40.0,No Stress,Reaction
50.0,20.0,50.0,121,0.1349390041322314,0.0030198311998188673,0.1293911,0.1422021,0.1345155,50.0,No Stress,Reaction
60.0,30.0,60.0,121,0.13325557520661158,0.0015775700647557651,0.1293911,0.1370777,0.1332344,60.0,No Stress,No Reaction
70.0,40.0,70.0,121,0.13334027603305787,0.0016338150530289962,0.1293911,0.1370777,0.1332344,70.0,No Stress,No Reaction
80.0,50.0,80.0,121,0.13358379090909092,0.0017027870500055697,0.1293911,0.1370777,0.1332344,80.0,No Stress,No Reaction
90.0,60.0,90.0,121,0.13390141900826444,0.0016213143716500534,0.1306722,0.1370777,0.1332344,90.0,Stress,No Reaction
100.0,70.0,100.0,121,0.13453667520661158,0.0026769752254575487,0.1306722,0.1575753,0.1345155,100.0,No Stress,No Reaction
110.0,80.0,110.0,121,0.13483312809917355,0.003374432119710987,0.1319533,0.1575753,0.1345155,110.0,No Stress,No Reaction
120.0,90.0,120.0,121,0.1347907776859504,0.003374130638216003,0.1319533,0.1575753,0.1345155,120.0,No Stress,No Reaction
130.0,100.0,130.0,121,0.1344625619834711,0.0026327394335639623,0.1319533,0.1575753,0.1345155,130.0,No Stress,No Reaction
140.0,110.0,140.0,121,0.1344625619834711,0.0015461616918602094,0.1319533,0.1370777,0.1345155,140.0,No Stress,No Reaction
150.0,120.0,150.0,121,0.1348648909090909,0.0016288956860912415,0.1319533,0.1370777,0.1345155,150.0,No Stress,No Reaction
160.0,130.0,160.0,121,0.13525663223140494,0.002401006448527186,0.1319533,0.1550131,0.1345155,160.0,No Stress,No Reaction
170.0,140.0,170.0,121,0.13547897190082642,0.00239261211984667,0.1319533,0.1550131,0.1357966,170.0,No Stress,No Reaction
180.0,150.0,180.0,121,0.13576483719008264,0.002370685905145462,0.1332344,0.1550131,0.1357966,180.0,No Stress,No Reaction
190.0,160.0,190.0,121,0.13604011487603304,0.001606185135274528,0.1332344,0.1396399,0.1357966,190.0,No Stress,No Reaction
200.0,170.0,200.0,121,0.13673889669421485,0.001618523330896299,0.1332344,0.140921,0.1370777,200.0,No Stress,No Reaction
210.0,180.0,210.0,121,0.13709887520661154,0.0015862159151200626,0.1332344,0.140921,0.1370777,210.0,No Stress,No Reaction
220.0,190.0,220.0,121,0.13759649256198347,0.0023539871881613056,0.1345155,0.1575753,0.1370777,220.0,No Stress,No Reaction
230.0,200.0,230.0,121,0.13752237933884298,0.002354755335412346,0.1345155,0.1575753,0.1370777,230.0,No Stress,No Reaction
240.0,210.0,240.0,121,0.13780824462809915,0.0023842830520218058,0.1345155,0.1575753,0.1370777,240.0,No Stress,No Reaction
250.0,220.0,250.0,116,0.13807165689655176,0.0016387476765863762,0.1345155,0.140921,0.1383588,250.0,No Stress,No Reaction
