label_time_sec,window_start_sec,window_end_sec,n_samples,values_mean,values_std,values_min,values_max,values_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,640,0.45631752106249984,20.221336223682854,-69.3299,42.92754,2.943504,10.0,No Stress,No Reaction
20.0,-10.0,20.0,1280,-0.2604903926406251,29.071918834608088,-86.32213,251.4438,1.5215874999999999,20.0,No Stress,No Reaction
30.0,0.0,30.0,1920,0.025017525151041588,27.249973956034086,-86.32213,251.4438,1.43404,30.0,Stress,No Reaction
40.0,10.0,40.0,1920,-0.006427477463541568,27.018406884374016,-86.32213,251.4438,-0.97478865,40.0,Stress,No Reaction
50.0,20.0,50.0,1920,0.3629059129166669,23.798989863048266,-71.0162,126.705,-0.692544,50.0,No Stress,Reaction
60.0,30.0,60.0,1920,-0.045823152109375084,28.118269680206822,-104.7135,208.8137,-0.837223,60.0,No Stress,Reaction
70.0,40.0,70.0,1920,-0.06287198542708318,27.209191940499174,-104.7135,208.8137,0.98969275,70.0,No Stress,No Reaction
80.0,50.0,80.0,1920,-0.23727447616666675,23.144254123161826,-104.7135,208.8137,1.4363424999999999,80.0,No Stress,No Reaction
90.0,60.0,90.0,1920,0.017470425369791657,13.813510072066816,-40.84462,47.73419,2.2892900000000003,90.0,No Stress,No Reaction
100.0,70.0,100.0,1920,-0.025628760432291696,13.579500477212012,-38.04121,33.68579,1.9916885,100.0,No Stress,No Reaction
110.0,80.0,110.0,1920,-0.10459970073958338,13.781352685134367,-67.52377,33.68579,2.6380735,110.0,No Stress,No Reaction
120.0,90.0,120.0,1920,0.0116460896666667,18.0903090977461,-67.52377,78.80508,1.261078,120.0,No Stress,No Reaction
130.0,100.0,130.0,1920,-0.03238997593645803,28.225269093173903,-110.7158,203.4226,-0.4446716,130.0,No Stress,No Reaction
140.0,110.0,140.0,1920,0.09139186609479169,28.726466129635,-110.7158,203.4226,-0.7044859,140.0,No Stress,Reaction
150.0,120.0,150.0,1920,-0.08417766634270837,26.60266151520648,-110.7158,203.4226,0.6983824,150.0,No Stress,No Reaction
160.0,130.0,160.0,1920,0.007761523697395859,15.381414918549034,-44.40279,40.9357,2.0652085,160.0,No Stress,Reaction
170.0,140.0,170.0,1920,-0.06225575653541663,14.500926624867345,-42.30846,40.9357,2.1216145,170.0,No Stress,No Reaction
180.0,150.0,180.0,1920,0.06791378483437502,16.223973517322783,-55.98112,83.24954,3.0798300000000003,180.0,No Stress,Reaction
190.0,160.0,190.0,1920,-0.1568443799046873,24.4940443153327,-106.5334,152.2656,2.5751340000000003,190.0,No Stress,No Reaction
200.0,170.0,200.0,1920,-0.06536131865104172,25.64579984434325,-106.5334,152.2656,1.4662395,200.0,No Stress,No Reaction
210.0,180.0,210.0,1920,-0.09488738226666668,25.040622134234425,-106.5334,152.2656,0.08173370499999999,210.0,No Stress,No Reaction
220.0,190.0,220.0,1920,0.3150870367385416,18.445834105124817,-43.96024,62.83215,1.608147,220.0,No Stress,No Reaction
230.0,200.0,230.0,1920,0.3713331577124999,27.190913825511643,-167.8681,174.5571,2.524689,230.0,No Stress,No Reaction
240.0,210.0,240.0,1919,0.05291731944241791,26.98709584851099,-167.8681,174.5571,2.615799,240.0,No Stress,No Reaction
250.0,220.0,250.0,1919,-0.27866719302449194,26.326611891191792,-167.8681,174.5571,1.862438,250.0,No Stress,No Reaction
260.0,230.0,260.0,1919,0.08312590798176135,17.496842001279806,-59.97448,71.9904,1.818283,260.0,No Stress,No Reaction
270.0,240.0,270.0,1920,-0.042062441261979194,17.435301080558304,-59.97448,71.9904,1.9531209999999999,270.0,No Stress,Reaction
280.0,250.0,280.0,1920,-0.08567276426510416,17.766495503169555,-59.97448,71.9904,1.778532,280.0,No Stress,Reaction
290.0,260.0,290.0,1920,-0.31979709419270824,19.093981084368153,-59.73546,91.44827,0.9949874,290.0,No Stress,No Reaction
300.0,270.0,300.0,1920,0.5583754875260417,22.392661960009082,-97.34692,111.9841,0.06568909,300.0,Stress,Reaction
310.0,280.0,310.0,1920,0.10014652467395833,22.836359910497976,-97.34692,111.9841,0.07489014,310.0,No Stress,No Reaction
320.0,290.0,320.0,1920,-0.10035504228958339,22.527773726299632,-97.34692,111.9841,0.3931923,320.0,No Stress,No Reaction
330.0,300.0,330.0,1920,-0.5564228582166667,21.872406595326638,-93.00835,109.2381,0.84890745,330.0,No Stress,No Reaction
340.0,310.0,340.0,1919,0.12453319753517447,23.200194941592457,-66.97699,109.2381,1.261108,340.0,No Stress,No Reaction
350.0,320.0,350.0,1919,0.3629589598540906,23.403908234025355,-60.23518,109.2381,0.8186836,350.0,No Stress,No Reaction
360.0,330.0,360.0,1919,-0.08909765962793166,35.1267394795252,-225.1255,271.5935,-0.1856461,360.0,No Stress,No Reaction
370.0,340.0,370.0,1920,0.1032007088041666,34.40108637305421,-225.1255,271.5935,0.4586563,370.0,No Stress,No Reaction
380.0,350.0,380.0,1920,-0.20089233619583352,34.33180300069426,-225.1255,271.5935,1.046417,380.0,No Stress,No Reaction
390.0,360.0,390.0,1920,-0.10787784599999976,22.35043444579,-59.80753,85.42227,0.9411392,390.0,No Stress,No Reaction
400.0,370.0,400.0,1920,-0.5901925061874997,24.81503582947631,-88.27249,85.42227,-0.16525695,400.0,No Stress,Reaction
410.0,380.0,410.0,1920,-0.10196256405729175,25.49888175360395,-88.27249,85.42227,-0.336586,410.0,No Stress,No Reaction
420.0,390.0,420.0,1920,0.2636788821249997,23.08173686209387,-88.27249,63.55358,2.453842,420.0,No Stress,No Reaction
430.0,400.0,430.0,1920,0.5889140730937501,19.49346810316921,-70.60695,63.55358,2.914471,430.0,No Stress,No Reaction
