label_time_sec,window_start_sec,window_end_sec,n_samples,values_mean,values_std,values_min,values_max,values_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,41,0.09770731658536586,0.0017895174752396408,0.0948014,0.1012069,0.09736361,10.0,No Stress,No Reaction
20.0,-10.0,20.0,81,0.09976764444444444,0.003262294714468636,0.0948014,0.1076124,0.09992581,20.0,No Stress,No Reaction
30.0,0.0,30.0,121,0.10135512975206612,0.003616656957510269,0.0948014,0.1076124,0.1012069,30.0,Stress,No Reaction
40.0,10.0,40.0,121,0.1033244218181818,0.0025284036168199747,0.09736361,0.1076124,0.1037691,40.0,Stress,No Reaction
50.0,20.0,50.0,121,0.10328207107438016,0.0022632117933439936,0.09736361,0.1076124,0.1037691,50.0,No Stress,Reaction
60.0,30.0,60.0,121,0.1020750850413223,0.002851296503436089,0.09736361,0.1178612,0.102488,60.0,No Stress,Reaction
70.0,40.0,70.0,121,0.10109043884297518,0.002594027846323868,0.09736361,0.1178612,0.1012069,70.0,No Stress,No Reaction
80.0,50.0,80.0,121,0.100804573553719,0.0023449890550426367,0.09736361,0.1178612,0.1012069,80.0,No Stress,No Reaction
90.0,60.0,90.0,121,0.10065634710743802,0.0015232546089828157,0.09736361,0.1037691,0.1012069,90.0,No Stress,No Reaction
100.0,70.0,100.0,121,0.10117513942148759,0.0017848450097572874,0.09736361,0.1050502,0.1012069,100.0,No Stress,No Reaction
110.0,80.0,110.0,121,0.10173628239669422,0.002337022146463323,0.09736361,0.1178612,0.1012069,110.0,No Stress,No Reaction
120.0,90.0,120.0,121,0.10219154925619833,0.00213576424806015,0.0986447,0.1178612,0.102488,120.0,No Stress,No Reaction
130.0,100.0,130.0,121,0.1029220932231405,0.0034635271474854484,0.08455261,0.1178612,0.102488,130.0,No Stress,No Reaction
140.0,110.0,140.0,121,0.10343029752066113,0.0031500834836771336,0.08455261,0.115299,0.1037691,140.0,No Stress,Reaction
150.0,120.0,150.0,121,0.10409731586776858,0.002951764775655029,0.08455261,0.115299,0.1037691,150.0,No Stress,No Reaction
160.0,130.0,160.0,121,0.10400202727272725,0.0015426486814890826,0.1012069,0.1076124,0.1037691,160.0,No Stress,Reaction
170.0,140.0,170.0,121,0.10448905702479339,0.0025455587128967207,0.102488,0.1255478,0.1037691,170.0,No Stress,No Reaction
