label_time_sec,window_start_sec,window_end_sec,n_samples,x_mean,x_std,x_min,x_max,x_median,y_mean,y_std,y_min,y_max,y_median,z_mean,z_std,z_min,z_max,z_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,320,-44.703125,17.892818902011726,-90.0,19.0,-50.0,31.18125,19.337254921515786,-9.0,105.0,23.0,19.515625,19.67143289990394,-36.0,61.0,28.0,10.0,Stress,Reaction
20.0,-10.0,20.0,640,-37.3609375,23.807641473840878,-126.0,27.0,-40.5,14.1171875,27.588985660814803,-45.0,105.0,16.0,31.8390625,22.72949120938951,-36.0,97.0,34.0,20.0,Stress,Reaction
30.0,0.0,30.0,960,-41.026041666666664,21.32821981160038,-126.0,27.0,-44.0,19.152083333333334,24.728426854871277,-45.0,105.0,22.0,30.844791666666666,19.656430489842656,-36.0,97.0,32.0,30.0,Stress,No Reaction
40.0,10.0,40.0,960,-40.053125,18.702553193597193,-126.0,27.0,-41.0,18.307291666666668,21.865460952078152,-45.0,65.0,27.0,37.16458333333333,14.146337670298253,-36.0,97.0,38.0,40.0,No Stress,No Reaction
50.0,20.0,50.0,960,-47.032291666666666,8.810364485975516,-97.0,-5.0,-47.0,27.201041666666665,8.619533008160163,-7.0,65.0,27.0,33.05,8.058027299684515,-9.0,61.0,33.0,50.0,Stress,Reaction
60.0,30.0,60.0,960,-47.973958333333336,6.1362993673116515,-74.0,-29.0,-49.0,25.478125,4.7891453371639985,-1.0,40.0,25.0,33.88645833333333,4.62218253481225,20.0,56.0,33.0,60.0,Stress,No Reaction
70.0,40.0,70.0,960,-51.340625,3.902034926051957,-74.0,-30.0,-51.0,24.088541666666668,3.2011914424203645,8.0,38.0,24.0,31.061458333333334,2.7292441589531156,20.0,44.0,31.0,70.0,Stress,Reaction
80.0,50.0,80.0,960,-50.12291666666667,5.78368276018149,-81.0,-14.0,-51.0,24.078125,4.0442212309619645,4.0,41.0,24.0,32.49583333333333,4.504890556877091,20.0,59.0,31.5,80.0,No Stress,No Reaction
90.0,60.0,90.0,960,-50.67395833333333,6.037504349299775,-81.0,-14.0,-51.0,24.960416666666667,4.730758826597039,4.0,41.0,25.0,30.66875,5.75523178588669,14.0,59.0,30.0,90.0,Stress,No Reaction
100.0,70.0,100.0,960,-50.407291666666666,6.0036267244075185,-81.0,-14.0,-50.0,26.740625,5.210122459477596,4.0,41.0,27.0,29.323958333333334,6.19464003220576,14.0,59.0,28.0,100.0,No Stress,No Reaction
110.0,80.0,110.0,960,-51.23645833333333,6.533408485811583,-72.0,-2.0,-52.0,28.361458333333335,3.873868223611042,16.0,38.0,29.0,26.451041666666665,4.776299124284797,14.0,61.0,26.0,110.0,Stress,No Reaction
120.0,90.0,120.0,960,-50.077083333333334,6.909839128472491,-70.0,1.0,-51.0,28.198958333333334,3.134289980071994,13.0,38.0,28.0,28.342708333333334,5.56057259922151,19.0,61.0,27.0,120.0,No Stress,Reaction
130.0,100.0,130.0,960,-49.31041666666667,8.673037567055447,-113.0,1.0,-50.0,21.836458333333333,18.697674961500876,-49.0,38.0,28.0,27.247916666666665,13.07558023855555,-36.0,73.0,29.0,130.0,No Stress,No Reaction
140.0,110.0,140.0,960,-48.41041666666667,7.068434719074947,-113.0,1.0,-48.0,20.51875,18.332340992829373,-49.0,38.0,26.0,30.196875,13.253279470007215,-36.0,73.0,33.0,140.0,No Stress,No Reaction
150.0,120.0,150.0,960,-48.01354166666667,9.757156885504912,-128.0,34.0,-48.0,16.722916666666666,23.03364488068266,-62.0,120.0,25.0,29.202083333333334,17.261431986861705,-47.0,127.0,34.0,150.0,Stress,No Reaction
160.0,130.0,160.0,960,-50.87916666666667,10.637254428967244,-128.0,34.0,-50.0,16.81875,16.97168292705334,-62.0,120.0,22.0,29.70625,15.243424965944756,-48.0,127.0,34.0,160.0,No Stress,No Reaction
170.0,140.0,170.0,960,-52.209375,10.965911519742045,-128.0,34.0,-52.0,13.392708333333333,18.377201412633926,-62.0,120.0,18.0,25.548958333333335,20.104982520937142,-48.0,127.0,32.0,170.0,No Stress,No Reaction
180.0,150.0,180.0,960,-54.003125,8.91197777647731,-115.0,17.0,-54.0,12.63125,15.711404786158873,-67.0,45.0,17.0,24.670833333333334,18.679503785204062,-48.0,71.0,30.0,180.0,Stress,No Reaction
190.0,160.0,190.0,960,-49.8,8.545748810491244,-115.0,-4.0,-50.0,20.625,17.94002870183691,-67.0,51.0,23.0,26.217708333333334,16.925756389661963,-41.0,82.0,31.0,190.0,No Stress,No Reaction
