label_time_sec,window_start_sec,window_end_sec,n_samples,x_mean,x_std,x_min,x_max,x_median,y_mean,y_std,y_min,y_max,y_median,z_mean,z_std,z_min,z_max,z_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,320,-44.475,10.935232523583007,-70.0,-7.0,-50.0,34.6375,2.9889818566168906,18.0,47.0,35.0,25.9,14.346233654262567,6.0,74.0,16.5,10.0,No Stress,Reaction
20.0,-10.0,20.0,640,-41.2609375,8.508067003000331,-70.0,-7.0,-38.0,34.90625,2.4265017614092237,18.0,47.0,35.0,31.5,11.639875341496197,6.0,74.0,37.0,20.0,No Stress,No Reaction
30.0,0.0,30.0,960,-39.98854166666667,7.449578440063179,-70.0,-7.0,-38.0,34.90833333333333,3.6656300869910696,-7.0,59.0,35.0,33.61875,10.126749517356416,6.0,74.0,37.0,30.0,No Stress,No Reaction
40.0,10.0,40.0,960,-36.871875,3.1828595666248076,-57.0,-21.0,-37.0,33.182291666666664,4.492967388305969,-7.0,59.0,35.0,39.58541666666667,3.9370695995410308,12.0,58.0,38.0,40.0,Stress,No Reaction
50.0,20.0,50.0,960,-37.333333333333336,3.2567141416384064,-57.0,-21.0,-38.0,31.623958333333334,4.249179391835231,-7.0,59.0,31.0,40.489583333333336,3.481201690050815,12.0,58.0,40.0,50.0,No Stress,No Reaction
60.0,30.0,60.0,960,-36.51770833333333,3.1674996731966805,-57.0,-23.0,-37.0,29.3375,3.752600766539709,-4.0,42.0,30.0,42.73020833333333,3.4258302325731544,20.0,56.0,42.0,60.0,No Stress,No Reaction
70.0,40.0,70.0,960,-39.05833333333333,3.887459227087308,-48.0,-23.0,-39.0,24.942708333333332,7.213694033163694,-4.0,39.0,30.0,43.088541666666664,3.327998261399224,38.0,56.0,42.0,70.0,No Stress,No Reaction
80.0,50.0,80.0,960,-41.848958333333336,5.894192097134975,-54.0,-23.0,-43.5,22.603125,6.898473529977166,-4.0,39.0,23.0,41.63333333333333,5.871488996658913,26.0,56.0,44.0,80.0,No Stress,Reaction
90.0,60.0,90.0,960,-45.38125,5.353846570175132,-61.0,-19.0,-46.0,22.073958333333334,6.038436925130829,10.0,37.0,23.5,38.61145833333333,6.250595296641063,26.0,52.0,41.0,90.0,Stress,Reaction
100.0,70.0,100.0,960,-43.10208333333333,7.3390975110484185,-61.0,-18.0,-45.0,24.380208333333332,6.850878783231927,9.0,58.0,25.0,38.98229166666667,7.427838384345442,22.0,63.0,37.0,100.0,No Stress,No Reaction
110.0,80.0,110.0,960,-41.348958333333336,6.578799564545364,-61.0,-18.0,-41.0,23.378125,7.196753745140654,8.0,58.0,24.0,41.371875,6.9160194438609235,22.0,63.0,41.0,110.0,No Stress,No Reaction
120.0,90.0,120.0,960,-40.3875,5.090612718713642,-53.0,-18.0,-40.0,22.905208333333334,7.566760495659895,1.0,58.0,22.0,42.719791666666666,6.4090349383356,22.0,68.0,44.0,120.0,No Stress,No Reaction
130.0,100.0,130.0,960,-44.17395833333333,6.790008988426507,-79.0,7.0,-45.0,19.403125,11.45080562916121,-17.0,47.0,23.0,40.21875,6.154430951248126,23.0,68.0,38.0,130.0,Stress,No Reaction
140.0,110.0,140.0,960,-38.509375,15.69083191147096,-107.0,38.0,-42.0,22.957291666666666,19.338789758422646,-54.0,81.0,27.0,36.666666666666664,14.807606383634461,-65.0,93.0,38.0,140.0,No Stress,No Reaction
150.0,120.0,150.0,960,-32.08020833333333,16.42675225775241,-107.0,38.0,-27.0,23.991666666666667,19.61330902368423,-54.0,81.0,29.0,40.30625,15.964309858545263,-65.0,93.0,47.0,150.0,No Stress,No Reaction
160.0,130.0,160.0,960,-26.913541666666667,11.738008277806653,-107.0,38.0,-27.0,28.033333333333335,16.525233756668854,-54.0,81.0,32.0,43.30833333333333,16.308954446371477,-65.0,93.0,49.0,160.0,No Stress,No Reaction
170.0,140.0,170.0,960,-27.911458333333332,6.485523621157959,-66.0,-5.0,-28.0,23.652083333333334,9.396480373697257,-35.0,42.0,20.0,50.17604166666667,5.597300198146266,32.0,75.0,52.0,170.0,Stress,Reaction
180.0,150.0,180.0,960,-29.853125,5.687031386462996,-66.0,-5.0,-30.0,19.96875,8.459993720061664,-35.0,42.0,18.0,51.114583333333336,5.675385985351575,32.0,75.0,53.0,180.0,No Stress,No Reaction
190.0,160.0,190.0,960,-29.816666666666666,5.615572468914657,-66.0,-5.0,-30.0,18.409375,6.170003424436647,-35.0,39.0,18.0,52.25,3.5550196560572034,32.0,75.0,53.0,190.0,No Stress,No Reaction
200.0,170.0,200.0,960,-29.795833333333334,3.26800512399253,-45.0,-17.0,-30.0,21.927083333333332,5.964694163873251,-6.0,35.0,20.0,50.864583333333336,3.0358298041771845,42.0,62.0,52.0,200.0,No Stress,No Reaction
