window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,40,33.79,33.79,0.01281025230440764,33.77,33.81,33.79
10.0,20.0,40,33.818,33.82,0.013435505964154614,33.79,33.83,33.83
20.0,30.0,40,33.85,33.85,0.012810252304409854,33.83,33.87,33.85
30.0,40.0,40,33.876,33.87,0.018229308607502465,33.85,33.91,33.87
40.0,50.0,40,33.914,33.91,0.015157294934902766,33.89,33.93,33.91
50.0,60.0,40,33.940000000000005,33.94,0.01012739367083849,33.93,33.95,33.93
60.0,70.0,40,33.956,33.95,0.012969391975152234,33.93,33.97,33.95
70.0,80.0,40,33.998000000000005,34.0,0.01343550596415336,33.97,34.01,34.01
80.0,90.0,40,34.018,34.01,0.009922778767139475,34.01,34.03,34.01
90.0,100.0,40,34.052,34.05,0.010907536796841776,34.03,34.07,34.05
100.0,110.0,40,34.07,34.07,0.009058216273159204,34.05,34.09,34.07
110.0,120.0,40,34.098,34.09,0.009922778767139323,34.09,34.11,34.09
120.0,130.0,40,34.118,34.120000000000005,0.01343550596415508,34.09,34.13,34.13
130.0,140.0,40,34.132,34.13,0.01910832816151652,34.11,34.17,34.13
140.0,150.0,40,34.152,34.15,0.010907536796835418,34.13,34.17,34.15
150.0,160.0,40,34.162,34.17,0.00992277876713857,34.15,34.17,34.17
160.0,170.0,40,34.178,34.17,0.009922778767135775,34.17,34.19,34.17
170.0,180.0,40,34.186,34.19,0.012152872405005368,34.17,34.21,34.19
180.0,190.0,40,34.2,34.2,0.010127393670834657,34.19,34.21,34.19
190.0,200.0,40,34.212,34.21,0.016824889987067354,34.19,34.25,34.21
200.0,210.0,40,34.218,34.21,0.009922778767134755,34.21,34.23,34.21
210.0,220.0,40,34.232,34.23,0.006076436202503032,34.23,34.25,34.23
220.0,230.0,40,34.242,34.25,0.009922778767140424,34.23,34.25,34.25
230.0,240.0,40,34.254000000000005,34.25,0.012152872405007106,34.23,34.27,34.25
240.0,250.0,40,34.274,34.27,0.01215287240500232,34.25,34.29,34.27
250.0,260.0,40,34.274,34.27,0.012152872405003057,34.25,34.29,34.27
260.0,270.0,40,34.29600000000001,34.29,0.01296939197515223,34.27,34.31,34.29
270.0,280.0,40,34.304,34.31,0.009281909617845209,34.29,34.31,34.31
280.0,290.0,40,34.318,34.32,0.013435505964153417,34.29,34.33,34.33
290.0,300.0,40,34.324,34.33,0.009281909617844444,34.31,34.33,34.33
300.0,310.0,40,34.336,34.33,0.012969391975150079,34.31,34.35,34.33
310.0,320.0,40,34.346000000000004,34.35,0.008101914936671449,34.33,34.35,34.35
320.0,330.0,40,34.362,34.37,0.00992277876713518,34.35,34.37,34.37
330.0,340.0,40,34.376,34.379999999999995,0.015819494627087666,34.35,34.39,34.39
