window_start_sec,window_end_sec,n_samples,x_mean,x_median,x_std,x_min,x_max,x_mode,y_mean,y_median,y_std,y_min,y_max,y_mode,z_mean,z_median,z_std,z_min,z_max,z_mode
0.0,10.0,320,-45.99375,-46.0,0.1118033988749914,-47.0,-45.0,-46.0,28.415625,28.0,0.4936012979919233,28.0,29.0,28.0,34.921875,35.0,0.2687884987370032,34.0,35.0,35.0
10.0,20.0,320,-47.753125,-48.0,0.8592058646612805,-56.0,-42.0,-48.0,26.96875,27.0,1.1659853959521393,11.0,31.0,27.0,33.99375,34.0,0.6383449898125713,29.0,38.0,34.0
20.0,30.0,320,-47.675,-48.0,0.5258222401279473,-49.0,-46.0,-48.0,27.371875,27.0,0.6689412281891176,26.0,31.0,27.0,33.728125,34.0,0.5232730216363279,31.0,35.0,34.0
30.0,40.0,320,-45.4875,-45.0,0.8341271036708782,-48.0,-43.0,-45.0,32.396875,32.0,1.9400068472554721,29.0,38.0,32.0,31.75,32.0,1.9134894842328236,27.0,36.0,33.0
40.0,50.0,320,-44.921875,-45.0,0.7407673624468506,-47.0,-42.0,-45.0,34.25,34.0,1.4362088722622703,32.0,39.0,33.0,30.46875,31.0,1.396017061630565,25.0,33.0,31.0
50.0,60.0,320,-43.29375,-43.0,1.0176922384311495,-46.0,-40.0,-43.0,36.384375,36.0,1.5553748200099515,34.0,43.0,36.0,30.046875,30.0,1.6743471801343404,23.0,33.0,30.0
60.0,70.0,320,-44.171875,-44.0,0.9123789480405498,-48.0,-41.0,-44.0,37.228125,37.0,0.9863438631131332,33.0,43.0,37.0,27.865625,28.0,1.365979243865309,21.0,32.0,28.0
70.0,80.0,320,-43.846875,-44.0,0.6981769251477589,-46.0,-42.0,-44.0,37.746875,38.0,0.8276129420315836,36.0,41.0,38.0,27.5875,28.0,1.0821289825137472,23.0,30.0,28.0
80.0,90.0,320,-43.75625,-44.0,0.7656159034390185,-46.0,-42.0,-44.0,39.190625,39.0,0.9120782617110723,37.0,44.0,39.0,25.4875,26.0,1.433969871537226,19.0,28.0,26.0
90.0,100.0,320,-43.715625,-44.0,0.75766071885131,-46.0,-41.0,-44.0,39.528125,39.0,0.9397973419238598,36.0,45.0,39.0,24.9875,25.0,1.4339698715372264,17.0,28.0,26.0
