window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,40,0.72266747,0.7214825,0.013592355498327834,0.6958621,0.7445409,0.7202015
10.0,20.0,40,0.7163584225,0.7169989,0.004722390813087415,0.7073913,0.7240446,0.7189205
20.0,30.0,40,0.7097291450000001,0.7099533,0.0033440944331646653,0.7022672,0.7163584,0.7099533
30.0,40.0,40,0.7226034025,0.7169989,0.009991163048298607,0.7125154,0.748384,0.7150774
40.0,50.0,40,0.7595289024999999,0.7675993,0.01326592232572024,0.7342927,0.7752855,0.7701614
50.0,60.0,40,0.77128229,0.7701614,0.0026299247374236613,0.7663183,0.7765665,0.7701614
60.0,70.0,40,0.7804416025,0.7804096,0.0053371740526184505,0.7701614,0.7906578,0.7804096
70.0,80.0,40,0.78601404,0.7855337,0.0030794769250969893,0.7804096,0.7932198,0.7893767
80.0,90.0,40,0.8042045800000001,0.804749,0.008194275376114094,0.7893767,0.8188403,0.804749
90.0,100.0,40,0.8205056000000001,0.8246049,0.010464330780346713,0.7804096,0.8316505,0.8278074
100.0,110.0,40,0.826174115,0.8258859000000001,0.0036807428143528346,0.8214023,0.8342125,0.8226833
110.0,120.0,40,0.8263022275,0.8239644,0.010111320610443291,0.8149972,0.8521469,0.8162782
120.0,130.0,40,0.866590375,0.8675191,0.008610403214828104,0.8495848,0.8828914,0.8688002
130.0,140.0,40,0.91533327,0.9226031,0.016763816111543456,0.8688002,0.9341323,0.9238841
140.0,150.0,40,0.9116823500000001,0.9136359,0.0059874006453723245,0.9021067,0.9226031,0.9136359
150.0,160.0,40,0.90063353,0.9033877,0.01708246815111761,0.8418987,0.921322,0.9136359
160.0,170.0,40,0.9296166724999999,0.93157025,0.017100789340980953,0.8841724,0.9661579,0.9366943
170.0,180.0,40,0.96727875,0.9674389,0.0046159387182640585,0.9559097,0.975125,0.9648768
180.0,190.0,40,0.97464463,0.972563,0.006856847425419918,0.9635958,0.9892163,0.9687199
190.0,200.0,40,0.9697454925000001,0.9860137,0.034805475699535626,0.9290773,1.019961,0.9342014
200.0,210.0,40,1.0000780224999999,1.014906,0.05473106740811413,0.9239532,1.066147,0.9406065
210.0,220.0,40,1.0647058,1.064866,0.008645554646086134,1.039245,1.076395,1.064866
220.0,230.0,40,1.07774008,1.0770355,0.0376708766351559,0.9239532,1.181439,1.058461
230.0,240.0,40,1.199853345,1.2000134999999998,0.0558788830519206,0.9585408,1.287764,1.191687
240.0,250.0,40,1.24145485,1.2384445,0.009522490316250248,1.231399,1.267267,1.235242
250.0,260.0,40,1.2450416499999999,1.2422875,0.009280820121668457,1.233961,1.262143,1.233961
260.0,270.0,40,1.28276775,1.286483,0.01353490022648953,1.259581,1.303136,1.285202
270.0,280.0,40,1.2809101,1.281358,0.005577006263358293,1.27111,1.290326,1.278796
280.0,290.0,40,1.307427175,1.317227,0.02579328577699473,1.276234,1.350534,1.280077
290.0,300.0,40,1.2371312025,1.2627834999999998,0.10043349796901195,0.745891,1.323632,1.186563
300.0,310.0,40,1.2567307749999999,1.255738,0.007278223358469256,1.246771,1.281358,1.2583
310.0,320.0,40,1.258908575,1.254457,0.011625486815034492,1.246771,1.285202,1.251895
320.0,330.0,40,1.239117025,1.2384445,0.00390800565235595,1.23268,1.248052,1.237804
330.0,340.0,40,1.224481025,1.2230715,0.009214140435966677,1.20834,1.240366,1.222431
340.0,350.0,40,1.2153217,1.20834,0.015187738492714166,1.19553,1.246771,1.204497
350.0,360.0,40,1.200942225,1.1974515000000001,0.01036430314672959,1.185282,1.224993,1.19553
360.0,370.0,40,1.17692315,1.173753,0.013360133658071717,1.157099,1.207059,1.173753
370.0,380.0,40,1.1726958,1.173753,0.006852217758900092,1.159661,1.187844,1.178877
380.0,390.0,40,1.14284775,1.150694,0.03228804693948928,1.003377,1.15838,1.149413
390.0,400.0,40,1.114825675,1.127636,0.028074879172183435,1.036683,1.137884,1.131479
400.0,410.0,40,1.1264509,1.1334005,0.019034707007504464,1.06999,1.140446,1.128917
410.0,420.0,40,1.15117475,1.126355,0.04705763298707414,1.110982,1.2583,1.122512
420.0,430.0,40,1.3501275424999999,1.3461,0.14559059727955787,0.8958697,1.834859,1.319888
430.0,440.0,40,1.28008045,1.2833795000000001,0.02520716481372204,1.236622,1.323731,1.29683
440.0,450.0,16,1.2239716875,1.225093,0.008181127132767278,1.211001,1.240465,1.225093
