window_start_sec,window_end_sec,n_samples,x_mean,x_median,x_std,x_min,x_max,x_mode,y_mean,y_median,y_std,y_min,y_max,y_mode,z_mean,z_median,z_std,z_min,z_max,z_mode
0.0,10.0,320,-58.4,-59.0,2.2401298663653035,-65,-47,-59,25.09375,25.0,3.2042230656659143,15,34,26,14.871875,14.0,4.274201560665013,8.0,34.0,11.0
10.0,20.0,320,-56.403125,-59.0,8.914606533072478,-84,1,-60,26.88125,26.0,10.224362003074123,-17,68,24,13.4375,12.0,7.192548826437654,2.0,61.0,10.0
20.0,30.0,320,-36.09375,-56.0,33.78064903485871,-95,49,-59,-11.59375,14.0,36.54169206017545,-72,41,20,16.128125,18.0,15.340824596307419,-23.0,55.0,19.0
30.0,40.0,320,-59.540625,-60.0,1.0935431398651305,-65,-56,-60,21.09375,21.0,1.530451098292044,15,25,22,17.6,17.0,1.528004004655913,14.0,21.0,17.0
40.0,50.0,320,-58.503125,-58.0,0.8745744598908728,-62,-56,-58,23.378125,24.0,1.151864884263232,21,27,24,17.809375,18.0,0.7905632193327475,16.0,20.0,18.0
50.0,60.0,320,-58.940625,-59.0,3.1463129015735514,-72,-46,-58,22.05,22.0,4.025467515051333,5,37,24,17.8875,18.0,2.2811411652227855,11.0,25.0,18.0
60.0,70.0,320,-60.44375,-60.0,2.280479724596265,-72,-50,-61,20.803125,21.0,2.8198784267575787,2,32,21,14.9875,15.0,2.4494577481940953,6.0,24.0,15.0
70.0,80.0,320,-59.2125,-59.0,2.3095481244574576,-69,-47,-60,21.69375,21.0,3.1692030484622538,11,37,21,17.65,18.0,2.38253835818296,10.0,26.0,18.0
80.0,90.0,320,-36.275,-35.0,3.728144251652357,-53,-29,-35,50.1,51.0,2.973656541842068,38,63,51,13.9,15.0,3.783647375326489,4.0,21.0,17.0
90.0,100.0,320,-36.84375,-36.0,3.208622542570193,-49,-28,-35,50.36875,51.0,2.319663457916629,43,59,51,12.240625,12.0,1.7060393140446184,4.0,20.0,12.0
100.0,110.0,320,-46.15,-46.0,4.631499076871268,-57,-34,-45,42.375,43.0,4.292225237818146,33,54,43,13.403125,13.0,2.1763885957588576,6.0,19.0,13.0
110.0,120.0,320,-49.384375,-50.0,5.837862009074089,-63,-34,-50,39.553125,38.0,6.394329598856226,21,54,38,10.128125,10.0,3.3470835454449137,-12.0,21.0,9.0
120.0,130.0,320,-41.16875,-44.5,6.944221905176893,-55,-20,-46,47.3625,45.0,5.388932696859867,35,62,52,9.921875,10.0,3.317591978536565,-5.0,25.0,10.0
130.0,140.0,320,-42.54375,-42.0,2.284874278865127,-52,-37,-42,47.234375,47.0,1.7557981644703258,39,56,47,7.965625,8.0,1.6463333202161452,3.0,16.0,8.0
140.0,150.0,320,-43.2625,-42.0,2.5559261766901,-51,-38,-42,46.7,47.0,1.9725387425622654,41,52,48,7.4625,7.0,1.6222879466414664,0.0,16.0,7.0
150.0,160.0,320,-44.303125,-44.0,2.5994916762554996,-60,-26,-44,46.15,46.0,1.6989762729878115,34,56,46,6.9,7.0,1.7835894209628327,-6.0,22.0,7.0
160.0,170.0,320,-45.978125,-46.0,3.0020091887399296,-57,-39,-48,44.61875,45.0,2.420839189711936,36,49,46,6.0,6.0,2.1771109094912253,-3.0,11.0,6.0
170.0,180.0,320,-43.403125,-43.0,3.149860361635991,-63,-31,-44,46.675,47.0,2.698077801778783,29,60,47,7.228125,7.0,2.3992859929283292,0.0,21.0,7.0
180.0,190.0,320,-42.546875,-43.0,1.8512868311081543,-49,-35,-42,46.325,46.0,1.5335332203545626,39,54,46,12.009375,12.0,2.361506794758975,2.0,20.0,14.0
190.0,200.0,320,-43.3375,-41.0,4.6849154316679815,-65,-35,-41,45.040625,47.0,3.8703405093489,26,51,47,12.821875,14.0,2.6122732236472355,2.0,22.0,14.0
200.0,210.0,320,-48.828125,-48.0,4.595058977452803,-69,-35,-48,40.540625,41.0,4.5131198069461345,24,53,42,10.90625,11.0,3.504223828396016,-6.0,29.0,11.0
210.0,220.0,320,-37.490625,-36.0,6.176599554228157,-56,-24,-35,49.090625,51.0,4.941783933791106,33,61,51,13.85,13.0,3.614148442651082,3.0,31.0,12.0
220.0,230.0,320,-37.815625,-36.0,4.429921726701519,-50,-23,-36,47.8375,49.0,2.8568511942489314,39,56,50,17.65,18.0,1.953054034760923,10.0,23.0,18.0
230.0,240.0,320,-42.2,-42.0,2.0596131359050087,-55,-31,-42,44.93125,45.0,1.6076692176811822,36,54,45,17.284375,17.0,1.0639753264516074,13.0,22.0,18.0
240.0,250.0,320,-37.534375,-37.0,4.293912682918293,-53,-25,-42,47.478125,48.0,2.5814911944133816,37,57,45,19.296875,19.0,2.498147824861241,12.0,28.0,17.0
250.0,260.0,320,-38.490625,-38.0,3.5197480829454455,-54,-27,-37,47.775,48.0,2.845994820862498,36,54,49,16.69375,15.0,3.1830209325502854,9.0,25.0,15.0
260.0,270.0,320,-38.7125,-39.0,2.2068218541433677,-59,-32,-39,48.540625,49.0,1.5204683684842402,39,56,49,14.49375,15.0,1.2112165184414612,5.0,18.0,15.0
270.0,280.0,320,-39.065625,-39.0,2.88310497190041,-52,-26,-38,47.934375,48.0,1.8751149390058055,40,60,48,15.39375,15.0,1.705961794013344,8.0,23.0,15.0
280.0,290.0,319,-38.05329153605015,-38.0,2.777998716264931,-45,-29,-39,48.92789968652038,49.0,1.6168741610894295,44,56,50,14.429467084639498,15.0,2.988533121491675,4.0,27.0,17.0
290.0,300.0,320,-39.453125,-39.0,3.219891582415137,-61,-28,-38,49.146875,50.0,1.9168424229988592,41,55,50,10.034375,11.0,2.227374485871982,2.0,15.0,11.0
300.0,310.0,320,-45.5125,-42.0,9.134994204828876,-77,-15,-40,41.65625,45.0,8.467564427592091,15,67,47,13.6375,15.0,7.228459514948373,-12.0,40.0,15.0
310.0,320.0,320,-41.915625,-41.0,1.6896530732185815,-51,-36,-41,43.634375,44.0,2.0435860936738206,31,49,44,20.6,21.0,2.113399555278363,14.0,29.0,20.0
320.0,330.0,320,-44.14375,-44.0,2.742551897246598,-57,-35,-44,42.34375,43.0,2.959595996745141,20,59,43,19.253125,20.0,4.2391284056393514,-3.0,47.0,21.0
330.0,340.0,320,-45.590625,-45.0,2.0854563373027557,-62,-36,-45,41.85625,42.0,1.6734956750152288,30,49,42,17.4375,18.0,2.161757963362923,7.0,30.0,18.0
340.0,350.0,320,-47.43125,-48.0,1.8506014442145948,-59,-41,-48,39.821875,39.0,1.6503508461416614,33,45,39,17.64375,18.0,1.881594984719181,11.0,25.0,18.0
350.0,360.0,320,-46.478125,-46.0,1.7704000176712988,-60,-38,-46,41.065625,41.0,2.023081447277838,32,53,41,17.225,17.0,2.100753708600946,9.0,26.0,17.0
360.0,370.0,320,-41.490625,-41.0,3.1662264928083963,-68,-26,-41,45.38125,46.0,2.29862129865016,29,52,46,16.96875,17.5,4.346903737180463,-12.0,40.0,19.0
370.0,380.0,320,-38.065625,-38.0,3.5892655508275473,-50,-28,-38,49.01875,50.0,3.0150549624065373,37,56,50,13.946875,13.0,4.789649523175879,-2.0,31.0,13.0
380.0,390.0,320,-37.95,-38.0,0.2182862863794172,-38,-37,-38,49.9625,50.0,0.1902810987768456,49,50,50,12.184375,12.0,0.4118993204130565,11.0,13.0,12.0
390.0,400.0,228,-37.95175438596491,-38.0,0.2693547375679178,-39,-37,-38,49.916666666666664,50.0,0.2769935086205377,49,50,50,11.609649122807017,12.0,0.6579194678093756,10.0,13.0,11.0
