window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,40,31.072000000000003,31.07,0.010907536796836375,31.05,31.09,31.07
10.0,20.0,40,31.1,31.09,0.013587324409734555,31.09,31.13,31.09
20.0,30.0,40,31.101999999999997,31.11,0.009922778767135624,31.09,31.11,31.11
30.0,40.0,40,31.118000000000002,31.11,0.009922778767137276,31.11,31.13,31.11
40.0,50.0,40,31.133999999999997,31.13,0.012152872405004221,31.11,31.15,31.13
50.0,60.0,40,31.154000000000003,31.15,0.015157294934900598,31.13,31.17,31.15
60.0,70.0,40,31.162,31.16,0.013435505964154536,31.15,31.19,31.15
70.0,80.0,40,31.166000000000004,31.17,0.008101914936671025,31.15,31.17,31.17
80.0,90.0,40,31.176,31.17,0.009281909617845889,31.17,31.19,31.17
90.0,100.0,40,31.196000000000005,31.19,0.01296939197515089,31.17,31.21,31.19
100.0,110.0,40,31.206,31.21,0.008101914936669322,31.19,31.21,31.21
110.0,120.0,40,31.21,31.21,0.01568929081105459,31.19,31.23,31.21
120.0,130.0,40,31.218,31.21,0.009922778767135987,31.21,31.23,31.21
130.0,140.0,40,31.224,31.23,0.012969391975151423,31.21,31.25,31.23
140.0,150.0,40,31.224,31.23,0.009281909617844674,31.21,31.23,31.23
150.0,160.0,40,31.234,31.23,0.008101914936669691,31.23,31.25,31.23
160.0,170.0,40,31.24,31.240000000000002,0.010127393670836699,31.23,31.25,31.23
170.0,180.0,40,31.246,31.25,0.012152872405003574,31.23,31.27,31.25
180.0,190.0,40,31.252,31.25,0.006076436202501663,31.25,31.27,31.25
190.0,200.0,40,31.254,31.25,0.008101914936669799,31.25,31.27,31.25
200.0,210.0,40,31.256,31.25,0.00928190961784549,31.25,31.27,31.25
210.0,220.0,40,31.274,31.27,0.008101914936670084,31.27,31.29,31.27
220.0,230.0,40,31.27,31.27,0.0,31.27,31.27,31.27
230.0,240.0,40,31.278,31.28,0.01343550596415343,31.25,31.29,31.29
240.0,250.0,40,31.29,31.29,0.012810252304407813,31.27,31.31,31.29
250.0,260.0,40,31.296,31.299999999999997,0.015819494627085595,31.27,31.31,31.31
260.0,270.0,40,31.302,31.31,0.009922778767135782,31.29,31.31,31.31
270.0,280.0,40,31.314,31.31,0.008101914936669482,31.31,31.33,31.31
280.0,290.0,40,31.327999999999996,31.33,0.010907536796837817,31.31,31.35,31.33
290.0,300.0,40,31.338,31.33,0.009922778767136969,31.33,31.35,31.33
300.0,310.0,40,31.344,31.35,0.009281909617848647,31.33,31.35,31.35
310.0,320.0,40,31.352000000000004,31.35,0.006076436202501663,31.35,31.37,31.35
320.0,330.0,40,31.366000000000003,31.37,0.008101914936668826,31.35,31.37,31.37
330.0,340.0,40,31.372000000000003,31.37,0.010907536796837421,31.35,31.39,31.37
340.0,350.0,40,31.389999999999997,31.39,0.012810252304407152,31.37,31.41,31.39
350.0,360.0,40,31.389999999999997,31.39,0.009058216273156271,31.37,31.41,31.39
360.0,370.0,40,31.401999999999997,31.4,0.013435505964153452,31.39,31.43,31.39
370.0,380.0,40,31.4,31.41,0.013587324409734675,31.37,31.41,31.41
380.0,390.0,40,31.4,31.39,0.013587324409735261,31.39,31.43,31.39
390.0,400.0,40,31.392000000000003,31.39,0.010907536796836401,31.37,31.41,31.39
400.0,410.0,40,31.384000000000004,31.39,0.009281909617844607,31.37,31.39,31.39
410.0,420.0,40,31.381999999999998,31.39,0.013435505964154017,31.35,31.39,31.39
420.0,430.0,40,31.381999999999998,31.39,0.009922778767136582,31.37,31.39,31.39
430.0,440.0,40,31.368000000000002,31.37,0.014178351139171076,31.35,31.39,31.37
440.0,450.0,32,31.36,31.36,0.010160010160014771,31.35,31.37,31.35
