window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,639,0.3187209489827856,7.777458,28.694981901123754,-65.4212,43.77758,15.58743
10.0,20.0,639,0.48213763784037555,10.02929,31.83624872098392,-74.43872,52.20464,-74.43872
20.0,30.0,640,-0.46638905890625004,8.5087815,30.766184424499023,-76.48557,49.26303,-76.48557
30.0,40.0,640,-0.8476026559375001,6.6727905,26.76523976579379,-59.73763,47.54922,-59.73763
40.0,50.0,640,0.40782449373437507,7.0527725,25.528402147067986,-54.61997,41.83669,-54.61997
50.0,60.0,640,-0.5694956647031251,3.772481,23.618723095891344,-57.01828,43.70923,-57.01828
60.0,70.0,640,0.755907727675625,4.828408,24.083582499774803,-61.33998,39.69931,-61.33998
70.0,80.0,640,0.45555579707812505,3.8943975,26.171574706315642,-65.81834,57.0137,-65.81834
80.0,90.0,640,0.03485020201562493,3.360134,27.31022643130639,-73.03233,62.23507,-73.03233
90.0,100.0,640,0.26171010034375,4.4755075,29.220656545788874,-97.58345,94.34415,-97.58345
100.0,110.0,640,-0.94784800390625,5.7511790000000005,26.793140683896485,-71.10768,42.76527,-71.10768
110.0,120.0,640,0.10950247515624996,5.397706,33.570171715846264,-105.3413,68.64045,-105.3413
120.0,130.0,639,-0.2092217194522692,4.152786,36.10595713070772,-90.93472,80.04295,-90.93472
130.0,140.0,640,0.09137871403125004,6.5985035,28.242527601204337,-66.43842,52.2041,-66.43842
140.0,150.0,640,0.30869167,7.571286000000001,28.73089581085061,-66.09861,47.1055,-66.09861
150.0,160.0,640,0.4026945317343751,2.3174135,26.43860888065002,-64.75835,62.47823,-64.75835
160.0,170.0,640,0.23993010048437496,5.8925095,26.559614793881963,-60.44409,52.70126,-60.44409
170.0,180.0,640,-1.16571544759375,0.21712494999999998,28.334477481960032,-104.0876,114.5028,-104.0876
180.0,190.0,640,0.27009976912499994,7.4603695000000005,24.688916975340735,-63.2533,43.97026,-63.2533
190.0,200.0,640,-0.32793106796875,4.723204,24.09200643280493,-49.98524,52.02637,-49.98524
200.0,210.0,640,0.7648609895937499,8.347431499999999,24.278723537466888,-55.50539,37.55655,-55.50539
210.0,220.0,640,0.17460846195312507,2.924845,25.690399851892977,-63.3537,50.85382,-63.3537
220.0,230.0,640,-0.1677262679062499,5.314602,28.439866734551646,-59.01743,99.95522,-59.01743
230.0,240.0,640,-0.70966231209375,6.5177805,28.522297496638302,-71.27483,55.73028,-71.27483
240.0,250.0,640,0.5076146382359374,2.42441,25.486146209097,-56.35984,65.78548,-56.35984
250.0,260.0,640,0.38254735578125004,6.2053185,24.459191151786776,-56.96336,50.60242,-56.96336
260.0,270.0,640,-0.472813160296875,5.206673,25.422095109345378,-57.05817,81.37051,-57.05817
270.0,280.0,640,0.7016253637968751,4.6923505,28.678231734890165,-83.51619,78.44437,-83.51619
280.0,290.0,640,-0.23867662895312503,4.6125335,24.852747473524786,-57.80402,46.55112,-57.80402
290.0,300.0,640,-0.41851681062500007,6.1462065,24.810601766068373,-63.79863,48.68674,-63.79863
300.0,310.0,640,-0.3864006870156249,4.178905500000001,27.192080672849684,-61.53165,60.25865,-61.53165
310.0,320.0,640,-0.06895834464062502,4.1211895,27.727811508613787,-71.40137,47.76793,-71.40137
320.0,330.0,640,1.028418745375,3.1470745,31.125411768078155,-75.28589,71.1973,-75.28589
330.0,340.0,639,0.08934409145539901,5.379333,29.567164960747323,-80.5094,62.34065,-80.5094
340.0,350.0,640,-0.3208294220421876,4.9044725,28.388416006737447,-78.10521,88.74413,-78.10521
350.0,360.0,640,-0.1080414393593748,2.6887435,36.62130127118624,-121.6363,75.08617,-121.6363
360.0,370.0,640,1.4027948330468747,4.7135865,32.633687171622874,-91.56686,69.68355,-91.56686
370.0,380.0,640,-1.8759608082812502,3.5931705000000003,37.44189325908116,-123.4075,108.8538,-123.4075
380.0,390.0,640,-0.5004924981250001,2.7642889999999998,38.5621827228855,-105.8879,111.124,-105.8879
390.0,400.0,640,-0.2520194156250001,1.9059865,29.67465992310713,-67.05151,99.57551,-67.05151
400.0,410.0,640,-0.09121787457812505,5.639881,28.66738475428613,-70.36206,60.93996,-70.36206
410.0,420.0,640,0.9309185940781252,5.996424,28.225398748269008,-76.68211,62.42459,-76.68211
420.0,430.0,640,0.3478209896874999,5.737121500000001,29.310487615274635,-68.55299,62.37565,-68.55299
430.0,440.0,640,-0.40485272453125,6.182377,29.932793827547822,-64.40572,47.68237,-64.40572
440.0,450.0,523,0.053507949388145404,6.438271,30.285420524944676,-72.25813,49.59401,-72.25813
