window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,40,34.046,34.05,0.01215287240500381,34.03,34.07,34.05
10.0,20.0,40,34.052,34.05,0.010907536796841238,34.03,34.07,34.05
20.0,30.0,40,34.056,34.05,0.009281909617846253,34.05,34.07,34.05
30.0,40.0,40,34.062,34.07,0.00992277876714101,34.05,34.07,34.07
40.0,50.0,40,34.07,34.07,0.01281025230440981,34.05,34.09,34.07
50.0,60.0,40,34.076,34.07,0.012969391975152391,34.05,34.09,34.07
60.0,70.0,40,34.08200000000001,34.09,0.009922778767140424,34.07,34.09,34.09
70.0,80.0,40,34.1,34.11,0.013587324409730095,34.07,34.11,34.11
80.0,90.0,40,34.108000000000004,34.11,0.014178351139167735,34.09,34.13,34.11
90.0,100.0,40,34.108,34.11,0.01090753679684134,34.09,34.13,34.11
100.0,110.0,40,34.126,34.13,0.017657714229053094,34.09,34.15,34.13
110.0,120.0,40,34.134,34.13,0.015157294934898445,34.11,34.17,34.13
120.0,130.0,40,34.146,34.15,0.012152872404998958,34.13,34.17,34.15
130.0,140.0,40,34.156,34.15,0.015819494627087507,34.13,34.19,34.15
140.0,150.0,40,34.17,34.17,0.01281025230440902,34.15,34.19,34.17
150.0,160.0,40,34.182,34.19,0.009922778767132705,34.17,34.19,34.19
160.0,170.0,40,34.184,34.19,0.012969391975149921,34.17,34.21,34.19
170.0,180.0,40,34.198,34.19,0.00992277876714318,34.19,34.21,34.19
180.0,190.0,40,34.2,34.2,0.010127393670838505,34.19,34.21,34.19
190.0,200.0,40,34.198,34.19,0.009922778767136825,34.19,34.21,34.19
200.0,210.0,40,34.221999999999994,34.22,0.01343550596415442,34.21,34.25,34.21
210.0,220.0,40,34.227999999999994,34.23,0.014178351139171347,34.21,34.25,34.23
220.0,230.0,40,34.233999999999995,34.23,0.008101914936670585,34.23,34.25,34.23
230.0,240.0,40,34.251999999999995,34.25,0.010907536796836571,34.23,34.27,34.25
240.0,250.0,40,34.262,34.260000000000005,0.01343550596415472,34.25,34.29,34.25
250.0,260.0,40,34.266000000000005,34.27,0.01215287240500072,34.25,34.29,34.27
260.0,270.0,40,34.282,34.29,0.016203829873339865,34.25,34.31,34.29
270.0,280.0,40,34.292,34.29,0.010907536796835187,34.27,34.31,34.29
280.0,290.0,40,34.3,34.3,0.01012739367083901,34.29,34.31,34.29
290.0,300.0,40,34.304,34.31,0.009281909617845247,34.29,34.31,34.31
300.0,310.0,40,34.298,34.29,0.016203829873338835,34.27,34.33,34.29
310.0,320.0,40,34.296,34.29,0.009281909617846976,34.29,34.31,34.29
320.0,330.0,40,34.304,34.31,0.009281909617847445,34.29,34.31,34.31
330.0,340.0,40,34.30800000000001,34.31,0.010907536796839075,34.29,34.33,34.31
340.0,350.0,40,34.324,34.33,0.012969391975151295,34.31,34.35,34.33
350.0,360.0,40,34.324,34.33,0.009281909617846449,34.31,34.33,34.33
360.0,370.0,40,34.326,34.33,0.012152872405003146,34.31,34.35,34.33
370.0,380.0,40,34.326,34.33,0.008101914936667405,34.31,34.33,34.33
380.0,390.0,40,34.327999999999996,34.33,0.010907536796838651,34.31,34.35,34.33
390.0,400.0,40,34.336,34.33,0.012969391975149689,34.31,34.35,34.33
400.0,410.0,40,34.346000000000004,34.35,0.00810191493667141,34.33,34.35,34.35
410.0,420.0,40,34.344,34.35,0.00928190961784604,34.33,34.35,34.35
420.0,430.0,40,34.346,34.35,0.015157294934900832,34.33,34.37,34.33
430.0,440.0,40,34.348,34.35,0.0060764362025033025,34.33,34.35,34.35
440.0,450.0,40,34.352,34.35,0.01417835113917028,34.33,34.37,34.35
