window_start_sec,window_end_sec,n_samples,x_mean,x_median,x_std,x_min,x_max,x_mode,y_mean,y_median,y_std,y_min,y_max,y_mode,z_mean,z_median,z_std,z_min,z_max,z_mode
0.0,10.0,320,-35.9625,-38.0,11.93445395577739,-77,30,-39,-16.353125,-17.0,3.721115245153204,-30,7,-17,49.05625,49.0,10.682506647592692,0.0,96.0,49.0
10.0,20.0,320,-3.275,2.0,10.096059009510146,-43,5,2,-1.6375,-1.0,3.496505196527196,-20,4,-1,61.809375,63.0,2.7766219948337163,43.0,65.0,63.0
20.0,30.0,320,2.384375,2.0,1.4116864178420598,-1,9,2,-0.021875,0.0,1.3068985936824933,-3,3,-1,62.56875,63.0,0.4960265312956714,62.0,63.0,63.0
30.0,40.0,320,0.0375,0.0,2.2863572483504493,-5,8,-1,-2.134375,-2.0,1.556885681441759,-6,1,-3,62.69375,63.0,0.4683978562335,62.0,64.0,63.0
40.0,50.0,320,-1.434375,-1.0,2.1412663430139043,-8,4,0,-3.078125,-3.0,1.790822016644257,-8,1,-3,62.628125,63.0,0.49049547913005387,61.0,63.0,63.0
50.0,60.0,320,-2.875,-3.0,1.1916638351165842,-7,1,-3,-2.2875,-3.0,1.133073607217571,-4,1,-3,62.646875,63.0,0.47868967899614223,62.0,63.0,63.0
60.0,70.0,320,-3.2625,-3.0,1.4119396827455484,-7,1,-3,-2.21875,-2.0,1.2946568516932833,-6,2,-3,62.634375,63.0,0.4823592587952004,62.0,63.0,63.0
70.0,80.0,320,-4.1875,-4.0,1.1236276896521273,-8,0,-5,-2.45,-2.0,0.7782304499496536,-5,-1,-2,62.559375,63.0,0.49723963745189625,62.0,63.0,63.0
80.0,90.0,320,-2.809375,-3.0,1.7414114145524444,-9,2,-2,-2.31875,-3.0,1.0496864735672118,-4,1,-3,62.653125,63.0,0.5085379960405366,62.0,64.0,63.0
90.0,100.0,180,-2.1222222222222222,-2.0,1.0552108293964197,-7,1,-2,-1.8944444444444444,-2.0,0.5837388853604087,-4,0,-2,62.766666666666666,63.0,0.44970505542133987,61.0,64.0,63.0
