window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,40,32.092,32.09,0.010907536796836748,32.07,32.11,32.09
10.0,20.0,40,32.112,32.11,0.010907536796837296,32.09,32.13,32.11
20.0,30.0,40,32.136,32.13,0.012969391975148301,32.11,32.15,32.13
30.0,40.0,40,32.152,32.15,0.010907536796837964,32.13,32.17,32.15
40.0,50.0,40,32.17,32.17,0.012810252304406078,32.15,32.19,32.17
50.0,60.0,40,32.182,32.18,0.0134355059641538,32.17,32.21,32.17
60.0,70.0,40,32.204,32.21,0.009281909617845219,32.19,32.21,32.21
70.0,80.0,40,32.214,32.21,0.015157294934901231,32.19,32.25,32.21
80.0,90.0,40,32.227999999999994,32.23,0.00607643620250163,32.21,32.23,32.23
90.0,100.0,40,32.245999999999995,32.25,0.012152872405011228,32.23,32.27,32.25
100.0,110.0,40,32.262,32.260000000000005,0.018563819235688752,32.23,32.29,32.25
110.0,120.0,40,32.28,32.27,0.013587324409732881,32.27,32.31,32.27
120.0,130.0,40,32.294,32.29,0.012152872405003474,32.27,32.31,32.29
130.0,140.0,40,32.306,32.31,0.015157294934907388,32.29,32.33,32.29
140.0,150.0,40,32.322,32.31,0.016203829873341173,32.31,32.35,32.31
150.0,160.0,40,32.332,32.33,0.014178351139170573,32.31,32.35,32.33
160.0,170.0,40,32.354,32.35,0.012152872405000946,32.33,32.37,32.35
170.0,180.0,40,32.362,32.37,0.00992277876713542,32.35,32.37,32.37
180.0,190.0,40,32.374,32.37,0.012152872405004496,32.35,32.39,32.37
190.0,200.0,40,32.39,32.39,0.012810252304405563,32.37,32.41,32.39
200.0,210.0,40,32.386,32.39,0.012152872405004324,32.37,32.41,32.39
210.0,220.0,40,32.408,32.41,0.010907536796836474,32.39,32.43,32.41
220.0,230.0,40,32.424,32.43,0.012969391975155365,32.41,32.45,32.43
230.0,240.0,40,32.43,32.43,0.01568929081105802,32.41,32.45,32.43
240.0,250.0,40,32.444,32.45,0.012969391975153552,32.43,32.47,32.45
250.0,260.0,40,32.46,32.47,0.013587324409738038,32.43,32.47,32.47
260.0,270.0,40,32.476,32.47,0.009281909617848583,32.47,32.49,32.47
270.0,280.0,40,32.486000000000004,32.49,0.008101914936671208,32.47,32.49,32.49
280.0,290.0,40,32.506,32.51,0.012152872405004178,32.49,32.53,32.51
290.0,300.0,40,32.516,32.51,0.01822930860750543,32.49,32.55,32.51
300.0,310.0,40,32.534,32.53,0.015157294934904166,32.51,32.55,32.53
310.0,320.0,40,32.538,32.53,0.016203829873334154,32.51,32.57,32.53
320.0,330.0,40,32.55,32.55,0.015689290811060668,32.53,32.57,32.55
330.0,340.0,40,32.562,32.57,0.009922778767140353,32.55,32.57,32.57
340.0,350.0,40,32.57,32.57,0.01568929081105817,32.55,32.59,32.57
350.0,360.0,40,32.584,32.59,0.012969391975153868,32.57,32.61,32.59
360.0,370.0,40,32.592,32.59,0.01682488998706911,32.57,32.63,32.59
370.0,380.0,40,32.596000000000004,32.59,0.015819494627086806,32.57,32.63,32.59
380.0,390.0,40,32.618,32.61,0.0099227787671397,32.61,32.63,32.61
390.0,400.0,40,32.63,32.63,0.009058216273157312,32.61,32.65,32.63
400.0,410.0,40,32.63,32.63,0.009058216273157668,32.61,32.65,32.63
410.0,420.0,40,32.646,32.65,0.01215287240500766,32.63,32.67,32.65
420.0,430.0,40,32.654,32.65,0.012152872405005625,32.63,32.67,32.65
430.0,440.0,40,32.668,32.67,0.014178351139171243,32.65,32.69,32.67
440.0,450.0,40,32.676,32.67,0.01581949462708224,32.65,32.71,32.67
