window_start_sec,window_end_sec,n_samples,x_mean,x_median,x_std,x_min,x_max,x_mode,y_mean,y_median,y_std,y_min,y_max,y_mode,z_mean,z_median,z_std,z_min,z_max,z_mode
0.0,10.0,320,61.9875,62.0,0.1766103693743197,61,63,62,-21.11875,-21.0,0.517673539421259,-22,-20,-21,-3.390625,-4.0,0.7556928664900506,-5.0,-2.0,-4.0
10.0,20.0,320,61.9,62.0,0.30046985150168415,61,62,62,-21.284375,-21.0,0.5794870583401259,-22,-19,-21,-3.95,-4.0,0.5045249791095132,-7.0,-3.0,-4.0
20.0,30.0,320,61.58125,62.0,0.4941269492815254,61,62,62,-21.328125,-21.0,0.5779297041567492,-22,-19,-21,-6.321875,-6.0,0.6989622289452857,-9.0,-5.0,-6.0
30.0,40.0,320,61.853125,62.0,0.49479065266904226,61,63,62,-18.496875,-18.0,1.2060413169983872,-22,-16,-18,-9.978125,-10.0,1.5280520874034957,-12.0,-6.0,-11.0
40.0,50.0,320,62.30625,62.0,0.6284466095587062,60,63,62,-17.85625,-18.0,1.1601906393990593,-23,-16,-18,-8.61875,-9.0,1.4786754854336939,-12.0,-6.0,-7.0
50.0,60.0,320,61.634375,62.0,0.4823592587952068,61,62,62,-19.484375,-19.0,0.7383831251446928,-21,-18,-19,-9.946875,-10.0,1.1825492825428612,-12.0,-8.0,-11.0
60.0,70.0,320,62.096875,62.0,0.3713774875305618,61,63,62,-18.684375,-19.0,0.6362159759272631,-20,-16,-19,-8.415625,-9.0,1.2566087055529553,-12.0,-4.0,-9.0
70.0,80.0,320,62.059375,62.0,0.35353953634883833,60,63,62,-18.13125,-18.0,0.5990784458867013,-20,-17,-18,-9.428125,-9.0,0.9989757685784454,-11.0,-7.0,-9.0
80.0,90.0,320,61.984375,62.0,0.2905074740458321,61,63,62,-18.28125,-18.0,0.5618138448260634,-19,-17,-18,-10.559375,-11.0,1.1458961462787227,-13.0,-8.0,-11.0
90.0,100.0,320,61.85625,62.0,0.4386767649137973,61,63,62,-18.54375,-19.0,0.7329835538960808,-20,-17,-19,-10.24375,-10.0,1.2656388476931202,-13.0,-7.0,-11.0
100.0,110.0,320,61.984375,62.0,0.45112841800287806,61,63,62,-18.6,-19.0,0.7055534300343451,-20,-17,-19,-10.14375,-10.0,1.5469532195004745,-13.0,-7.0,-11.0
110.0,120.0,320,61.690625,62.0,0.49566103229341196,61,63,62,-18.925,-19.0,0.7721646485783383,-21,-17,-19,-10.70625,-11.0,1.3395216242443342,-14.0,-8.0,-11.0
120.0,130.0,320,61.865625,62.0,0.655867835432461,61,63,62,-18.103125,-18.0,1.0071793616122617,-21,-15,-18,-10.675,-11.0,2.307273493062068,-16.0,-6.0,-11.0
130.0,140.0,320,62.115625,62.0,0.46414337788565213,61,64,62,-17.29375,-18.0,1.5459396712306228,-19,-11,-18,-11.2625,-11.0,1.133626798319597,-14.0,-8.0,-12.0
140.0,150.0,320,61.796875,62.0,0.5593235810678522,61,64,62,-18.196875,-18.0,0.8684596586390076,-20,-15,-18,-11.159375,-11.0,1.604140288700063,-14.0,-5.0,-11.0
150.0,160.0,320,62.275,62.0,0.6898275646605547,61,64,62,-17.5875,-18.0,1.422556751626714,-21,-13,-18,-8.871875,-10.0,3.2501492008192803,-13.0,-2.0,-10.0
160.0,170.0,320,62.06875,62.0,0.5023065918597003,61,63,62,-16.753125,-17.0,0.8808247684569698,-20,-15,-17,-11.89375,-12.0,1.5439105785660465,-15.0,-9.0,-12.0
170.0,180.0,320,62.45,62.0,0.70199000609129,61,65,62,-15.65625,-16.0,1.2646477200388184,-18,-12,-16,-10.771875,-11.0,2.8164022910805513,-16.0,-2.0,-11.0
180.0,190.0,320,62.08125,62.0,0.506656320358534,61,63,62,-17.0875,-17.0,0.9882538985630528,-20,-15,-17,-11.475,-11.0,1.4206272622267302,-15.0,-9.0,-11.0
190.0,200.0,320,62.428125,62.0,0.8158824578044125,61,65,62,-15.725,-16.0,1.7054219272201414,-18,-9,-16,-11.046875,-12.0,2.855065824472174,-14.0,-4.0,-13.0
200.0,210.0,320,62.415625,62.0,0.5362176691556649,61,64,62,-15.959375,-16.0,1.2600341775232327,-18,-13,-17,-11.096875,-11.0,1.4855594082654162,-14.0,-8.0,-12.0
210.0,220.0,320,62.190625,62.0,0.7329501409310981,61,64,62,-17.0625,-17.0,1.5784103745049407,-20,-12,-18,-10.65625,-11.0,2.2744233483232876,-16.0,-6.0,-11.0
220.0,230.0,320,62.14375,62.0,0.5233946945371064,61,63,62,-16.834375,-17.0,0.8891929964597006,-19,-15,-17,-11.571875,-12.0,2.000271827138787,-15.0,-8.0,-12.0
230.0,240.0,320,62.50625,63.0,0.6856969088334134,61,64,63,-17.840625,-18.0,1.2149433659414461,-20,-15,-19,-5.759375,-3.0,4.608997563713802,-14.0,-1.0,-2.0
240.0,250.0,320,62.08125,62.0,0.41100648691767,61,63,62,-20.309375,-21.0,1.1090563005289424,-22,-18,-21,-3.8375,-4.0,1.4573884832887118,-8.0,-2.0,-4.0
250.0,260.0,320,61.603125,62.0,0.5834630024561176,61,63,62,-21.325,-21.0,1.174707326986277,-23,-18,-21,-5.1,-5.0,1.0456657821214606,-7.0,-2.0,-5.0
260.0,270.0,92,61.72826086956522,62.0,0.44729371498264114,61,62,62,-21.554347826086957,-21.0,0.6690017236591828,-23,-21,-21,-3.369565217391304,-3.0,0.6747794316769282,-5.0,-3.0,-3.0
