window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,40,1.6045710499999999,1.607133,0.012688824345836257,1.581511,1.623788,1.587917
10.0,20.0,40,1.625933375,1.6244285,0.010089024934939001,1.599447,1.645566,1.61482
20.0,30.0,40,1.7190373749999999,1.741649,0.06993173432481342,1.602009,1.800579,1.612258
30.0,40.0,40,1.7709539500000002,1.769833,0.02006854844437178,1.730119,1.800579,1.760865
40.0,50.0,40,1.72880565,1.726276,0.03633755404222748,1.660939,1.795455,1.726276
50.0,60.0,40,1.6391288249999998,1.6462065,0.01595745870919824,1.610977,1.662221,1.64941
60.0,70.0,40,2.0124187,1.922284,0.2607080456783914,1.625069,2.428318,1.922284
70.0,80.0,40,2.042463175,2.0240795,0.08426005086722939,1.948495,2.295672,2.033047
80.0,90.0,40,2.26554325,2.3098165,0.2699468067106357,1.927408,2.64285,2.635164
90.0,100.0,40,2.1967075,2.175249,0.11179349610433868,2.063793,2.434031,2.08301
100.0,110.0,40,2.169772425,2.1489865,0.08200324546419434,2.070199,2.348198,2.216244
110.0,120.0,40,2.405302575,2.4039255,0.10397545150779872,2.246991,2.581358,2.246991
120.0,130.0,40,2.555893275,2.5508625,0.2933932838218062,2.221369,3.028072,2.221369
130.0,140.0,40,2.637376625,2.651178,0.1363897414394962,2.423393,2.884978,2.659505
140.0,150.0,40,2.4058151,2.3597275,0.22896677320663025,2.135535,2.826048,2.302078
150.0,160.0,40,2.418465825,2.441718,0.06380724962021761,2.290548,2.496805,2.303359
160.0,170.0,40,2.516277875,2.4590125,0.11652795642296408,2.400723,2.763274,2.431469
170.0,180.0,40,2.69097965,2.6005745,0.19572897529708985,2.509616,3.098532,2.518584
180.0,190.0,40,2.693833,2.592498,0.20465476455165263,2.546378,3.120311,2.557908
190.0,200.0,40,2.8255940500000003,2.8025985,0.23815848488574665,2.5246,3.240734,2.552784
200.0,210.0,40,2.635446925,2.554065,0.1798065596910113,2.477199,3.007574,2.477199
210.0,220.0,40,2.8902575500000003,2.7724925000000002,0.2291255949523182,2.650147,3.376531,2.744949
220.0,230.0,40,3.047204925,2.97261,0.18381896173630913,2.873059,3.459053,2.903805
230.0,240.0,40,2.976424825,2.9685005,0.08168031601149575,2.860248,3.124154,2.8974
240.0,250.0,40,2.836611575,2.830783,0.03535662059852566,2.78082,2.929427,2.830783
250.0,260.0,40,3.11178025,3.1564474999999996,0.2680969421274507,2.775695,3.509016,2.791069
260.0,270.0,11,3.0297681818181816,3.01323,0.03969950462113637,2.994014,3.109313,2.994014
