window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,40,31.458,31.46,0.013435505964154234,31.43,31.47,31.47
10.0,20.0,40,31.471999999999998,31.47,0.010907536796837407,31.45,31.49,31.47
20.0,30.0,40,31.49,31.49,0.009058216273158648,31.47,31.51,31.49
30.0,40.0,40,31.498,31.49,0.009922778767138589,31.49,31.51,31.49
40.0,50.0,40,31.51,31.51,0.009058216273158528,31.49,31.53,31.51
50.0,60.0,40,31.53,31.53,0.015689290811053302,31.51,31.55,31.53
60.0,70.0,40,31.542,31.55,0.009922778767136653,31.53,31.55,31.55
70.0,80.0,40,31.57,31.57,0.018116432546312303,31.55,31.59,31.55
80.0,90.0,40,31.580000000000002,31.58,0.016329931618555702,31.55,31.61,31.57
90.0,100.0,40,31.595999999999997,31.59,0.012969391975152001,31.57,31.61,31.59
100.0,110.0,40,31.6,31.6,0.010127393670835594,31.59,31.61,31.59
110.0,120.0,40,31.621999999999996,31.619999999999997,0.01343550596415354,31.61,31.65,31.61
120.0,130.0,40,31.625999999999998,31.63,0.008101914936669827,31.61,31.63,31.63
130.0,140.0,40,31.644,31.65,0.009281909617845122,31.63,31.65,31.65
140.0,150.0,40,31.666000000000004,31.67,0.015157294934902713,31.65,31.69,31.65
150.0,160.0,40,31.68,31.68,0.01632993161855377,31.65,31.71,31.67
160.0,170.0,40,31.701999999999998,31.71,0.009922778767133635,31.69,31.71,31.71
170.0,180.0,40,31.71,31.71,0.009058216273158446,31.69,31.73,31.71
180.0,190.0,40,31.722,31.73,0.009922778767135954,31.71,31.73,31.73
190.0,200.0,40,31.742,31.740000000000002,0.013435505964154581,31.73,31.77,31.73
200.0,210.0,40,31.762,31.759999999999998,0.018563819235690667,31.73,31.79,31.75
210.0,220.0,40,31.776,31.77,0.009281909617845112,31.77,31.79,31.77
220.0,230.0,40,31.794,31.79,0.012152872405004194,31.77,31.81,31.79
230.0,240.0,40,31.806,31.81,0.012152872405003666,31.79,31.83,31.81
240.0,250.0,40,31.827999999999996,31.83,0.014178351139172993,31.81,31.85,31.83
250.0,260.0,40,31.842000000000002,31.85,0.009922778767137097,31.83,31.85,31.85
260.0,270.0,16,31.865000000000002,31.87,0.008944271909999949,31.85,31.87,31.87
