window_start_sec,window_end_sec,n_samples,x_mean,x_median,x_std,x_min,x_max,x_mode,y_mean,y_median,y_std,y_min,y_max,y_mode,z_mean,z_median,z_std,z_min,z_max,z_mode
0.0,10.0,320,-15.25625,-16.0,2.3734341480589696,-19,-7,-17,-21.55625,-22.0,1.837426560066104,-25,-16,-22,57.5375,57.0,1.1549946056951763,55.0,60.0,57.0
10.0,20.0,320,-18.371875,-17.0,2.496861274194171,-25,-12,-17,-24.059375,-24.0,0.8956038137606229,-29,-22,-24,55.925,56.0,1.0174034194302384,53.0,57.0,56.0
20.0,30.0,320,-16.734375,-16.0,4.10688766025058,-27,-9,-15,-18.309375,-22.0,8.942935054133246,-29,4,-24,57.484375,57.0,1.7274493083308284,53.0,63.0,57.0
30.0,40.0,320,-23.265625,-23.0,3.090293163092431,-35,-15,-26,1.040625,1.0,2.3518630479341796,-6,8,1,58.69375,59.0,1.182404303655939,52.0,62.0,58.0
40.0,50.0,320,-24.2875,-23.0,4.342525015583883,-37,-16,-23,0.975,1.0,1.7650383852957412,-4,6,2,58.25625,59.0,1.680598769994,51.0,63.0,59.0
50.0,60.0,320,-21.065625,-21.0,3.00345771217777,-28,-16,-18,1.675,2.0,1.5416882005895325,-4,6,2,59.38125,59.5,1.0496864735672164,56.0,61.0,60.0
60.0,70.0,320,-19.48125,-20.0,3.6935457983167472,-26,-13,-24,2.6875,2.0,2.713457695372603,-2,9,0,59.778125,60.0,1.009743868637384,58.0,62.0,60.0
70.0,80.0,320,-20.33125,-20.0,2.585762501004056,-26,-10,-20,1.9125,2.0,2.2025562236854013,-4,9,3,59.659375,60.0,0.7875836523217025,57.0,62.0,60.0
80.0,90.0,320,-22.50625,-23.0,2.2198784880185234,-30,-16,-22,2.259375,2.0,1.433447162620611,-1,6,1,58.965625,59.0,0.900403732154486,56.0,61.0,59.0
90.0,100.0,320,-19.334375,-19.0,2.2943448775037965,-26,-14,-19,0.39375,0.0,1.8163205598614878,-5,5,-1,60.0625,60.0,0.8128088995637497,57.0,62.0,60.0
100.0,110.0,320,-18.340625,-22.0,11.342470452762342,-85,68,-23,-0.953125,1.0,11.703802248370634,-82,39,-2,58.54375,59.0,9.465228810035832,1.0,124.0,59.0
110.0,120.0,320,-13.60625,-13.0,3.9105946841495958,-27,-4,-13,7.01875,6.0,3.6594394195291393,-1,21,6,60.746875,61.0,1.0718642754931094,57.0,65.0,61.0
120.0,130.0,320,-13.653125,-16.0,5.475650538926988,-21,6,-17,5.43125,4.0,5.1814981614869025,-2,17,0,60.7125,61.0,1.0675463326777899,57.0,66.0,61.0
130.0,140.0,320,-16.009375,-17.0,5.25493405254069,-27,-5,-18,1.646875,1.0,3.4117154213075067,-6,11,-1,60.621875,61.0,1.212845142035043,56.0,65.0,61.0
140.0,150.0,320,-16.10625,-15.0,3.9852343063475,-29,-7,-14,0.0625,0.0,2.5905240873271085,-5,7,-1,60.796875,61.0,1.1334150617467296,56.0,64.0,61.0
150.0,160.0,320,-14.878125,-15.0,2.8274554479858427,-22,-8,-17,-1.175,-1.0,1.8571221880416524,-6,3,-1,61.18125,61.0,0.7289093067244173,59.0,63.0,61.0
160.0,170.0,320,-19.809375,-20.0,2.3471264863544747,-33,-13,-22,-2.16875,-2.0,2.4436518101560623,-8,6,-2,59.921875,60.0,0.847357824140228,56.0,62.0,60.0
170.0,180.0,320,-18.340625,-18.0,3.0584032319420555,-28,-12,-17,-0.428125,-1.0,1.5600286097770404,-4,4,-1,60.334375,61.0,1.0552479317639878,56.0,63.0,61.0
180.0,190.0,320,-17.903125,-18.0,3.8555406839400943,-28,-7,-15,-1.26875,-2.0,1.8811784307718538,-7,4,-2,60.36875,61.0,1.2247288740970557,56.0,64.0,61.0
190.0,200.0,320,-16.85625,-16.0,3.063276003661466,-25,-11,-15,-2.7625,-2.0,2.0903945121198877,-8,2,-1,60.675,61.0,1.0081175231285626,58.0,63.0,61.0
200.0,210.0,320,-14.3,-13.5,3.8225531030589153,-24,-4,-12,-1.025,-1.0,2.5887385727645653,-9,5,-1,61.25625,61.0,0.8940547275191637,58.0,63.0,62.0
210.0,220.0,320,-13.44375,-14.0,3.574109047845829,-20,-5,-17,-0.59375,-1.0,2.4706347464076392,-6,5,-1,61.415625,61.0,0.6850894617003734,60.0,64.0,61.0
220.0,230.0,320,-9.309375,-8.0,4.121345868907373,-17,-3,-7,-0.121875,1.0,3.00482729436577,-6,4,-4,61.815625,62.0,0.5821855778202941,61.0,63.0,62.0
230.0,240.0,320,-13.6,-14.0,3.1117131327758414,-22,-8,-9,-2.71875,-3.0,2.3439961991902174,-9,4,-4,61.3625,61.0,0.7757087971210825,58.0,64.0,61.0
240.0,250.0,264,-11.113636363636363,-11.0,2.782748941163608,-17,-5,-8,-0.18181818181818182,1.0,2.8359940198958276,-7,8,2,61.791666666666664,62.0,0.5429873244137596,60.0,63.0,62.0
