window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,40,1.81854675,1.823639,0.04412616777898304,1.732681,1.886413,1.796736
10.0,20.0,40,1.7797615,1.7717545000000001,0.030674743932644917,1.732681,1.82492,1.740368
20.0,30.0,40,1.73287315,1.7333215,0.023253406480584403,1.69681,1.817234,1.750616
30.0,40.0,40,1.904284225,1.8825699999999999,0.049722718199047944,1.853104,2.014523,1.862072
40.0,50.0,40,1.80173235,1.796736,0.030221543314076633,1.74293,1.853104,1.796736
50.0,60.0,40,1.791963925,1.8101875,0.03858703298896724,1.71987,1.835169,1.808266
60.0,70.0,40,1.785910775,1.787128,0.022647231550385942,1.745492,1.817234,1.763427
70.0,80.0,40,1.7292861250000002,1.730119,0.016570849101911856,1.694248,1.758303,1.730119
80.0,90.0,40,1.7685517999999998,1.6884830000000002,0.12751610324294996,1.655815,1.978652,1.682718
90.0,100.0,40,1.8830822,1.8864130000000001,0.033672734487362466,1.831326,1.95303,1.914597
100.0,110.0,40,1.9176078,1.910754,0.05370329805906253,1.82492,2.023491,1.895381
110.0,120.0,40,1.863833575,1.863353,0.031696203715811465,1.81339,1.919722,1.83645
120.0,130.0,40,1.808425975,1.809547,0.0063573377571381215,1.789049,1.819796,1.809547
130.0,140.0,40,1.9681471250000002,1.9728875000000001,0.03495125796803426,1.851823,2.018366,1.935095
140.0,150.0,40,2.0265972999999997,2.0363015,0.10318603519290184,1.897943,2.22078,1.899224
150.0,160.0,40,2.203673925,2.0593615,0.2063359199542174,2.002993,2.605699,2.006836
160.0,170.0,40,2.16788275,2.1502675,0.04389976024159175,2.099664,2.254677,2.147065
170.0,180.0,40,2.066900125,2.0663555000000002,0.029812267131112534,2.015112,2.113756,2.025361
180.0,190.0,40,1.9847175499999998,1.986928,0.014849540143013528,1.949776,2.011268,1.968992
190.0,200.0,40,1.9483412000000002,1.947213,0.014213867257735066,1.919029,1.983777,1.940219
200.0,210.0,40,1.872577075,1.849261,0.0566366758016927,1.808266,1.978652,1.849261
210.0,220.0,40,1.8120451249999998,1.8108279999999999,0.008225917877823296,1.799298,1.831326,1.805704
220.0,230.0,40,1.7955188499999999,1.796736,0.01735810392657113,1.757022,1.827482,1.787768
230.0,240.0,40,2.01727735,2.0734535000000003,0.16074331700819605,1.753179,2.251526,1.814671
240.0,250.0,40,1.984096925,1.9741685,0.045915475858942865,1.906911,2.051675,1.921003
250.0,260.0,40,1.9018822749999997,1.8883345,0.07365898779771529,1.776238,2.137509,1.890256
260.0,270.0,40,2.18622235,2.1663335,0.06627873911631635,2.106762,2.33736,2.12726
270.0,280.0,40,2.0365579,2.0279745,0.03715835092653454,1.983777,2.101638,1.99915
280.0,290.0,40,1.9611650999999999,1.9664815,0.02196161953044459,1.923565,1.990182,1.928689
290.0,300.0,40,2.069962575,2.1131675000000003,0.12402620718713059,1.915878,2.38348,1.915878
300.0,310.0,40,2.4710576499999997,2.456156,0.11236881660248794,2.321295,2.680002,2.345635
310.0,320.0,40,2.219991425,2.2047144999999997,0.042730604458983676,2.170125,2.320013,2.203433
320.0,330.0,40,2.2579121,2.25724,0.048451294036752905,2.158595,2.35076,2.25724
330.0,340.0,40,2.351656475,2.318092,0.12208380249332897,2.180373,2.61851,2.289267
340.0,350.0,40,2.320589825,2.302078,0.0651014232133557,2.229055,2.483994,2.312327
350.0,360.0,40,2.365684575,2.3770225,0.12468286878725468,2.220088,2.592888,2.225212
360.0,370.0,40,2.44034065,2.3994415,0.12094833841780643,2.295672,2.71203,2.303359
370.0,380.0,40,2.51100875,2.4237824999999997,0.18591336784294185,2.377663,2.947752,2.377663
380.0,390.0,40,2.487472775,2.4652235,0.0716050988792851,2.40969,2.705235,2.441328
390.0,400.0,40,2.35828625,2.3603680000000002,0.0353486504662067,2.287986,2.430188,2.35076
400.0,410.0,40,2.319468925,2.3212945,0.03659881661137706,2.24571,2.405847,2.33923
410.0,420.0,40,2.203689625,2.1829359999999998,0.05477303220713181,2.150908,2.337949,2.159876
420.0,430.0,40,2.2533642,2.173968,0.14492433657181078,2.107351,2.523708,2.1176
430.0,440.0,40,2.239656375,2.2277744999999998,0.05445452176966957,2.154752,2.331543,2.18806
440.0,450.0,40,2.08685325,2.0746824999999998,0.03195053968947529,2.033047,2.156033,2.066356
