window_start_sec,window_end_sec,n_samples,x_mean,x_median,x_std,x_min,x_max,x_mode,y_mean,y_median,y_std,y_min,y_max,y_mode,z_mean,z_median,z_std,z_min,z_max,z_mode
0.0,10.0,320,-55.01875,-56.0,6.3165919494454705,-72,-29,-57,10.040625,12.0,5.811692860330917,-18,17,12,32.121875,31.0,8.015706930887681,15.0,92.0,30.0
10.0,20.0,320,-55.925,-56.0,7.987490219086347,-78,-39,-64,14.465625,14.0,3.904672016699193,4,33,13,21.4,14.5,20.457985081747783,-26.0,52.0,41.0
20.0,30.0,320,-63.0375,-63.0,1.0102142918017467,-66,-60,-63,14.634375,15.0,1.0655945622796104,12,18,15,13.053125,13.0,1.9795956610356618,6.0,21.0,13.0
30.0,40.0,320,-62.6875,-63.0,0.7273217068146399,-65,-60,-63,13.759375,14.0,0.9672892592041878,11,17,14,15.3375,15.0,0.9294047038014571,13.0,17.0,15.0
40.0,50.0,320,-61.94375,-62.0,0.5281644443265578,-63,-61,-62,13.384375,13.0,0.6986818646296605,12,16,13,17.984375,18.0,0.5680132978928151,15.0,19.0,18.0
50.0,60.0,320,-61.528125,-62.0,0.6228332346981087,-63,-60,-62,14.2875,14.0,1.165800544300313,12,18,14,18.49375,18.0,0.7169849357686146,17.0,21.0,18.0
60.0,70.0,320,-61.690625,-62.0,0.8349194675185029,-63,-59,-62,12.7875,13.0,1.8361999057956333,10,18,12,19.165625,19.0,0.834637824331995,17.0,23.0,19.0
70.0,80.0,320,-60.871875,-61.0,0.8523375105994818,-63,-58,-61,14.315625,14.0,2.3682340516745737,11,20,12,20.2375,20.0,0.8453264473017743,18.0,23.0,20.0
80.0,90.0,320,-59.0625,-59.0,1.1913349641747277,-62,-56,-60,18.378125,17.0,3.4081070941971965,13,26,15,21.5375,22.0,1.2737400806693011,18.0,25.0,22.0
90.0,100.0,320,-59.165625,-60.0,1.4666852942438202,-62,-54,-60,18.475,18.0,4.079845715934703,13,29,14,21.0,21.0,1.1664054043933973,18.0,24.0,20.0
100.0,110.0,320,-58.2625,-58.0,0.779739527283004,-61,-56,-58,20.05625,21.0,2.7932899334006884,13,27,22,22.053125,22.0,1.4856649134679447,18.0,26.0,22.0
110.0,120.0,320,-58.528125,-58.0,3.1091667860454675,-66,-53,-56,26.15,26.0,5.567708059942832,15,36,20,10.91875,8.0,5.60225198225921,2.0,23.0,7.0
120.0,130.0,320,-60.33125,-61.0,1.9722904114467164,-64,-55,-61,19.859375,16.0,6.0893740316373,14,34,16,15.221875,17.0,3.356202733273701,7.0,19.0,18.0
130.0,140.0,320,-60.78125,-61.0,1.1780216932288883,-69,-56,-61,17.2625,17.0,1.4273965164056588,14,22,17,18.053125,18.0,1.7384611750203978,15.0,25.0,17.0
140.0,150.0,320,-47.590625,-47.0,5.642253233569386,-76,-25,-48,3.478125,1.0,6.984947289447763,-25,37,9,42.465625,43.5,9.864222721040013,-12.0,127.0,43.0
150.0,160.0,320,-45.4375,-45.0,2.0638324517059896,-51,-40,-45,2.65,1.0,3.5845366257462925,-4,10,0,45.496875,46.0,2.0602194811099164,40.0,51.0,46.0
160.0,170.0,320,-53.9125,-55.0,7.446686162061503,-94,-32,-47,17.628125,22.0,13.120462717751217,-6,34,5,8.409375,-12.0,28.38491430513252,-24.0,66.0,45.0
170.0,180.0,320,-58.94375,-62.0,5.821532697383781,-66,-48,-64,26.646875,21.0,9.53907931044234,17,43,18,0.059375,1.0,2.815024554868768,-6.0,5.0,1.0
180.0,190.0,320,-59.1,-59.0,1.6040700584298544,-62,-56,-57,28.365625,28.0,2.875810843815072,24,33,25,2.2375,2.0,0.6333223339527714,0.0,4.0,2.0
190.0,200.0,320,-59.103125,-59.0,0.802810257996759,-61,-57,-59,28.6375,28.0,1.3873024725957275,26,31,28,1.403125,1.0,0.749078587604481,-1.0,3.0,1.0
200.0,210.0,320,-62.0125,-62.0,3.8228606203841675,-75,-38,-62,19.71875,20.0,5.242904594720535,-4,31,20,7.496875,7.0,5.988493898241781,-12.0,32.0,7.0
210.0,220.0,320,-63.296875,-64.0,3.911560262016372,-91,-42,-64,10.840625,12.0,4.720020679979666,-3,21,16,13.803125,13.0,6.613986527803686,6.0,57.0,17.0
220.0,230.0,320,-58.7375,-59.0,9.486824719588112,-115,-15,-60,12.771875,8.0,11.015000725713133,-15,36,6,14.253125,20.0,20.691986309047113,-34.0,83.0,30.0
230.0,240.0,320,-62.434375,-63.0,1.7834328798669792,-67,-56,-63,20.534375,20.0,3.18087046454673,14,28,20,-4.65625,-4.0,3.93289618650087,-13.0,2.0,-2.0
240.0,250.0,320,-63.434375,-64.0,1.2171989467059465,-66,-60,-64,18.33125,19.0,2.887052222062384,13,24,20,1.94375,2.0,2.7411799280819067,-8.0,11.0,4.0
250.0,260.0,320,-63.215625,-63.0,0.7999253001958542,-65,-60,-63,18.66875,19.0,1.3563822201992755,15,21,20,4.665625,5.0,1.0729239266374384,2.0,8.0,4.0
260.0,270.0,320,-63.11875,-63.0,0.7202566157117133,-65,-61,-63,18.940625,19.0,1.382687260215096,16,21,20,5.3,5.0,0.7325824977348697,3.0,7.0,5.0
270.0,280.0,320,-60.171875,-62.0,5.459898512899297,-71,-19,-63,11.4,18.0,9.990089132622538,-17,24,20,16.7375,6.0,14.46993965450498,3.0,76.0,5.0
280.0,290.0,320,-60.921875,-61.0,5.515167707627763,-91,-30,-61,5.440625,5.0,4.375362725671007,-10,16,2,21.609375,25.0,10.020695180303195,3.0,50.0,25.0
290.0,300.0,320,-63.3,-63.0,0.6975101262172104,-65,-61,-63,13.203125,13.0,1.3032355142654115,10,17,12,13.415625,13.0,0.9789666918230987,11.0,16.0,13.0
300.0,310.0,320,-61.121875,-61.0,3.220353995903893,-77,-32,-61,17.096875,19.0,6.081473195087728,-21,24,20,15.640625,15.0,3.075676582803574,0.0,37.0,15.0
310.0,320.0,320,-26.3,-18.0,16.481318387779933,-78,-6,-18,4.19375,9.0,11.683386846850793,-25,33,9,-50.96875,-60.0,23.04470831893304,-128.0,56.0,-61.0
320.0,330.0,320,-34.328125,-33.0,11.016167496757404,-88,-16,-32,18.040625,25.0,16.77609060267293,-34,36,27,-47.03125,-48.0,10.18137821625565,-78.0,-2.0,-48.0
