window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,40,33.321999999999996,33.33,0.013435505964154814,33.29,33.33,33.33
10.0,20.0,40,33.324,33.33,0.01296939197515006,33.31,33.35,33.33
20.0,30.0,40,33.316,33.31,0.009281909617842135,33.31,33.33,33.31
30.0,40.0,40,33.304,33.31,0.009281909617845217,33.29,33.31,33.31
40.0,50.0,40,33.292,33.29,0.006076436202503166,33.29,33.31,33.29
50.0,60.0,40,33.290000000000006,33.29,0.015689290811060276,33.27,33.31,33.29
60.0,70.0,40,33.282,33.29,0.00992277876713518,33.27,33.29,33.29
70.0,80.0,40,33.272000000000006,33.27,0.00607643620250163,33.27,33.29,33.27
80.0,90.0,40,33.256,33.25,0.009281909617848054,33.25,33.27,33.25
90.0,100.0,40,33.248000000000005,33.25,0.006076436202503032,33.23,33.25,33.25
100.0,110.0,40,33.244,33.25,0.009281909617846537,33.23,33.25,33.25
110.0,120.0,40,33.239999999999995,33.239999999999995,0.010127393670838475,33.23,33.25,33.23
120.0,130.0,40,33.227999999999994,33.23,0.014178351139170247,33.21,33.25,33.23
130.0,140.0,40,33.215999999999994,33.21,0.009281909617844268,33.21,33.23,33.21
140.0,150.0,40,33.202,33.21,0.013435505964154625,33.17,33.21,33.21
150.0,160.0,40,33.196,33.19,0.009281909617846815,33.19,33.21,33.19
160.0,170.0,40,33.184,33.19,0.00928190961784197,33.17,33.19,33.19
170.0,180.0,40,33.166,33.17,0.015157294934906916,33.15,33.19,33.15
180.0,190.0,40,33.154,33.15,0.015157294934901956,33.13,33.17,33.15
190.0,200.0,40,33.136,33.13,0.009281909617846449,33.13,33.15,33.13
200.0,210.0,40,33.118,33.120000000000005,0.013435505964156103,33.09,33.13,33.13
210.0,220.0,40,33.102000000000004,33.09,0.016203829873337586,33.09,33.13,33.09
220.0,230.0,40,33.092,33.09,0.010907536796838068,33.07,33.11,33.09
230.0,240.0,40,33.076,33.07,0.009281909617848187,33.07,33.09,33.07
240.0,250.0,40,33.065999999999995,33.07,0.00810191493667064,33.05,33.07,33.07
250.0,260.0,40,33.046,33.05,0.012152872405002778,33.03,33.07,33.05
260.0,270.0,40,33.036,33.03,0.009281909617845462,33.03,33.05,33.03
270.0,280.0,40,33.016,33.01,0.009281909617845096,33.01,33.03,33.01
280.0,290.0,40,33.012,33.01,0.010907536796838467,32.99,33.03,33.01
290.0,300.0,40,33.0,33.0,0.010127393670836529,32.99,33.01,32.99
300.0,310.0,40,32.974000000000004,32.97,0.008101914936671999,32.97,32.99,32.97
310.0,320.0,40,32.972,32.97,0.014178351139171133,32.95,32.99,32.97
320.0,330.0,40,32.954,32.95,0.0151572949348966,32.93,32.97,32.95
330.0,340.0,40,32.934,32.93,0.015157294934907842,32.91,32.97,32.93
340.0,350.0,40,32.906,32.91,0.012152872405002593,32.89,32.93,32.91
350.0,360.0,40,32.888,32.89,0.016824889987065113,32.87,32.91,32.87
360.0,370.0,40,32.854,32.85,0.012152872405005026,32.83,32.87,32.85
370.0,380.0,40,32.836,32.83,0.012969391975152362,32.81,32.85,32.83
380.0,390.0,40,32.82,32.81,0.013587324409730801,32.81,32.85,32.81
390.0,400.0,40,32.818,32.81,0.013435505964152782,32.81,32.85,32.81
400.0,410.0,40,32.8,32.8,0.01632993161855156,32.77,32.83,32.79
410.0,420.0,40,32.792,32.79,0.010907536796836896,32.77,32.81,32.79
420.0,430.0,8,32.78,32.78,0.010690449676494415,32.77,32.79,32.77
