window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,640,1.251978670359375,9.4933855,32.46697881004363,-74.78692,55.43018,-74.78692
10.0,20.0,640,-1.0235326436249998,4.7730945,35.591304252877634,-87.10648,89.46432,-87.10648
20.0,30.0,640,1.2889305886874998,10.94295,38.38612939096172,-80.28857,63.72173,-80.28857
30.0,40.0,640,-0.5120410618906249,6.3393345,32.493191708156616,-71.41111,58.14091,-71.41111
40.0,50.0,640,0.359466567203125,7.639744,31.273377290302253,-71.60303,51.78849,-71.60303
50.0,60.0,640,-0.9870689649687499,5.133015,31.01401274015584,-80.35823,54.06388,-80.35823
60.0,70.0,640,0.6576377037187501,3.382044,30.40550153448986,-71.12514,62.67465,-71.12514
70.0,80.0,640,0.451480511890625,0.6990981000000001,31.038314113789053,-71.83163,79.39228,-71.83163
80.0,90.0,640,-0.7220096794421874,1.398224,31.729996071872787,-77.70043,62.4503,-77.70043
90.0,100.0,640,0.50431679890625,5.150856,33.8449979958282,-76.54127,68.24138,-76.54127
100.0,110.0,640,-0.19641559574999995,-0.04341936,31.969488073385556,-75.46439,94.36484,25.42551
110.0,120.0,640,0.244919385453125,0.49631695,35.68683603412453,-85.34014,76.88976,-85.34014
120.0,130.0,640,-0.22557527490624998,-0.43815040000000005,35.66653778411067,-79.55142,78.06767,-79.55142
130.0,140.0,640,1.33848682296875,4.4855979999999995,39.18274964114286,-88.83297,86.05299,-88.83297
140.0,150.0,640,-1.6957498808125,-1.861267,38.802871511608075,-87.34534,110.3637,-87.34534
150.0,160.0,640,0.22216366625000009,2.9455225,38.962818947154105,-96.27197,89.5896,-96.27197
160.0,170.0,640,-0.27611762578593757,-0.79828645,37.95647709905845,-94.66965,105.2767,-94.66965
170.0,180.0,640,-0.04381843751562492,4.603714,42.32152982589491,-102.1048,97.36925,-102.1048
180.0,190.0,640,0.3436001382812499,4.719787500000001,44.94581331642538,-104.3938,84.15078,-93.49628
190.0,200.0,640,-0.09931119965624993,-1.3985365,46.760324835731126,-118.6444,129.034,-118.6444
200.0,210.0,640,-0.44040892453125,-2.8478565,45.81367292334977,-125.3904,108.4565,46.4095
210.0,220.0,640,1.4941806479687498,7.244051000000001,46.03375620939274,-101.1448,122.7638,-101.1448
220.0,230.0,640,-0.7677103715156252,1.1886815,40.052289877538605,-97.45433,77.05688,-97.45433
230.0,240.0,640,-0.376076445515625,1.6817335,37.52988535795624,-79.81158,65.76379,-79.81158
240.0,250.0,640,-0.07856317343750002,1.4559609999999998,39.840722589964386,-86.28281,84.9415,-86.28281
250.0,260.0,640,0.4466191064218751,2.818348,40.765419233174356,-93.86908,77.74728,-93.86908
260.0,270.0,640,-0.9305924750000003,-1.403391,37.49326647374775,-79.16903,74.35634,-79.16903
270.0,280.0,640,-0.33975530468749987,-2.3039560000000003,46.382111030120335,-175.1446,100.2278,17.5407
280.0,290.0,640,0.9109050005,5.3006645,50.93076805569848,-167.5871,182.6075,-167.5871
290.0,300.0,640,0.15971530593749986,0.19704435,39.383622428419415,-81.29849,91.40243,-81.29849
300.0,310.0,640,-0.30066534703125003,1.1997035,39.56096509275945,-94.38658,128.939,-94.38658
310.0,320.0,640,-0.753522171125,-1.9505884999999998,45.82797769957019,-201.4544,103.4085,-201.4544
320.0,330.0,640,0.14519167375000003,2.2829055,43.16305611408252,-120.9712,118.0722,-120.9712
330.0,340.0,639,1.27910162200313,7.022491,55.06668454584731,-135.0494,231.7268,-135.0494
340.0,350.0,640,-0.5624440199999999,6.318911,39.93283781291816,-88.01233,70.41872,-88.01233
350.0,360.0,580,-0.689830332275862,11.51915,40.83981328433297,-89.45608,67.7775,-89.45608
