window_start_sec,window_end_sec,n_samples,values_mean,values_median,values_std,values_min,values_max,values_mode
0.0,10.0,640,2.23409863870625,1.0456544,70.7357387553616,-172.8603,225.877,-172.8603
10.0,20.0,640,-0.37252704245312485,-2.5561675,49.63647457510137,-175.0246,148.9601,-175.0246
20.0,30.0,640,-0.4968785017187498,1.8098640000000001,57.809170605283775,-174.3858,183.9822,-174.3858
30.0,40.0,640,-0.36654074493750005,5.648569,30.542721886686472,-91.72974,62.22622,-91.72974
40.0,50.0,640,-0.488541887875,3.5999714999999997,26.444151178549067,-59.89075,48.36051,-59.89075
50.0,60.0,640,0.17923201398125008,3.9952015000000003,28.04734923484283,-62.6575,54.50653,-62.6575
60.0,70.0,640,0.4597335328125,3.2916775,28.363115258037308,-80.87438,68.71011,-80.87438
70.0,80.0,640,-0.20948533146874987,1.588486,38.23015388154775,-87.60585,124.1127,-87.60585
80.0,90.0,640,0.0780691345156249,6.544347500000001,33.63049591964363,-89.76047,68.46861,14.98343
90.0,100.0,640,0.44180832679687504,6.2025355,33.008275150627114,-71.75237,61.87304,-71.75237
100.0,110.0,640,0.2882057792187499,5.639168,31.52887676990088,-64.78,57.68899,-64.78
110.0,120.0,640,-0.3037836627656251,0.8061724,46.68147322984196,-122.1683,264.1622,-122.1683
120.0,130.0,640,-6.5171673883421875,-0.5809517,65.3599518264555,-161.5014,248.619,-161.5014
130.0,140.0,640,6.1285878811,8.60331,49.969692497180816,-99.38605,245.7917,-99.38605
140.0,150.0,640,0.0977088228750001,-0.31048585,55.456208316019726,-187.5767,168.0747,-187.5767
150.0,160.0,640,3.010199745375,7.6303350000000005,45.317300461314794,-116.0945,135.7854,-116.0945
160.0,170.0,640,-3.1146079175,-5.164834000000001,44.469772652796834,-113.86,161.7164,-113.86
170.0,180.0,640,0.03609098306406259,6.9781189999999995,51.10506292294014,-182.1696,132.4165,-182.1696
180.0,190.0,640,0.42521125265625004,1.9494455,53.15632097730403,-177.7452,135.7884,-177.7452
190.0,200.0,640,-2.117095178640625,1.543478,63.57381510332804,-169.3995,246.2513,-169.3995
200.0,210.0,640,2.1739083109040624,5.7569655,42.20654978894016,-104.2881,90.33096,-104.2881
210.0,220.0,640,-0.6052954218437498,9.084216999999999,59.23750474504777,-213.198,142.037,-213.198
220.0,230.0,640,-1.0743536212656253,5.588768,61.709994611374604,-219.6353,213.5665,-219.6353
230.0,240.0,640,0.15395573703124996,0.9316264999999999,50.00372849093685,-124.8505,116.6458,-124.8505
240.0,250.0,637,0.7265800589638933,4.350594,48.448342962424384,-128.8918,137.1652,-128.8918
250.0,260.0,640,0.4765117773437499,2.5250320000000004,45.488143288147675,-146.3903,103.15,-146.3903
260.0,270.0,640,0.6694081631250001,3.8730944999999997,42.462531911027206,-118.9243,193.2929,-118.9243
270.0,280.0,640,-1.2931155934374998,2.3661495,40.872811813282816,-89.1917,190.7866,-89.1917
280.0,290.0,640,0.40484610625000006,4.682709,39.39547611329964,-79.81689,114.0379,-79.81689
290.0,300.0,640,0.3112824083125,2.781376,36.71017735563319,-97.45853,86.10738,-97.45853
300.0,310.0,640,0.03956076156249981,4.160183,42.0555806717391,-118.0748,88.72845,-118.0748
310.0,320.0,640,0.5266965261406249,7.807252999999999,35.64818638016635,-97.71564,63.3866,-97.71564
320.0,330.0,640,-0.8132703355781251,0.9079945,54.218210283494244,-152.1159,246.2922,-152.1159
330.0,340.0,639,-0.20512994727699524,3.396826,40.331231935938916,-112.5626,121.0565,-112.5626
340.0,350.0,640,-1.9317028575312503,0.6206827,45.380000473097354,-129.4256,113.6146,-129.4256
350.0,360.0,640,4.40566471175,4.52351,58.1226777146851,-196.6811,186.3108,-196.6811
360.0,370.0,640,-3.222475776875,1.1339264999999998,43.73178052543464,-136.0765,108.2828,-136.0765
370.0,380.0,640,-0.22302051478906243,-0.0352554325,46.55142553040635,-167.4657,145.4433,-167.4657
380.0,390.0,640,-0.20822994870312503,1.9581375,42.73472041038754,-153.7578,116.2247,-153.7578
390.0,400.0,640,1.9321778775000003,6.3715075,37.86082209550423,-102.3165,108.4303,-102.3165
400.0,410.0,640,-0.04857608953125001,3.598324,50.268696956684124,-161.6823,167.7856,-161.6823
410.0,420.0,640,-0.32540547960937494,3.417427,40.08687640051956,-87.60352,99.12055,-87.60352
420.0,430.0,640,-0.23041721631718745,4.193353500000001,42.872155927319234,-144.6397,101.4649,-144.6397
430.0,440.0,640,0.40991165324999984,3.099286,38.248511402033735,-91.52307,79.32391,-91.52307
440.0,450.0,492,-0.9505459676829267,-2.494698,88.26640641197348,-309.8116,368.8566,-309.8116
